Station Code,Distance from CO,Services from/to CO,Disruptions on path to CO
OVN,187,0.0,329
OW,168,0.0,455
PMO,191,0.0,292
PMR,190,0.0,313
PMW,189,0.0,316
PT,103,0.0,34
RAI,164,0.0,38
RAT,67,0.0,99
RB,282,0.0,900
RD,199,0.0,118
RH,114,0.0,156
RHN,185,0.0,382
RL,117,0.0,155
RLB,205,0.0,502
RM,228,0.0,563
RS,179,0.0,455
RSD,253,0.0,864
RSN,53,0.0,87
RSW,206,0.0,447
RTA,188,0.0,432
RTB,199,0.0,502
RTD,198,0.0,432
RTN,193,0.0,434
RTST,203,0.0,502
RTZ,202,0.0,502
RV,217,0.0,549
RVS,159,0.0,413
SBK,260,0.0,644
SD,134,0.0,288
SDA,188,0.0,108
SDM,202,0.0,502
SDT,207,0.0,421
SDTB,210,0.0,422
SGL,284,0.0,630
SGN,226,0.0,405
SHL,176,0.0,109
SK,172,0.0,51
SKND,171,0.0,51
SM,223,0.0,563
SN,262,0.0,645
SOG,282,0.0,631
SPTN,192,0.0,329
SPTZ,190,0.0,329
SRN,246,0.0,641
SSH,197,0.0,237
ST,135,0.0,288
STD,253,0.0,612
STM,183,0.0,114
STV,201,0.0,59
STZ,136,0.0,278
SWD,172,0.0,102
SWK,97,0.0,84
TB,208,0.0,528
TBG,158,0.0,202
TBR,213,0.0,541
TBU,209,0.0,541
TG,210,0.0,530
TL,168,0.0,430
TPSW,170,0.0,430
TWL,84,0.0,153
UHM,196,0.0,118
UHZ,193,0.0,118
UST,188,0.0,117
UT,142,0.0,274
UTG,189,0.0,351
UTLN,146,0.0,347
UTLR,145,0.0,347
UTO,139,0.0,274
UTT,147,0.0,347
UTVR,143,0.0,347
UTZL,144,0.0,347
VB,199,0.0,432
VD,107,0.0,153
VDL,276,0.0,631
VDM,188,0.0,115
VEM,99,0.0,153
VG,190,0.0,528
VH,200,0.0,382
VHP,27,0.0,16
VK,285,0.0,631
VL,205,0.0,529
VLB,175,0.0,476
VNDC,177,0.0,381
VNDW,176,0.0,381
VP,118,0.0,159
VRY,182,0.0,477
VS,328,0.0,896
VSS,327,0.0,869
VST,197,0.0,467
VSV,161,0.0,186
VTN,149,0.0,352
VZ,34,0.0,17
WAD,182,0.0,432
WADN,183,0.0,432
WADT,181,0.0,432
WC,152,0.0,413
WD,158,0.0,274
WDN,45,0.0,87
WF,132,0.0,413
WFM,185,0.0,117
WH,69,0.0,34
WK,188,0.0,54
WL,147,0.0,185
WM,182,0.0,316
WP,152,0.0,46
WR,215,0.0,126
WS,193,0.0,117
WSM,177,0.0,103
WT,246,0.0,571
WTV,127,0.0,162
WV,110,0.0,34
WW,140,0.0,167
WWW,139,0.0,167
WZ,64,0.0,34
YPB,195,0.0,350
ZA,146,0.0,427
ZB,180,0.0,111
ZBM,177,0.0,390
ZD,176,0.0,313
ZDK,179,0.0,316
ZH,173,0.0,102
ZL,55,42.354838709677416,20
ZLSH,60,0.0,34
ZLW,232,0.0,539
ZP,95,0.0,153
ZTM,190,0.0,347
ZTMO,189,0.0,432
ZV,136,0.0,165
ZVB,240,0.0,544
ZVT,193,0.0,329
ZWD,216,0.0,607
ZZS,179,0.0,316
