Station Code,Distance from HLO,Services from/to HLO,Disruptions on path to HLO
DZ,289,0.0,397
DZW,288,0.0,397
EC,218,0.0,545
ED,113,35.806451612903224,557
EDC,111,0.0,556
EDN,258,0.0,99
EEM,296,0.0,396
EGH,228,0.0,97
EGHM,229,0.0,97
EHS,152,0.0,434
EHV,153,0.0,434
EKZ,47,0.0,158
EML,102,0.0,539
EMN,220,0.0,334
EMNZ,216,0.0,333
ES,193,0.0,641
ESK,189,0.0,641
EST,141,0.8709677419354839,836
ETN,158,0.0,574
FN,257,0.0,556
FWD,254,0.0,556
GBG,193,0.0,319
GD,92,2.064516129032258,176
GDG,93,2.064516129032258,286
GDM,99,0.0,358
GDR,165,0.0,873
GERP,249,0.0,352
GK,270,0.0,367
GLN,234,0.0,547
GN,251,0.0,352
GND,131,0.0,299
GNN,255,0.0,367
GO,170,0.0,581
GP,159,0.0,496
GR,125,0.0,420
GS,205,0.0,256
GV,75,0.0,65
GVC,74,0.0,65
GVM,70,0.0,150
GVMW,76,0.0,80
GW,227,0.0,356
GZ,154,0.0,446
HAD,34,0.0,55
HB,227,0.0,97
HBZM,128,0.0,299
HD,106,0.0,542
HDB,187,0.0,306
HDE,127,0.0,539
HDG,250,0.0,556
HDR,47,34.74193548387097,95
HDRZ,46,34.74193548387097,95
HFD,50,0.0,77
HGL,185,0.0,622
HGLG,183,0.0,622
HGLO,187,0.0,641
HGV,193,0.0,299
HGZ,262,0.0,375
HIL,41,0.0,20
HK,14,35.54838709677419,4
HKS,39,0.0,142
HLG,266,0.0,557
HLGH,267,0.0,561
HLM,30,33.29032258064516,18
HLMS,31,33.096774193548384,55
HLO,0,0.0,0
HM,166,0.0,496
HMBH,167,0.0,500
HMBV,163,0.0,496
HMH,165,0.0,496
HMN,130,0.0,404
HN,29,29.06451612903226,86
HNK,30,0.0,142
HNO,157,0.0,299
HNP,282,0.0,559
HON,156,0.0,574
HOR,69,0.0,285
HR,211,0.0,356
HRL,223,0.0,80
HRLW,225,0.0,97
HRN,245,0.0,352
HRT,193,0.0,528
HT,121,0.0,358
HTN,81,0.0,358
HTNC,82,0.0,386
HTO,122,0.0,431
HVL,85,0.0,539
HVS,63,0.0,285
HVSM,62,0.0,336
HVSP,64,0.0,286
HWD,12,63.80645161290322,76
HWZB,37,33.096774193548384,27
HZE,164,0.0,502
IJT,265,0.0,557
KBD,187,0.0,256
KBK,131,0.0,575
KLP,107,16.548387096774192,358
KMA,16,4.709677419354839,4
KMR,231,0.0,97
KMW,287,0.0,564
KPN,160,0.0,6
KPNZ,130,0.0,431
KRD,231,0.0,108
KRG,194,0.0,256
KTR,123,0.0,401
KW,259,0.0,373
KZ,22,4.709677419354839,13
LAA,73,0.0,65
LC,157,0.0,574
LDL,60,0.0,65
LDM,113,0.0,402
LEDN,59,0.0,55
LG,226,0.0,97
LLS,88,0.0,416
LLZM,89,0.0,94
LP,277,0.0,379
LTN,105,0.0,556
LTV,175,0.0,576
LUT,234,0.0,547
LW,240,0.0,539
LWC,243,0.0,556
MAS,66,0.5161290322580645,299
MDB,224,0.0,283
MES,243,0.0,97
MG,250,0.0,556
MMLH,159,0.0,600
MP,173,0.0,299
MRB,179,0.0,306
MRN,93,0.5161290322580645,390
MT,249,0.0,97
MTH,260,0.0,375
MTN,246,0.0,111
MTR,250,0.0,99
MZ,174,0.0,507
NDB,57,0.0,292
NH,230,0.0,97
NKK,90,0.0,539
NM,149,35.806451612903224,579
NMD,154,0.0,600
NMGO,152,0.0,600
NMH,152,0.0,600
NML,148,0.8387096774193549,850
NS,118,0.0,539
NSCH,295,0.0,382
NVD,177,0.0,308
NVP,55,0.0,77
NWK,101,2.064516129032258,261
O,140,0.0,431
OBD,18,29.06451612903226,86
ODB,148,0.0,303
ODZ,196,0.0,641
OMN,168,0.0,306
OP,127,0.0,404
OST,147,0.0,605
OT,142,0.0,474
OTB,126,0.0,579
OVN,32,0.0,55
OW,139,0.0,431
PMO,39,0.0,6
PMR,38,0.0,8
PMW,37,0.0,6
PT,97,0.0,539
RAI,45,0.0,325
RAT,163,0.0,299
RB,184,0.0,303
RD,289,0.0,383
RH,140,0.0,837
RHN,116,0.5161290322580645,393
RL,162,0.0,576
RLB,104,0.0,251
RM,205,0.0,496
RS,128,0.0,431
RSD,155,0.0,251
RSN,163,0.0,574
RSW,78,0.0,80
RTA,106,2.064516129032258,261
RTB,98,0.0,251
RTD,97,2.064516129032258,181
RTN,102,2.064516129032258,251
RTST,102,0.0,251
RTZ,101,0.0,251
RV,216,0.0,545
RVS,148,0.0,452
SBK,235,0.0,97
SD,74,0.0,300
SDA,278,0.0,373
SDM,93,0.0,181
SDT,127,0.0,298
SDTB,124,0.0,298
SGL,239,0.0,97
SGN,26,34.74193548387097,86
SHL,45,0.0,27
SK,262,0.0,556
SKND,261,0.0,556
SM,210,0.0,545
SN,233,0.0,97
SOG,233,0.0,97
SPTN,23,35.54838709677419,19
SPTZ,25,33.193548387096776,20
SRN,223,0.0,574
SSH,66,0.0,77
ST,75,0.0,300
STD,230,0.0,545
STM,273,0.0,379
STV,291,0.0,564
STZ,76,0.0,300
SWD,262,0.0,367
SWK,187,0.0,349
TB,143,0.0,431
TBG,166,0.0,873
TBR,148,0.0,444
TBU,144,0.0,444
TG,210,0.0,497
TL,111,0.0,401
TPSW,109,0.0,401
TWL,132,0.0,574
UHM,286,0.0,383
UHZ,283,0.0,383
UST,278,0.0,382
UT,73,36.774193548387096,285
UTG,11,40.354838709677416,3
UTLN,77,0.0,358
UTLR,76,0.0,358
UTO,76,0.0,358
UTT,78,0.0,358
UTVR,74,0.5161290322580645,358
UTZL,71,0.5161290322580645,302
VB,77,0.0,94
VD,152,0.0,574
VDL,227,0.0,97
VDM,278,0.0,380
VEM,136,0.0,576
VG,125,0.0,431
VH,51,0.0,20
VHP,185,0.0,309
VK,236,0.0,97
VL,205,0.0,496
VLB,181,0.0,642
VNDC,108,0.5161290322580645,392
VNDW,107,0.5161290322580645,392
VP,136,0.0,837
VRY,188,0.0,643
VS,230,0.0,283
VSS,229,0.0,256
VST,64,0.0,150
VSV,173,0.0,873
VTN,80,0.0,363
VZ,182,0.0,675
WAD,84,0.0,176
WADN,83,0.0,176
WADT,85,0.0,176
WC,155,0.0,455
WD,80,2.064516129032258,285
WDN,171,0.0,581
WF,122,0.0,579
WFM,275,0.0,382
WH,154,0.0,615
WK,278,0.0,559
WL,155,0.0,856
WM,18,4.741935483870968,3
WP,48,0.0,286
WR,305,0.0,391
WS,283,0.0,382
WSM,267,0.0,368
WT,181,0.0,496
WTV,135,0.0,838
WV,200,0.0,299
WW,185,0.0,588
WWW,184,0.0,588
WZ,136,0.0,552
YPB,81,0.0,97
ZA,133,0.0,404
ZB,270,0.0,376
ZBM,108,0.0,401
ZD,24,42.54838709677419,3
ZDK,27,0.0,6
ZH,263,0.0,367
ZL,145,0.0,285
ZLSH,150,0.0,6
ZLW,132,0.0,298
ZP,140,0.0,574
ZTM,86,0.0,94
ZTMO,87,0.0,94
ZV,144,0.0,836
ZVB,140,0.0,303
ZVT,38,0.0,55
ZWD,115,0.0,356
ZZS,21,4.709677419354839,13
