Station Code,Distance from DTCH,Services from/to DTCH,Disruptions on path to DTCH
DL,114,0.0,122
DLD,88,0.0,557
DLN,154,0.0,199
DMN,117,0.0,575
DMNZ,117,0.0,558
DN,135,0.0,393
DR,42,0.0,29
DRH,151,0.0,867
DRON,134,0.0,122
DRP,208,0.0,153
DT,155,0.0,450
DTC,2,57.83870967741935,0
DTCH,0,0.0,0
DTCP,155,0.0,505
DV,71,0.0,32
DVC,75,0.0,98
DVD,117,0.0,350
DVN,19,55.483870967741936,20
DVNK,139,0.0,458
DWE,214,0.0,139
DZ,246,0.0,220
DZW,245,0.0,220
EC,145,0.0,476
ED,45,0.0,277
EDC,47,0.0,299
EDN,187,0.0,480
EEM,253,0.0,219
EGH,181,0.0,495
EGHM,182,0.0,495
EHS,121,0.0,468
EHV,122,0.0,392
EKZ,185,0.0,922
EML,102,0.0,557
EMN,170,0.0,200
EMNZ,166,0.0,199
ES,108,0.0,99
ESK,104,0.0,99
EST,39,0.0,277
ETN,144,0.0,728
FN,214,0.0,139
FWD,211,0.0,139
GBG,143,0.0,185
GD,118,0.0,350
GDG,115,0.0,350
GDM,84,0.0,294
GDR,7,36.354838709677416,17
GERP,206,0.0,175
GK,227,0.0,190
GLN,161,0.0,478
GN,208,0.0,175
GND,119,0.0,358
GNN,212,0.0,190
GO,85,0.0,39
GP,128,0.0,454
GR,110,0.0,356
GS,207,0.0,733
GV,147,0.0,435
GVC,146,0.0,353
GVM,147,0.0,543
GVMW,148,0.0,450
GW,184,0.0,179
GZ,123,0.0,407
HAD,147,0.0,850
HB,172,0.0,509
HBZM,122,0.0,368
HD,106,0.0,560
HDB,137,0.0,172
HDE,120,0.0,122
HDG,207,0.0,139
HDR,205,0.0,951
HDRZ,204,0.0,951
HFD,137,0.0,438
HGL,100,0.0,80
HGLG,98,0.0,80
HGLO,102,0.0,99
HGV,150,0.0,122
HGZ,219,0.0,198
HIL,154,0.0,458
HK,150,0.0,889
HKS,177,0.0,906
HLG,223,0.0,140
HLGH,224,0.0,144
HLM,143,0.0,829
HLMS,142,0.0,850
HLO,158,0.0,856
HM,135,0.0,435
HMBH,136,0.0,439
HMBV,132,0.0,454
HMH,134,0.0,454
HMN,53,0.0,291
HN,167,0.0,850
HNK,168,0.0,906
HNO,114,0.0,122
HNP,239,0.0,142
HON,90,0.0,32
HOR,98,0.0,350
HR,168,0.0,179
HRL,176,0.0,478
HRLW,178,0.0,495
HRN,202,0.0,175
HRT,117,0.0,393
HT,90,0.0,319
HTN,92,0.0,375
HTNC,93,0.0,403
HTO,89,0.0,319
HVL,73,0.0,317
HVS,95,0.0,557
HVSM,96,0.0,558
HVSP,96,0.0,558
HWD,170,0.0,932
HWZB,135,0.0,850
HZE,133,0.0,460
IJT,222,0.0,140
KBD,189,0.0,733
KBK,64,0.0,32
KLP,52,0.0,299
KMA,142,0.0,863
KMR,184,0.0,495
KMW,244,0.0,147
KPN,117,0.0,122
KPNZ,117,0.0,122
KRD,184,0.0,506
KRG,196,0.0,733
KTR,60,0.0,291
KW,216,0.0,196
KZ,136,0.0,853
LAA,147,0.0,382
LC,72,0.0,32
LDL,135,0.0,441
LDM,98,0.0,338
LEDN,136,0.0,448
LG,179,0.0,495
LLS,150,0.0,701
LLZM,131,0.0,435
LP,234,0.0,202
LTN,53,0.0,300
LTV,46,0.0,36
LUT,161,0.0,478
LW,197,0.0,122
LWC,200,0.0,139
MAS,93,0.0,350
MDB,226,0.0,760
MES,184,0.0,480
MG,207,0.0,139
MMLH,57,0.0,298
MP,130,0.0,122
MRB,129,0.0,169
MRN,82,0.0,331
MT,178,0.0,478
MTH,217,0.0,198
MTN,181,0.0,480
MTR,179,0.0,480
MZ,143,0.0,465
NDB,101,0.0,558
NH,169,0.0,509
NKK,90,0.0,557
NM,47,0.0,277
NMD,52,0.0,298
NMGO,50,0.0,298
NMH,50,0.0,298
NML,46,0.0,291
NS,118,0.0,557
NSCH,252,0.0,205
NVD,113,0.0,39
NVP,142,0.0,566
NWK,127,0.0,435
O,71,0.0,298
OBD,176,0.0,850
ODB,164,0.0,733
ODZ,111,0.0,99
OMN,125,0.0,129
OP,56,0.0,291
OST,81,0.0,98
OT,111,0.0,435
OTB,32,0.0,277
OVN,145,0.0,866
OW,72,0.0,319
PMO,149,0.0,829
PMR,148,0.0,850
PMW,147,0.0,853
PT,97,0.0,557
RAI,120,0.0,353
RAT,120,0.0,122
RB,186,0.0,764
RD,246,0.0,206
RH,36,0.0,26
RHN,105,0.0,334
RL,59,0.0,48
RLB,146,0.0,585
RM,132,0.0,427
RS,83,0.0,319
RSD,157,0.0,728
RSN,97,0.0,32
RSW,150,0.0,450
RTA,132,0.0,435
RTB,143,0.0,505
RTD,142,0.0,435
RTN,137,0.0,437
RTST,147,0.0,505
RTZ,146,0.0,505
RV,121,0.0,413
RVS,63,0.0,277
SBK,164,0.0,508
SD,92,0.0,571
SDA,235,0.0,196
SDM,146,0.0,505
SDT,123,0.0,368
SDTB,126,0.0,369
SGL,188,0.0,494
SGN,184,0.0,942
SHL,132,0.0,364
SK,219,0.0,139
SKND,218,0.0,139
SM,127,0.0,427
SN,166,0.0,509
SOG,186,0.0,495
SPTN,150,0.0,866
SPTZ,148,0.0,866
SRN,150,0.0,505
SSH,144,0.0,458
ST,93,0.0,571
STD,157,0.0,476
STM,230,0.0,202
STV,248,0.0,147
STZ,94,0.0,561
SWD,219,0.0,190
SWK,144,0.0,172
TB,112,0.0,392
TBG,8,36.354838709677416,17
TBR,117,0.0,405
TBU,113,0.0,405
TG,114,0.0,394
TL,72,0.0,294
TPSW,74,0.0,294
TWL,76,0.0,98
UHM,243,0.0,206
UHZ,240,0.0,206
UST,235,0.0,205
UT,86,0.0,277
UTG,147,0.0,888
UTLN,88,0.0,375
UTLR,89,0.0,350
UTO,89,0.0,350
UTT,91,0.0,350
UTVR,85,0.0,375
UTZL,88,0.0,350
VB,143,0.0,435
VD,67,0.0,32
VDL,180,0.0,495
VDM,235,0.0,203
VEM,59,0.0,32
VG,94,0.0,392
VH,144,0.0,458
VHP,123,0.0,169
VK,189,0.0,495
VL,109,0.0,393
VLB,79,0.0,340
VNDC,97,0.0,333
VNDW,96,0.0,333
VP,32,0.0,26
VRY,86,0.0,341
VS,232,0.0,760
VSS,231,0.0,733
VST,141,0.0,543
VSV,15,35.54838709677419,17
VTN,93,0.0,355
VZ,116,0.0,168
WAD,126,0.0,435
WADN,127,0.0,435
WADT,125,0.0,435
WC,56,0.0,277
WD,102,0.0,350
WDN,105,0.0,39
WF,36,0.0,277
WFM,232,0.0,205
WH,88,0.0,108
WK,235,0.0,142
WL,3,55.483870967741936,0
WM,140,0.0,853
WP,110,0.0,569
WR,262,0.0,214
WS,240,0.0,205
WSM,224,0.0,191
WT,150,0.0,435
WTV,23,55.483870967741936,23
WV,157,0.0,122
WW,36,35.54838709677419,36
WWW,37,0.0,36
WZ,111,0.0,122
YPB,139,0.0,353
ZA,50,0.0,291
ZB,227,0.0,199
ZBM,93,0.0,337
ZD,134,0.0,850
ZDK,137,0.0,853
ZH,220,0.0,190
ZL,102,0.0,108
ZLSH,107,0.0,122
ZLW,148,0.0,746
ZP,55,0.0,32
ZTM,134,0.0,350
ZTMO,133,0.0,435
ZV,14,55.483870967741936,20
ZVB,156,0.0,751
ZVT,151,0.0,866
ZWD,135,0.0,486
ZZS,137,0.0,853
