Station Code,Distance from HK,Services from/to HK,Disruptions on path to HK
FN,249,0.0,589
FWD,246,0.0,589
GBG,185,0.0,352
GD,78,0.0,176
GDG,81,0.0,261
GDM,91,0.0,391
GDR,157,0.0,906
GERP,241,0.0,385
GK,262,0.0,400
GLN,224,0.0,98
GN,243,0.0,385
GND,117,0.0,299
GNN,247,0.0,400
GO,162,0.0,614
GP,151,0.0,529
GR,117,0.0,453
GS,191,0.0,256
GV,61,0.0,65
GVC,60,0.0,65
GVM,56,0.0,150
GVMW,62,0.0,80
GW,219,0.0,389
GZ,143,0.0,574
HAD,20,0.0,55
HB,213,0.0,97
HBZM,114,0.0,299
HD,98,0.0,575
HDB,179,0.0,339
HDE,119,0.0,572
HDG,242,0.0,589
HDR,61,0.0,99
HDRZ,60,0.0,99
HFD,42,0.0,110
HGL,177,0.0,655
HGLG,175,0.0,655
HGLO,179,0.0,674
HGV,185,0.0,332
HGZ,254,0.0,408
HIL,27,0.0,20
HK,0,0.0,0
HKS,53,0.0,146
HLG,258,0.0,590
HLGH,259,0.0,594
HLM,16,35.41935483870968,18
HLMS,17,35.29032258064516,55
HLO,14,34.935483870967744,4
HM,158,0.0,529
HMBH,159,0.0,533
HMBV,155,0.0,529
HMH,157,0.0,529
HMN,122,0.0,437
HN,43,29.06451612903226,90
HNK,44,0.0,146
HNO,149,0.0,332
HNP,274,0.0,592
HON,148,0.0,607
HOR,61,0.0,318
HR,203,0.0,389
HRL,209,0.0,80
HRLW,211,0.0,97
HRN,237,0.0,385
HRT,185,0.0,561
HT,113,0.0,391
HTN,73,0.0,391
HTNC,74,0.0,419
HTO,114,0.0,464
HVL,77,0.0,572
HVS,55,0.0,318
HVSM,54,0.0,369
HVSP,56,0.0,319
HWD,26,29.06451612903226,80
HWZB,24,35.29032258064516,55
HZE,156,0.0,535
IJT,257,0.0,590
KBD,173,0.0,256
KBK,123,0.0,608
KLP,99,0.0,391
KMA,8,0.0,1
KMR,217,0.0,97
KMW,279,0.0,597
KPN,152,0.0,39
KPNZ,122,0.0,464
KRD,217,0.0,108
KRG,180,0.0,256
KTR,115,0.0,434
KW,251,0.0,406
KZ,14,0.0,36
LAA,59,0.0,65
LC,149,0.0,607
LDL,46,0.0,65
LDM,105,0.0,435
LEDN,45,0.0,55
LG,212,0.0,97
LLS,80,0.0,449
LLZM,75,0.0,94
LP,269,0.0,412
LTN,97,0.0,589
LTV,167,0.0,609
LUT,226,0.0,580
LW,232,0.0,572
LWC,235,0.0,589
MAS,58,0.0,332
MDB,210,0.0,283
MES,229,0.0,97
MG,242,0.0,589
MMLH,151,0.0,633
MP,165,0.0,332
MRB,171,0.0,339
MRN,85,0.0,423
MT,235,0.0,97
MTH,252,0.0,408
MTN,232,0.0,111
MTR,236,0.0,99
MZ,166,0.0,540
NDB,49,0.0,325
NH,216,0.0,97
NKK,82,0.0,572
NM,141,0.0,612
NMD,146,0.0,633
NMGO,144,0.0,633
NMH,144,0.0,633
NML,140,0.0,883
NS,110,0.0,572
NSCH,287,0.0,415
NVD,169,0.0,341
NVP,47,0.0,110
NWK,87,0.0,261
O,132,0.0,464
OBD,32,29.06451612903226,90
ODB,134,0.0,303
ODZ,188,0.0,674
OMN,160,0.0,339
OP,119,0.0,437
OST,139,0.0,638
OT,134,0.0,507
OTB,118,0.0,612
OVN,18,0.0,55
OW,131,0.0,464
PMO,31,0.0,39
PMR,30,0.0,41
PMW,29,0.0,39
PT,89,0.0,572
RAI,37,0.0,358
RAT,155,0.0,332
RB,170,0.0,303
RD,281,0.0,416
RH,132,0.0,870
RHN,108,0.0,426
RL,154,0.0,609
RLB,90,0.0,251
RM,197,0.0,529
RS,120,0.0,464
RSD,141,0.0,251
RSN,155,0.0,607
RSW,64,0.0,80
RTA,92,0.0,261
RTB,84,0.0,251
RTD,83,0.0,181
RTN,88,0.0,251
RTST,88,0.0,251
RTZ,87,0.0,251
RV,208,0.0,578
RVS,140,0.0,485
SBK,221,0.0,97
SD,66,0.0,333
SDA,270,0.0,406
SDM,79,0.0,181
SDT,113,0.0,298
SDTB,110,0.0,298
SGL,225,0.0,97
SGN,40,0.0,90
SHL,37,0.0,60
SK,254,0.0,589
SKND,253,0.0,589
SM,202,0.0,578
SN,219,0.0,97
SOG,219,0.0,97
SPTN,9,37.774193548387096,19
SPTZ,11,35.41935483870968,20
SRN,215,0.0,607
SSH,53,0.0,65
ST,67,0.0,333
STD,222,0.0,578
STM,265,0.0,412
STV,283,0.0,597
STZ,68,0.0,333
SWD,254,0.0,400
SWK,179,0.0,382
TB,135,0.0,464
TBG,158,0.0,906
TBR,140,0.0,477
TBU,136,0.0,477
TG,202,0.0,530
TL,103,0.0,434
TPSW,101,0.0,434
TWL,124,0.0,607
UHM,278,0.0,416
UHZ,275,0.0,416
UST,270,0.0,415
UT,65,0.0,318
UTG,3,37.935483870967744,0
UTLN,69,0.0,391
UTLR,68,0.0,391
UTO,68,0.0,391
UTT,70,0.0,391
UTVR,66,0.0,391
UTZL,63,0.0,335
VB,63,0.0,94
VD,144,0.0,607
VDL,213,0.0,97
VDM,270,0.0,413
VEM,128,0.0,609
VG,117,0.0,464
VH,37,0.0,20
VHP,177,0.0,342
VK,222,0.0,97
VL,197,0.0,529
VLB,173,0.0,675
VNDC,100,0.0,425
VNDW,99,0.0,425
VP,128,0.0,870
VRY,180,0.0,676
VS,216,0.0,283
VSS,215,0.0,256
VST,50,0.0,150
VSV,165,0.0,906
VTN,72,0.0,396
VZ,174,0.0,708
WAD,70,0.0,176
WADN,69,0.0,176
WADT,71,0.0,176
WC,147,0.0,488
WD,72,0.0,318
WDN,163,0.0,614
WF,114,0.0,612
WFM,267,0.0,415
WH,146,0.0,648
WK,270,0.0,592
WL,147,0.0,889
WM,10,0.0,26
WP,40,0.0,319
WR,297,0.0,424
WS,275,0.0,415
WSM,259,0.0,401
WT,173,0.0,529
WTV,127,0.0,871
WV,192,0.0,332
WW,177,0.0,621
WWW,176,0.0,621
WZ,128,0.0,585
YPB,67,0.0,97
ZA,125,0.0,437
ZB,262,0.0,409
ZBM,100,0.0,434
ZD,16,0.0,36
ZDK,19,0.0,39
ZH,255,0.0,400
ZL,137,0.0,318
ZLSH,142,0.0,39
ZLW,118,0.0,298
ZP,132,0.0,607
ZTM,72,0.0,94
ZTMO,73,0.0,94
ZV,136,0.0,869
ZVB,126,0.0,303
ZVT,24,0.0,55
ZWD,101,0.0,356
ZZS,13,0.0,36
