Station Code,Distance from RB,Services from/to RB,Disruptions on path to RB
ZLSH,234,0.0,524
ZLW,52,0.064516129032258,0
ZP,187,0.0,729
ZTM,122,0.0,267
ZTMO,123,0.0,267
ZV,172,0.0,726
ZVB,44,0.032258064516129,0
ZVT,162,0.0,248
ZWD,69,0.0,122
ZZS,178,0.0,272
