Station Code,distance_ODB,services_per_day_ODB,n_of_disruptions_ODB
WDN,215,0,789
WF,144,0,713
WFM,323,0,690
WH,198,0,792
WK,326,0,627
WL,161,0,733
WM,144,0,459
WP,139,0,365
WR,353,0,699
WS,331,0,690
WSM,315,0,676
WT,117,0,390
WTV,141,0,715
WV,248,0,607
WW,200,0,769
WWW,201,0,769
WZ,184,0,606
YPB,81,0,340
ZA,114,0,202
ZB,318,0,684
ZBM,87,0,414
ZD,139,0,263
ZDK,142,0,266
ZH,311,0,675
ZL,193,0,593
ZLSH,198,0,607
ZLW,16,30.580645161290324,0
ZP,165,0,716
ZTM,86,0,337
ZTMO,87,0,340
ZV,150,0,713
ZVB,8,30.580645161290324,0
ZVT,126,0,396
ZWD,33,0,122
ZZS,142,0,266
