Station Code,Distance from VNDW,Services from/to VNDW,Disruptions on path to VNDW
NS,94,0.0,347
NSCH,271,0.0,444
NVD,153,0.0,370
NVP,90,0.0,250
NWK,75,0.0,192
O,99,0.0,275
OBD,125,0.0,386
ODB,138,0.0,356
ODZ,153,0.0,383
OMN,144,0.0,368
OP,86,0.0,205
OST,123,0.0,413
OT,101,0.0,318
OTB,64,0.0,56
OVN,94,0.0,402
OW,98,0.0,275
PMO,98,0.0,365
PMR,97,0.0,386
PMW,96,0.0,389
PT,73,0.0,347
RAI,68,0.0,110
RAT,139,0.0,361
RB,174,0.0,356
RD,265,0.0,445
RH,78,0.0,314
RHN,9,36.96774193548387,1
RL,119,0.0,318
RLB,97,0.0,262
RM,164,0.0,318
RS,87,0.0,275
RSD,145,0.0,351
RSN,139,0.0,382
RSW,98,0.0,207
RTA,80,0.0,192
RTB,91,0.0,262
RTD,90,0.0,192
RTN,85,0.0,194
RTST,95,0.0,262
RTZ,94,0.0,262
RV,161,0.0,192
RVS,103,0.0,313
SBK,196,0.0,399
SD,54,0.0,131
SDA,254,0.0,435
SDM,94,0.0,262
SDT,97,0.0,233
SDTB,100,0.0,234
SGL,220,0.0,385
SGN,133,0.0,478
SHL,80,0.0,48
SK,238,0.0,364
SKND,237,0.0,364
SM,167,0.0,206
SN,198,0.0,400
SOG,218,0.0,386
SPTN,99,0.0,402
SPTZ,97,0.0,402
SRN,182,0.0,396
SSH,92,0.0,215
ST,53,0.0,131
STD,189,0.0,367
STM,249,0.0,441
STV,267,0.0,372
STZ,52,0.0,131
SWD,238,0.0,429
SWK,163,0.0,411
TB,102,0.0,275
TBG,104,0.0,350
TBR,107,0.0,288
TBU,103,0.0,288
TG,154,0.0,173
TL,70,0.0,202
TPSW,68,0.0,202
TWL,108,0.0,382
UHM,262,0.0,445
UHZ,259,0.0,445
UST,254,0.0,444
UT,34,36.54838709677419,34
UTG,96,0.0,424
UTLN,36,0.0,78
UTLR,37,0.0,107
UTO,37,0.0,107
UTT,39,0.0,107
UTVR,33,36.54838709677419,78
UTZL,36,35.67741935483871,107
VB,91,0.0,192
VD,109,0.0,316
VDL,212,0.0,386
VDM,254,0.0,442
VEM,101,0.0,316
VG,84,0.0,275
VH,92,0.0,215
VHP,161,0.0,371
VK,221,0.0,386
VL,149,0.0,172
VLB,119,0.0,119
VNDC,1,36.96774193548387,0
VNDW,0,0.0,0
VP,74,0.0,314
VRY,126,0.0,120
VS,220,0.0,383
VSS,219,0.0,356
VST,89,0.0,300
VSV,111,0.0,350
VTN,41,0.0,112
VZ,158,0.0,483
WAD,74,0.0,192
WADN,75,0.0,192
WADT,73,0.0,192
WC,96,0.0,313
WD,50,0.0,107
WDN,147,0.0,389
WF,60,0.0,56
WFM,251,0.0,444
WH,130,0.0,423
WK,254,0.0,367
WL,93,0.0,333
WM,89,0.0,389
WP,67,0.0,119
WR,281,0.0,453
WS,259,0.0,444
WSM,243,0.0,430
WT,140,0.0,318
WTV,73,0.0,315
WV,176,0.0,361
WW,132,0.0,369
WWW,133,0.0,369
WZ,112,0.0,360
YPB,87,0.0,110
ZA,90,0.0,327
ZB,246,0.0,438
ZBM,67,0.0,202
ZD,83,0.0,386
ZDK,86,0.0,389
ZH,239,0.0,429
ZL,121,0.0,347
ZLSH,126,0.0,361
ZLW,122,0.0,351
ZP,97,0.0,316
ZTM,82,0.0,107
ZTMO,81,0.0,192
ZV,82,0.0,313
ZVB,130,0.0,356
ZVT,100,0.0,402
ZWD,108,0.0,367
ZZS,86,0.0,389
