Station Code,Distance from SDT,Services from/to SDT,Disruptions on path to SDT
SPTN,104,0.0,410
SPTZ,102,0.0,410
SRN,163,0.0,287
SSH,76,0.0,315
ST,84,0.0,252
STD,170,0.0,258
STM,280,0.0,562
STV,298,0.0,507
STZ,83,0.0,252
SWD,269,0.0,550
SWK,194,0.0,532
TB,61,0.0,442
TBG,131,0.0,385
TBR,56,0.0,461
TBU,60,0.0,463
TG,150,0.0,294
TL,51,0.0,74
TPSW,49,0.0,74
TWL,139,0.0,503
UHM,293,0.0,566
UHZ,290,0.0,566
UST,285,0.0,565
UT,65,0.0,155
UTG,116,0.0,430
UTLN,61,0.0,155
UTLR,68,0.0,228
UTO,68,0.0,228
UTT,70,0.0,228
UTVR,64,0.0,155
UTZL,67,0.0,228
VB,56,0.0,334
VD,136,0.0,351
VDL,193,0.0,277
VDM,285,0.0,563
VEM,128,0.0,351
VG,65,0.0,147
VH,76,0.0,315
VHP,192,0.0,492
VK,202,0.0,277
VL,145,0.0,293
VLB,124,0.0,154
VNDC,98,0.0,233
VNDW,97,0.0,233
VP,101,0.0,351
VRY,131,0.0,155
VS,123,0.0,157
VSS,122,0.0,157
VST,63,0.0,308
VSV,138,0.0,385
VTN,72,0.0,233
VZ,185,0.0,487
WAD,62,0.0,274
WADN,63,0.0,274
WADT,61,0.0,274
WC,95,0.0,171
WD,70,0.0,282
WDN,174,0.0,424
WF,103,0.0,348
WFM,282,0.0,565
WH,157,0.0,427
WK,285,0.0,502
WL,120,0.0,368
WM,120,0.0,510
WP,98,0.0,240
WR,312,0.0,574
WS,290,0.0,565
WSM,274,0.0,551
WT,121,0.0,209
WTV,100,0.0,350
WV,207,0.0,482
WW,159,0.0,404
WWW,160,0.0,404
WZ,143,0.0,481
YPB,60,0.0,337
ZA,73,0.0,77
ZB,277,0.0,559
ZBM,48,0.0,74
ZD,114,0.0,507
ZDK,117,0.0,510
ZH,270,0.0,550
ZL,152,0.0,468
ZLSH,157,0.0,482
ZLW,25,0.0,119
ZP,124,0.0,351
ZTM,65,0.0,334
ZTMO,66,0.0,337
ZV,109,0.0,348
ZVB,33,0.0,124
ZVT,105,0.0,393
ZWD,12,0.0,119
ZZS,117,0.0,510
