Station Code,distance_HRL,services_per_day_HRL,n_of_disruptions_HRL
AC,200,0,295
AH,148,0,201
AHP,149,0,458
AHPR,151,0,460
AHZ,140,0,215
AKL,171,0,230
AKM,301,0,601
ALM,225,0,272
ALMB,231,0,403
ALMM,224,0,271
ALMO,233,0,403
ALMP,227,0,403
AMF,197,0,259
AMFS,200,0,499
AML,232,0,527
AMPO,222,0,271
AMR,254,0,544
AMRI,234,0,597
AMRN,255,0,619
ANA,284,0,630
APD,195,0,461
APDM,194,0,462
APDO,198,0,496
APG,364,0,631
APN,211,0,269
ARN,243,0,472
ASA,209,12.612903225806452,259
ASB,205,0,259
ASD,215,12.612903225806452,259
ASDL,222,0,538
ASDM,211,0,296
ASDZ,211,0,262
ASHD,206,0,273
ASN,302,0,551
ASS,219,12.612903225806452,517
ASSP,212,0,310
ATN,200,0,495
AVAT,203,0,505
BD,154,0,113
BDE,32,0,2
BDG,203,0,260
BDM,345,0,620
BDPB,159,0,436
BET,106,0,113
BF,349,0,620
BGN,191,0,441
BHDV,182,0,250
BHV,185,0,259
BK,27,0,3
BKF,273,12.612903225806452,602
BKG,272,12.612903225806452,598
BKL,188,0,262
BL,286,0,556
BLL,237,0,554
BMN,170,0,461
BMR,104,0,138
BN,227,0,528
