Station Code,Distance from RTZ,Services from/to RTZ,Disruptions on path to RTZ
LP,279,0.0,571
LTN,107,0.0,494
LTV,177,0.0,514
LUT,185,0.0,658
LW,242,0.0,491
LWC,245,0.0,508
MAS,67,0.0,237
MDB,123,0.0,258
MES,208,0.0,660
MG,252,0.0,508
MMLH,128,0.0,337
MP,175,0.0,491
MRB,181,0.0,498
MRN,80,0.0,269
MT,202,0.0,658
MTH,262,0.0,567
MTN,205,0.0,660
MTR,203,0.0,660
MZ,125,0.0,618
NDB,84,0.0,238
NH,193,0.0,689
NKK,92,0.0,477
NM,118,0.0,316
NMD,123,0.0,337
NMGO,121,0.0,337
NMH,121,0.0,337
NML,117,0.0,316
NS,120,0.0,477
NSCH,297,0.0,574
NVD,179,0.0,491
NVP,61,0.0,205
NWK,19,0.0,137
O,106,0.0,372
OBD,119,0.0,410
ODB,47,0.0,227
ODZ,198,0.0,579
OMN,170,0.0,498
OP,93,0.0,302
OST,149,0.0,543
OT,75,0.0,558
OTB,114,0.0,259
OVN,73,0.0,282
OW,105,0.0,375
PMO,107,0.0,151
PMR,106,0.0,150
PMW,105,0.0,153
PT,99,0.0,480
RAI,83,0.0,203
RAT,165,0.0,491
RB,83,0.0,258
RD,291,0.0,575
RH,128,0.0,497
RHN,103,0.0,272
RL,164,0.0,514
RLB,3,60.03225806451613,0
RM,156,0.0,607
RS,94,0.0,375
RSD,54,0.0,222
RSN,165,0.0,543
RSW,23,57.516129032258064,180
RTA,14,0.0,79
RTB,3,61.2258064516129,0
RTD,4,61.2258064516129,9
RTN,9,0.0,79
RTST,1,0.4193548387096774,0
RTZ,0,0.0,0
RV,167,0.0,656
RVS,114,0.0,393
SBK,188,0.0,688
SD,80,0.0,261
SDA,280,0.0,565
SDM,8,59.935483870967744,79
SDT,26,0.0,224
SDTB,23,0.0,224
SGL,212,0.0,674
SGN,127,0.0,410
SHL,71,0.0,79
SK,264,0.0,508
SKND,263,0.0,508
SM,161,0.0,656
SN,190,0.0,689
SOG,210,0.0,675
SPTN,78,0.0,300
SPTZ,76,0.0,300
SRN,174,0.0,685
SSH,50,0.0,205
ST,79,0.0,261
STD,181,0.0,656
STM,275,0.0,571
STV,293,0.0,516
STZ,78,0.0,261
SWD,264,0.0,559
SWK,189,0.0,541
TB,67,0.032258064516129,545
TBG,154,0.0,531
TBR,62,0.0,564
TBU,66,0.0,566
TG,161,0.0,692
TL,77,0.0,299
TPSW,75,0.0,299
TWL,134,0.0,512
UHM,288,0.0,575
UHZ,285,0.0,575
UST,280,0.0,574
UT,60,0.0,164
UTG,90,0.0,320
UTLN,64,0.0,237
UTLR,57,0.0,187
UTO,63,0.0,237
UTT,55,0.0,182
UTVR,61,0.0,237
UTZL,62,0.0,237
VB,30,0.0,224
VD,154,0.0,512
VDL,204,0.0,675
VDM,280,0.0,572
VEM,138,0.0,514
VG,91,0.0,372
VH,50,0.0,205
VHP,187,0.0,501
VK,213,0.0,675
VL,156,0.0,691
VLB,150,0.0,379
VNDC,95,0.0,271
VNDW,94,0.0,271
VP,124,0.0,497
VRY,157,0.0,380
VS,129,0.0,260
VSS,128,0.0,260
VST,37,0.0,198
VSV,161,0.0,531
VTN,53,0.0,173
VZ,184,0.0,613
WAD,36,0.0,164
WADN,37,0.0,164
WADT,35,0.0,164
WC,121,0.0,396
WD,44,0.0,172
WDN,173,0.0,550
WF,110,0.0,259
WFM,277,0.0,574
WH,156,0.0,553
WK,280,0.0,511
WL,143,0.0,514
WM,97,0.0,346
WP,93,0.0,249
WR,307,0.0,583
WS,285,0.0,574
WSM,269,0.0,560
WT,132,0.0,607
WTV,123,0.0,496
WV,202,0.0,491
WW,182,0.0,550
WWW,183,0.0,550
WZ,138,0.0,490
YPB,34,0.0,227
ZA,99,0.0,302
ZB,272,0.0,568
ZBM,74,0.0,299
ZD,92,0.0,150
ZDK,95,0.0,153
ZH,265,0.0,559
ZL,147,0.0,477
ZLSH,152,0.0,491
ZLW,31,0.0,222
ZP,142,0.0,512
ZTM,39,0.0,224
ZTMO,40,0.0,227
ZV,132,0.0,494
ZVB,39,0.0,227
ZVT,79,0.0,283
ZWD,14,60.03225806451613,105
ZZS,95,0.0,153
