Station Code,Distance from DVC,Services from/to DVC,Disruptions on path to DVC
DVNK,136,0.0,383
DWE,147,0.0,107
DZ,179,0.0,188
DZW,178,0.0,188
EC,166,0.0,525
ED,66,0.0,326
EDC,68,0.0,348
EDN,208,0.0,529
EEM,186,0.0,187
EGH,202,0.0,544
EGHM,203,0.0,544
EHS,142,0.0,517
EHV,143,0.0,441
EKZ,168,0.0,640
EML,78,0.0,93
EMN,95,0.0,109
EMNZ,91,0.0,108
ES,57,6.419354838709677,26
ESK,53,6.419354838709677,26
EST,60,0.0,326
ETN,165,0.0,777
FN,147,0.0,107
FWD,144,0.0,107
GBG,68,0.0,94
GD,115,0.0,348
GDG,112,0.0,348
GDM,105,0.0,343
GDR,82,0.0,115
GERP,139,0.0,143
GK,160,0.0,158
GLN,182,0.0,527
GN,141,0.0,143
GND,140,0.0,407
GNN,145,0.0,158
GO,50,0.0,73
GP,149,0.0,503
GR,131,0.0,405
GS,228,0.0,782
GV,144,0.0,433
GVC,143,0.0,351
GVM,144,0.0,468
GVMW,145,0.0,448
GW,117,0.0,147
GZ,144,0.0,456
HAD,130,0.0,568
HB,193,0.0,558
HBZM,143,0.0,417
HD,74,0.0,90
HDB,62,0.0,81
HDE,53,0.0,90
HDG,140,0.0,107
HDR,188,0.0,669
HDRZ,187,0.0,669
HFD,122,0.0,350
HGL,49,6.419354838709677,7
HGLG,51,0.0,26
HGLO,51,0.0,26
HGV,83,0.0,90
HGZ,152,0.0,166
HIL,137,0.0,568
HK,133,0.0,607
HKS,160,0.0,624
HLG,156,0.0,108
HLGH,157,0.0,112
HLM,126,0.0,547
HLMS,125,0.0,568
HLO,141,0.0,574
HM,156,0.0,484
HMBH,157,0.0,488
HMBV,153,0.0,503
HMH,155,0.0,503
HMN,74,0.0,340
HN,150,0.0,568
HNK,151,0.0,624
HNO,47,0.0,90
HNP,172,0.0,110
HON,15,33.064516129032256,0
HOR,84,0.0,276
HR,101,0.0,147
HRL,197,0.0,527
HRLW,199,0.0,544
HRN,135,0.0,143
HRT,138,0.0,442
HT,111,0.0,368
HTN,91,0.0,348
HTNC,92,0.0,376
HTO,110,0.0,368
HVL,68,0.0,275
HVS,78,0.0,275
HVSM,79,0.0,276
HVSP,79,0.0,276
HWD,153,0.0,650
HWZB,118,0.0,568
HZE,154,0.0,509
IJT,155,0.0,108
KBD,210,0.0,782
KBK,28,0.0,36
KLP,73,0.0,348
KMA,125,0.0,581
KMR,205,0.0,544
KMW,177,0.0,115
KPN,50,0.0,90
KPNZ,50,0.0,90
KRD,205,0.0,555
KRG,217,0.0,782
KTR,81,0.0,340
KW,149,0.0,164
KZ,119,0.0,571
LAA,144,0.0,380
LC,37,0.0,66
LDL,132,0.0,366
LDM,119,0.0,387
LEDN,133,0.0,373
LG,200,0.0,544
LLS,92,0.0,90
LLZM,128,0.0,433
LP,167,0.0,170
LTN,74,0.0,349
LTV,55,0.0,68
LUT,182,0.0,527
LW,130,0.0,90
LWC,133,0.0,107
MAS,90,0.0,348
MDB,247,0.0,809
MES,205,0.0,529
MG,140,0.0,107
MMLH,78,0.0,347
MP,63,0.0,90
MRB,54,0.0,78
MRN,103,0.0,380
MT,199,0.0,527
MTH,150,0.0,166
MTN,202,0.0,529
MTR,200,0.0,529
MZ,164,0.0,514
NDB,84,0.0,276
NH,190,0.0,558
NKK,73,0.0,275
NM,68,0.0,326
NMD,73,0.0,347
NMGO,71,0.0,347
NMH,71,0.0,347
NML,67,0.0,340
NS,62,0.0,90
NSCH,185,0.0,173
NVD,38,0.0,7
NVP,127,0.0,478
NWK,124,0.0,433
O,92,0.0,347
OBD,159,0.0,568
ODB,185,0.0,782
ODZ,60,0.0,26
OMN,58,0.0,97
OP,77,0.0,340
OST,14,0.0,66
OT,132,0.0,484
OTB,53,0.0,326
OVN,128,0.0,584
OW,93,0.0,368
PMO,132,0.0,547
PMR,131,0.0,568
PMW,130,0.0,571
PT,80,0.0,275
RAI,105,0.0,279
RAT,52,0.0,19
RB,207,0.0,813
RD,179,0.0,174
RH,39,0.0,69
RHN,126,0.0,383
RL,42,0.0,68
RLB,146,0.0,503
RM,153,0.0,476
RS,104,0.0,368
RSD,178,0.0,777
RSN,22,33.064516129032256,0
RSW,147,0.0,448
RTA,129,0.0,433
RTB,140,0.0,503
RTD,139,0.0,433
RTN,134,0.0,435
RTST,144,0.0,503
RTZ,143,0.0,503
RV,142,0.0,462
RVS,84,0.0,326
SBK,185,0.0,557
SD,75,0.0,289
SDA,168,0.0,164
SDM,143,0.0,503
SDT,144,0.0,417
SDTB,147,0.0,418
SGL,209,0.0,543
SGN,167,0.0,660
SHL,117,0.0,350
SK,152,0.0,107
SKND,151,0.0,107
SM,148,0.0,476
SN,187,0.0,558
SOG,207,0.0,544
SPTN,133,0.0,584
SPTZ,131,0.0,584
SRN,171,0.0,554
SSH,138,0.0,478
ST,76,0.0,289
STD,178,0.0,525
STM,163,0.0,170
STV,181,0.0,115
STZ,77,0.0,279
SWD,152,0.0,158
SWK,77,0.0,140
TB,133,0.0,441
TBG,83,0.0,115
TBR,138,0.0,454
TBU,134,0.0,454
TG,135,0.0,443
TL,93,0.0,343
TPSW,95,0.0,343
TWL,9,27.83870967741936,0
UHM,176,0.0,174
UHZ,173,0.0,174
UST,168,0.0,173
UT,83,0.0,275
UTG,130,0.0,606
UTLN,87,0.0,348
UTLR,86,0.0,348
UTO,80,0.0,275
UTT,88,0.0,348
UTVR,84,0.0,348
UTZL,85,0.0,348
VB,140,0.0,433
VD,32,0.0,66
VDL,201,0.0,544
VDM,168,0.0,171
VEM,24,0.0,66
VG,115,0.0,441
VH,141,0.0,383
VHP,48,0.0,78
VK,210,0.0,544
VL,130,0.0,442
VLB,100,0.0,389
VNDC,118,0.0,382
VNDW,117,0.0,382
VP,43,0.0,72
VRY,107,0.0,390
VS,253,0.0,809
VSS,252,0.0,782
VST,138,0.0,468
VSV,86,0.0,99
VTN,90,0.0,353
VZ,41,0.0,77
WAD,123,0.0,433
WADN,124,0.0,433
WADT,122,0.0,433
WC,77,0.0,326
WD,99,0.0,275
WDN,30,30.61290322580645,7
WF,57,0.0,326
WFM,165,0.0,173
WH,21,0.0,76
WK,168,0.0,110
WL,72,0.0,98
WM,123,0.0,571
WP,93,0.0,287
WR,195,0.0,182
WS,173,0.0,173
WSM,157,0.0,159
WT,171,0.0,484
WTV,52,0.0,75
WV,90,0.0,90
WW,65,0.0,80
WWW,64,0.0,80
WZ,44,0.0,90
YPB,136,0.0,351
ZA,71,0.0,340
ZB,160,0.0,167
ZBM,114,0.0,386
ZD,117,0.0,568
ZDK,120,0.0,571
ZH,153,0.0,158
ZL,35,0.0,76
ZLSH,40,0.0,90
ZLW,169,0.0,795
ZP,20,1.6774193548387095,66
ZTM,131,0.0,348
ZTMO,130,0.0,433
ZV,61,0.0,78
ZVB,177,0.0,800
ZVT,134,0.0,584
ZWD,156,0.0,535
ZZS,120,0.0,571
