Station Code,Distance from ZVT,Services from/to ZVT,Disruptions on path to ZVT
OBD,56,0.0,126
ODB,126,0.0,248
ODZ,189,0.0,651
OMN,161,0.0,316
OP,120,0.0,414
OST,140,0.0,615
OT,135,0.0,484
OTB,119,0.0,589
OVN,6,42.54838709677419,0
OW,132,0.0,441
PMO,44,0.0,40
PMR,43,0.0,58
PMW,42,0.0,40
PT,90,0.0,549
RAI,38,0.0,335
RAT,156,0.0,309
RB,162,0.0,248
RD,282,0.0,393
RH,133,0.0,847
RHN,109,0.0,403
RL,155,0.0,586
RLB,82,0.0,196
RM,198,0.0,506
RS,121,0.0,441
RSD,133,0.0,196
RSN,156,0.0,584
RSW,56,0.0,25
RTA,84,0.0,206
RTB,76,0.0,196
RTD,75,0.0,126
RTN,80,0.0,196
RTST,80,0.0,196
RTZ,79,0.0,196
RV,209,0.0,555
RVS,141,0.0,462
SBK,213,0.0,42
SD,67,0.0,310
SDA,271,0.0,383
SDM,71,0.0,126
SDT,105,0.0,243
SDTB,102,0.0,243
SGL,217,0.0,42
SGN,64,0.0,126
SHL,38,0.0,58
SK,255,0.0,566
SKND,254,0.0,566
SM,203,0.0,555
SN,211,0.0,42
SOG,211,0.0,42
SPTN,15,7.32258064516129,37
SPTZ,13,7.32258064516129,37
SRN,216,0.0,584
SSH,45,0.0,10
ST,68,0.0,310
STD,220,0.0,42
STM,266,0.0,389
STV,284,0.0,574
STZ,69,0.0,310
SWD,255,0.0,377
SWK,180,0.0,359
TB,136,0.0,441
TBG,159,0.0,883
TBR,141,0.0,454
TBU,137,0.0,454
TG,203,0.0,507
TL,104,0.0,411
TPSW,102,0.0,411
TWL,125,0.0,584
UHM,279,0.0,393
UHZ,276,0.0,393
UST,271,0.0,392
UT,66,0.0,295
UTG,27,0.0,55
UTLN,70,0.0,368
UTLR,69,0.0,368
UTO,69,0.0,368
UTT,71,0.0,368
UTVR,67,0.0,368
UTZL,64,0.0,312
VB,55,0.0,39
VD,145,0.0,584
VDL,205,0.0,42
VDM,271,0.0,390
VEM,129,0.0,586
VG,118,0.0,441
VH,29,0.0,3
VHP,178,0.0,319
VK,214,0.0,42
VL,198,0.0,506
VLB,174,0.0,652
VNDC,101,0.0,402
VNDW,100,0.0,402
VP,129,0.0,847
VRY,181,0.0,653
VS,208,0.0,228
VSS,207,0.0,201
VST,42,0.0,95
VSV,166,0.0,883
VTN,73,0.0,373
VZ,175,0.0,685
WAD,62,0.0,121
WADN,61,0.0,121
WADT,63,0.0,121
WC,148,0.0,465
WD,71,0.0,107
WDN,164,0.0,591
WF,115,0.0,589
WFM,268,0.0,392
WH,147,0.0,625
WK,271,0.0,569
WL,148,0.0,866
WM,34,0.0,81
WP,41,0.0,296
WR,298,0.0,401
WS,276,0.0,392
WSM,260,0.0,378
WT,174,0.0,506
WTV,128,0.0,848
WV,193,0.0,309
WW,178,0.0,598
WWW,177,0.0,598
WZ,129,0.0,562
YPB,59,0.0,42
ZA,126,0.0,414
ZB,263,0.0,386
ZBM,101,0.0,411
ZD,29,0.0,37
ZDK,32,0.0,40
ZH,256,0.0,377
ZL,138,0.0,295
ZLSH,143,0.0,309
ZLW,110,0.0,243
ZP,133,0.0,584
ZTM,64,0.0,39
ZTMO,65,0.0,39
ZV,137,0.0,846
ZVB,118,0.0,248
ZVT,0,0.0,0
ZWD,93,0.0,301
ZZS,32,0.0,40
