Station Code,Distance from APN,Services from/to APN,Disruptions on path to APN
DDZD,63,0.0,295
DEI,221,0.0,267
DID,112,0.0,340
DL,134,0.0,264
DLD,47,0.0,103
DLN,181,0.0,298
DMN,64,0.0,38
DMNZ,59,0.0,27
DN,137,0.0,225
DR,109,0.0,340
DRH,52,0.0,18
DRON,131,0.0,172
DRP,228,0.0,281
DT,39,0.0,32
DTC,123,0.0,360
DTCH,121,0.0,360
DTCP,40,0.0,133
DV,114,0.0,250
DVC,118,0.0,285
DVD,57,0.0,24
DVN,102,0.0,342
DVNK,18,0.0,17
DWE,234,0.0,267
DZ,266,0.0,362
DZW,265,0.0,362
EC,180,0.0,270
ED,76,0.0,83
EDC,78,0.0,105
EDN,214,0.0,51
EEM,273,0.0,361
EGH,184,0.0,49
EGHM,185,0.0,49
EHS,114,0.0,159
EHV,115,0.0,159
EKZ,116,0.0,110
EML,79,0.0,250
EMN,197,0.0,299
EMNZ,193,0.0,298
ES,170,0.0,352
ESK,166,0.0,352
EST,104,0.0,340
ETN,103,0.0,501
FN,234,0.0,267
FWD,231,0.0,267
GBG,170,0.0,284
GD,18,56.58064516129032,23
GDG,21,0.0,108
GDM,61,0.0,83
GDR,128,0.0,377
GERP,226,0.0,317
GK,247,0.0,332
GLN,194,0.0,50
GN,228,0.0,317
GND,76,0.0,296
GNN,232,0.0,332
GO,147,0.0,292
GP,121,0.0,221
GR,85,0.0,306
GS,150,0.0,183
GV,31,0.0,17
GVC,30,0.0,17
GVM,26,0.0,102
GVMW,32,0.0,32
GW,204,0.0,321
GZ,102,0.0,501
HAD,40,0.0,17
HB,183,0.0,49
HBZM,73,0.0,296
HD,83,0.0,253
HDB,164,0.0,271
HDE,104,0.0,250
HDG,227,0.0,267
HDR,121,0.0,152
HDRZ,120,0.0,152
HFD,39,0.0,17
HGL,162,0.0,333
HGLG,160,0.0,333
HGLO,164,0.0,352
HGV,170,0.0,264
HGZ,239,0.0,340
HIL,33,0.0,17
HK,60,0.0,37
HKS,108,0.0,94
HLG,243,0.0,268
HLGH,244,0.0,272
HLM,44,0.0,17
HLMS,45,0.0,17
HLO,74,0.0,37
HM,128,0.0,221
HMBH,129,0.0,225
HMBV,125,0.0,221
HMH,127,0.0,221
HMN,92,0.0,129
HN,98,0.0,38
HNK,99,0.0,94
HNO,134,0.0,264
HNP,259,0.0,270
HON,133,0.0,285
HOR,47,0.0,83
HR,188,0.0,321
HRL,179,0.0,32
HRLW,181,0.0,49
HRN,222,0.0,317
HRT,155,0.0,253
HT,83,0.0,83
HTN,43,0.0,83
HTNC,44,0.0,111
HTO,84,0.0,156
HVL,62,0.0,250
HVS,53,0.0,83
HVSM,54,0.0,84
HVSP,52,0.0,83
HWD,86,0.0,133
HWZB,52,0.0,17
HZE,126,0.0,227
IJT,242,0.0,268
KBD,132,0.0,183
KBK,108,0.0,286
KLP,69,0.0,83
KMA,68,0.0,38
KMR,187,0.0,49
KMW,264,0.0,275
KPN,137,0.0,264
KPNZ,137,0.0,264
KRD,187,0.0,60
KRG,139,0.0,183
KTR,85,0.0,126
KW,236,0.0,338
KZ,67,0.0,41
LAA,29,0.0,17
LC,134,0.0,285
LDL,14,42.12903225806452,0
LDM,75,0.0,127
LEDN,15,42.12903225806452,7
LG,182,0.0,49
LLS,106,0.0,158
LLZM,31,0.0,108
LP,254,0.0,344
LTN,82,0.0,267
LTV,152,0.0,287
LUT,196,0.0,272
LW,217,0.0,250
LWC,220,0.0,267
MAS,42,0.0,83
MDB,169,0.0,210
MES,199,0.0,49
MG,227,0.0,267
MMLH,122,0.0,361
MP,150,0.0,264
MRB,156,0.0,271
MRN,55,0.0,115
MT,205,0.0,49
MTH,237,0.0,340
MTN,202,0.0,63
MTR,206,0.0,51
MZ,136,0.0,232
NDB,59,0.0,84
NH,186,0.0,49
NKK,67,0.0,250
NM,112,0.0,340
NMD,117,0.0,361
NMGO,115,0.0,361
NMH,115,0.0,361
NML,111,0.0,354
NS,95,0.0,250
NSCH,272,0.0,347
NVD,154,0.0,273
NVP,34,0.0,17
NWK,27,0.0,108
O,102,0.0,156
OBD,92,0.0,143
ODB,93,0.0,300
ODZ,173,0.0,352
OMN,145,0.0,271
OP,89,0.0,129
OST,124,0.0,316
OT,104,0.0,199
OTB,89,0.0,105
OVN,46,0.0,17
OW,101,0.0,156
PMO,80,0.0,38
PMR,79,0.0,38
PMW,78,0.0,41
PT,74,0.0,250
RAI,56,0.0,141
RAT,140,0.0,264
RB,129,0.0,300
RD,266,0.0,348
RH,103,0.0,341
RHN,78,0.0,118
RL,139,0.0,287
RLB,49,0.0,178
RM,167,0.0,221
RS,90,0.0,156
RSD,100,0.0,178
RSN,140,0.0,285
RSW,34,0.0,32
RTA,32,0.0,108
RTB,43,0.0,178
RTD,42,0.0,108
RTN,37,0.0,110
RTST,47,0.0,178
RTZ,46,0.0,178
RV,178,0.0,270
RVS,110,0.0,177
SBK,191,0.0,49
SD,55,0.0,107
SDA,255,0.0,338
SDM,46,0.0,178
SDT,72,0.0,295
SDTB,69,0.0,295
SGL,195,0.0,49
SGN,100,0.0,143
SHL,44,0.0,17
SK,239,0.0,267
SKND,238,0.0,267
SM,172,0.0,270
SN,189,0.0,49
SOG,189,0.0,49
SPTN,51,0.0,17
SPTZ,49,0.0,17
SRN,185,0.0,299
SSH,23,0.0,17
ST,54,0.0,107
STD,192,0.0,270
STM,250,0.0,344
STV,268,0.0,275
STZ,53,0.0,107
SWD,239,0.0,332
SWK,164,0.0,314
TB,105,0.0,156
TBG,129,0.0,377
TBR,108,0.0,520
TBU,106,0.0,169
TG,172,0.0,222
TL,73,0.0,126
TPSW,71,0.0,126
TWL,109,0.0,285
UHM,263,0.0,348
UHZ,260,0.0,348
UST,255,0.0,347
UT,35,41.903225806451616,10
UTG,63,0.0,37
UTLN,39,0.0,83
UTLR,32,4.516129032258065,24
UTO,38,0.0,83
UTT,30,4.516129032258065,19
UTVR,36,0.0,83
UTZL,37,0.0,83
VB,33,0.0,46
VD,129,0.0,285
VDL,183,0.0,49
VDM,255,0.0,345
VEM,113,0.0,287
VG,87,0.0,156
VH,23,0.0,17
VHP,162,0.0,274
VK,192,0.0,49
VL,167,0.0,221
VLB,144,0.0,403
VNDC,70,0.0,117
VNDW,69,0.0,117
VP,99,0.0,341
VRY,151,0.0,404
VS,175,0.0,210
VSS,174,0.0,183
VST,20,0.0,102
VSV,136,0.0,377
VTN,28,4.516129032258065,10
VZ,159,0.0,386
WAD,10,56.58064516129032,23
WADN,9,56.58064516129032,23
WADT,11,56.58064516129032,23
WC,117,0.0,180
WD,19,41.903225806451616,9
WDN,148,0.0,292
WF,85,0.0,105
WFM,252,0.0,347
WH,131,0.0,326
WK,255,0.0,270
WL,118,0.0,360
WM,70,0.0,63
WP,66,0.0,170
WR,282,0.0,356
WS,260,0.0,347
WSM,244,0.0,333
WT,143,0.0,221
WTV,98,0.0,342
WV,177,0.0,264
WW,157,0.0,396
WWW,158,0.0,396
WZ,113,0.0,263
YPB,37,0.0,49
ZA,95,0.0,129
ZB,247,0.0,341
ZBM,70,0.0,126
ZD,65,0.0,38
ZDK,68,0.0,41
ZH,240,0.0,332
ZL,122,0.0,250
ZLSH,127,0.0,264
ZLW,77,0.0,295
ZP,117,0.0,285
ZTM,34,0.0,108
ZTMO,33,0.0,108
ZV,107,0.0,340
ZVB,85,0.0,300
ZVT,52,0.0,17
ZWD,60,0.0,283
ZZS,68,0.0,41
