Station Code,Distance from LLZM,Services from/to LLZM,Disruptions on path to LLZM
MT,190,0.0,61
MTH,247,0.0,488
MTN,187,0.0,75
MTR,191,0.0,63
MZ,146,0.0,307
NDB,69,0.0,159
NH,171,0.0,61
NKK,77,0.0,398
NM,122,0.0,415
NMD,127,0.0,436
NMGO,125,0.0,436
NMH,125,0.0,436
NML,121,0.0,429
NS,105,0.0,398
NSCH,282,0.0,495
NVD,164,0.0,421
NVP,49,0.0,39
NWK,22,0.0,85
O,112,0.0,231
OBD,107,0.0,165
ODB,88,0.0,277
ODZ,183,0.0,500
OMN,155,0.0,419
OP,99,0.0,204
OST,134,0.0,464
OT,114,0.0,274
OTB,99,0.0,180
OVN,61,0.0,39
OW,111,0.0,231
PMO,95,0.0,60
PMR,94,0.0,60
PMW,93,0.0,63
PT,84,0.0,398
RAI,70,0.0,102
RAT,150,0.0,412
RB,124,0.0,277
RD,276,0.0,496
RH,113,0.0,416
RHN,88,0.0,193
RL,149,0.0,435
RLB,44,0.0,155
RM,177,0.0,296
RS,100,0.0,231
RSD,95,0.0,155
RSN,150,0.0,433
RSW,19,0.0,29
RTA,27,0.0,85
RTB,38,0.0,155
RTD,37,0.0,85
RTN,32,0.0,87
RTST,42,0.0,155
RTZ,41,0.0,155
RV,188,0.0,345
RVS,120,0.0,252
SBK,176,0.0,61
SD,65,0.0,182
SDA,265,0.0,486
SDM,34,0.0,130
SDT,67,0.0,272
SDTB,64,0.0,272
SGL,180,0.0,61
SGN,115,0.0,165
SHL,59,0.0,29
SK,249,0.0,415
SKND,248,0.0,415
SM,182,0.0,345
SN,174,0.0,61
SOG,174,0.0,61
SPTN,66,0.0,39
SPTZ,64,0.0,39
SRN,190,0.0,63
SSH,38,0.0,39
ST,64,0.0,182
STD,183,0.0,61
STM,260,0.0,492
STV,278,0.0,423
STZ,63,0.0,182
SWD,249,0.0,480
SWK,174,0.0,462
TB,108,0.0,478
TBG,139,0.0,452
TBR,103,0.0,497
TBU,107,0.0,499
TG,182,0.0,297
TL,83,35.193548387096776,201
TPSW,81,35.193548387096776,201
TWL,119,0.0,433
UHM,273,0.0,496
UHZ,270,0.0,496
UST,265,0.0,495
UT,45,35.61290322580645,85
UTG,78,0.0,59
UTLN,49,35.193548387096776,158
UTLR,42,35.61290322580645,100
UTO,48,0.0,158
UTT,40,35.61290322580645,95
UTVR,46,35.193548387096776,158
UTZL,47,0.0,158
VB,12,45.354838709677416,4
VD,139,0.0,433
VDL,168,0.0,61
VDM,265,0.0,493
VEM,123,0.0,435
VG,97,0.0,231
VH,38,0.0,39
VHP,172,0.0,422
VK,177,0.0,61
VL,177,0.0,296
VLB,154,0.0,478
VNDC,80,0.0,192
VNDW,79,0.0,192
VP,109,0.0,416
VRY,161,0.0,479
VS,170,0.0,187
VSS,169,0.0,160
VST,25,0.0,32
VSV,146,0.0,452
VTN,38,35.61290322580645,86
VZ,169,0.0,534
WAD,21,0.0,85
WADN,22,0.0,85
WADT,20,0.0,85
WC,127,0.0,255
WD,29,35.61290322580645,85
WDN,158,0.0,440
WF,95,0.0,180
WFM,262,0.0,495
WH,141,0.0,474
WK,265,0.0,418
WL,128,0.0,435
WM,85,0.0,85
WP,76,0.0,246
WR,292,0.0,504
WS,270,0.0,495
WSM,254,0.0,481
WT,153,0.0,296
WTV,108,0.0,417
WV,187,0.0,412
WW,167,0.0,471
WWW,168,0.0,471
WZ,123,0.0,411
YPB,8,45.354838709677416,0
ZA,105,0.0,204
ZB,257,0.0,489
ZBM,80,0.0,201
ZD,80,0.0,60
ZDK,83,0.0,63
ZH,250,0.0,480
ZL,132,0.0,398
ZLSH,137,0.0,412
ZLW,72,0.0,272
ZP,127,0.0,433
ZTM,3,36.70967741935484,0
ZTMO,2,45.354838709677416,0
ZV,117,0.0,415
ZVB,80,0.0,277
ZVT,67,0.0,39
ZWD,55,0.0,260
ZZS,83,0.0,63
