Station Code,Distance from LEDN,Services from/to LEDN,Disruptions on path to LEDN
KRG,135,19.774193548387096,191
KTR,100,0.0,214
KW,251,0.0,426
KZ,52,0.0,24
LAA,14,119.93548387096774,0
LC,149,0.0,373
LDL,1,43.193548387096776,0
LDM,90,0.0,215
LEDN,0,0.0,0
LG,167,0.0,32
LLS,93,76.58064516129032,255
LLZM,30,0.0,29
LP,269,0.0,432
LTN,97,0.0,355
LTV,167,0.0,375
LUT,187,0.0,34
LW,232,16.741935483870968,338
LWC,235,0.0,355
MAS,57,0.0,171
MDB,165,30.35483870967742,218
MES,184,0.0,32
MG,242,0.0,355
MMLH,137,0.0,449
MP,165,17.70967741935484,352
MRB,171,0.0,359
MRN,70,0.0,203
MT,190,0.0,32
MTH,252,0.0,428
MTN,187,0.0,46
MTR,191,0.0,34
MZ,151,0.0,320
NDB,62,4.709677419354839,68
NH,171,0.0,32
NKK,82,0.0,338
NM,127,0.0,428
NMD,132,0.0,449
NMGO,130,0.0,449
NMH,130,0.0,449
NML,126,0.0,442
NS,110,0.0,338
NSCH,287,0.0,435
NVD,169,0.0,361
NVP,19,59.0,0
NWK,42,0.0,196
O,117,0.0,244
OBD,77,0.0,126
ODB,89,0.032258064516129,238
ODZ,188,0.0,440
OMN,160,0.0,359
OP,104,0.0,217
OST,139,0.0,404
OT,117,0.0,522
OTB,104,0.0,193
OVN,31,0.1935483870967742,0
OW,116,0.0,244
PMO,65,18.483870967741936,21
PMR,64,18.483870967741936,21
PMW,63,18.483870967741936,24
PT,89,0.0,338
RAI,41,3.419354838709677,124
RAT,155,0.0,352
RB,125,19.70967741935484,238
RD,281,0.0,436
RH,118,0.0,429
RHN,93,0.0,206
RL,154,0.0,375
RLB,45,0.0,186
RM,182,0.0,309
RS,105,0.0,244
RSD,96,35.32258064516129,186
RSN,155,0.0,373
RSW,19,0.0,15
RTA,47,0.0,196
RTB,39,55.41935483870968,186
RTD,38,62.38709677419355,116
RTN,43,0.0,186
RTST,43,0.0,186
RTZ,42,0.0,186
RV,193,0.0,358
RVS,125,0.0,265
SBK,176,0.0,32
SD,70,0.0,195
SDA,270,0.0,426
SDM,34,58.16129032258065,116
SDT,68,0.0,233
SDTB,65,0.0,233
SGL,180,0.0,32
SGN,85,0.0,126
SHL,29,139.7741935483871,0
SK,254,0.0,355
SKND,253,0.0,355
SM,187,0.0,358
SN,174,0.0,32
SOG,174,0.0,32
SPTN,36,0.064516129032258,0
SPTZ,34,0.2258064516129032,0
SRN,190,0.0,34
SSH,8,58.96774193548387,0
ST,69,0.0,195
STD,183,0.0,32
STM,265,0.0,432
STV,283,0.0,363
STZ,68,0.0,195
SWD,254,0.0,420
SWK,179,16.741935483870968,402
TB,109,0.0,509
TBG,144,0.0,465
TBR,104,0.0,528
TBU,108,0.0,530
TG,187,0.0,310
TL,88,0.0,214
TPSW,86,0.0,214
TWL,124,0.0,373
UHM,278,0.0,436
UHZ,275,0.0,436
UST,270,0.0,435
UT,50,46.87096774193548,98
UTG,48,0.0,20
UTLN,54,0.0,171
UTLR,47,4.516129032258065,112
UTO,53,0.0,171
UTT,45,4.516129032258065,107
UTVR,51,0.0,171
UTZL,52,0.0,171
VB,18,0.0,29
VD,144,0.0,373
VDL,168,0.0,32
VDM,270,0.0,433
VEM,128,0.0,375
VG,102,0.0,244
VH,8,53.38709677419355,0
VHP,177,0.0,362
VK,177,0.0,32
VL,182,0.6774193548387096,309
VLB,159,0.0,491
VNDC,85,0.0,205
VNDW,84,0.0,205
VP,114,0.0,429
VRY,166,0.0,492
VS,171,30.35483870967742,218
VSS,170,19.70967741935484,191
VST,5,60.2258064516129,85
VSV,151,0.0,465
VTN,43,4.516129032258065,98
VZ,174,0.0,474
WAD,25,0.0,111
WADN,24,0.0,111
WADT,26,0.0,111
WC,132,0.0,268
WD,34,41.70967741935484,97
WDN,163,0.0,380
WF,100,0.0,193
WFM,267,0.0,435
WH,146,0.0,414
WK,270,0.0,358
WL,133,0.0,448
WM,55,0.0,46
WP,53,42.41935483870968,62
WR,297,0.0,444
WS,275,0.0,435
WSM,259,0.0,421
WT,158,0.0,309
WTV,113,0.0,430
WV,192,0.9032258064516128,352
WW,172,0.0,484
WWW,173,0.0,484
WZ,128,0.0,351
YPB,22,0.0,32
ZA,110,0.0,217
ZB,262,0.0,429
ZBM,85,0.0,214
ZD,50,18.483870967741936,21
ZDK,53,18.483870967741936,24
ZH,255,0.0,420
ZL,137,66.45161290322581,338
ZLSH,142,0.0,352
ZLW,73,0.0967741935483871,233
ZP,132,0.0,373
ZTM,27,0.0,29
ZTMO,28,0.0,29
ZV,122,0.0,428
ZVB,81,0.032258064516129,238
ZVT,37,0.935483870967742,0
ZWD,56,0.0,291
ZZS,53,0.0,24
