Station Code,distance_WL,services_per_day_WL,n_of_disruptions_WL
VTN,90,0,355
VZ,113,0,168
WAD,123,0,435
WADN,124,0,435
WADT,122,0,435
WC,53,0,277
WD,99,0,350
WDN,102,0,105
WF,33,0,277
WFM,229,0,205
WH,85,0,108
WK,232,0,142
WL,0,0,0
WM,137,0,840
WP,107,0,569
WR,259,0,214
WS,237,0,205
WSM,221,0,191
WT,147,0,454
WTV,20,55.483870967741936,23
WV,154,0,122
WW,39,35.54838709677419,36
WWW,40,0,36
WZ,108,0,122
YPB,136,0,435
ZA,47,0,291
ZB,224,0,199
ZBM,90,0,337
ZD,131,0,837
ZDK,134,0,840
ZH,217,0,190
ZL,99,0,108
ZLSH,104,0,122
ZLW,145,0,746
ZP,52,0,32
ZTM,131,0,435
ZTMO,130,0,435
ZV,11,55.483870967741936,20
ZVB,153,0,751
ZVT,148,0,854
ZWD,132,0,488
ZZS,134,0,840
