station,distance,services_per_day,n_of_disruptions
HMBH,142,0,455
HMBV,138,0,451
HMH,140,0,451
HMN,103,0,554
HN,115,0,523
HNK,116,0,579
HNO,51,0,14
HNP,176,0,34
HON,89,0,90
HOR,49,0,244
HR,105,0,14
HRL,224,0,502
HRLW,226,0,519
HRN,139,0,67
HRT,167,0,656
[HRY,inf,0,0
HT,96,0,316
HTN,56,0,316
HTNC,57,0,344
HTO,97,0,389
HVL,33,0,243
HVS,43,0,243
HVSM,44,0,244
HVSP,44,0,244
HWD,118,0,605
HWZB,83,0,523
HZE,139,0,457
IJT,159,0,32
KBD,193,0,627
KBK,79,0,279
KLP,68,0,283
KMA,90,0,536
KMR,232,0,519
KMW,181,0,39
KPN,54,0,14
KPNZ,54,0,14
KRD,232,0,530
KRG,200,0,627
KTR,98,0,440
KW,153,0,88
KZ,84,0,526
LAA,109,0,430
LC,103,0,90
LDL,97,0,334
LDM,88,0,441
LEDN,98,0,341
LEER,214,0,106
LG,227,0,519
LLS,96,0,14
LLZM,93,0,401
LP,171,0,94
LTN,53,0,260
LTV,121,0,92
LUT,209,0,502
LW,134,0,14
LWC,137,0,31
MAS,55,0,316
MDB,230,0,627
MES,232,0,504
MG,144,0,31
MMLH,107,0,561
MP,67,0,14
MRB,73,0,21
MRN,68,0,348
MT,226,0,502
MTH,154,0,90
MTN,229,0,504
MTR,227,0,504
MZ,149,0,462
[NEA,inf,0,0
NDB,49,0,244
NH,217,0,533
NKK,16,36.83870967741935,0
NM,97,0,540
NMD,102,0,561
NMGO,100,0,561
NMH,100,0,561
NML,96,0,554
NS,12,36.67741935483871,0
NSCH,189,0,97
NVD,71,0,14
NVP,92,0,499
NWK,89,0,401
O,115,0,389
OBD,124,0,615
ODB,154,0,596
ODZ,109,0,115
OMN,62,0,21
OP,102,0,443
OST,60,0,14
OT,117,0,432
OTB,74,0,283
OVN,93,0,539
OW,114,0,392
PMO,97,0,524
PMR,96,0,523
PMW,95,0,526
PT,9,35.83870967741935,14
RAI,70,0,247
RAT,57,0,14
RB,190,0,627
RD,183,0,98
RH,88,0,543
RHN,91,0,351
RL,108,0,92
RLB,111,0,480
RM,180,0,451
RS,103,0,392
RSD,161,0,591
RSN,87,0,26
RSW,112,0,416
RTA,94,0.967741935483871,401
RTB,105,0,471
RTD,104,0.967741935483871,401
RTN,99,0,403
RTST,109,0,480
RTZ,108,0,480
RV,171,0,676
RVS,113,0,540
SBK,212,0,532
SD,40,0,257
SDA,172,0,88
SDM,108,0,471
SDT,113,0,471
SDTB,116,0,472
SGL,236,0,518
SGN,132,0,615
SHL,82,0,321
SK,156,0,31
SKND,155,0,31
SM,177,0,690
SN,214,0,533
SOG,234,0,519
SPTN,98,0,557
SPTZ,96,0,557
SRN,198,0,529
SSH,103,0,499
ST,41,0,257
