Station Code,Distance from WD,Services from/to WD,Disruptions on path to WD
WV,158,0.0,254
WW,138,0.0,386
WWW,139,0.0,386
WZ,94,0.0,253
YPB,37,36.45161290322581,88
ZA,76,0.0,119
ZB,228,0.0,331
ZBM,51,1.032258064516129,116
ZD,56,36.193548387096776,279
ZDK,59,0.0,282
ZH,221,0.0,322
ZL,103,0.0,240
ZLSH,108,0.0,254
ZLW,75,0.0,272
ZP,98,0.0,275
ZTM,32,28.032258064516128,85
ZTMO,31,36.45161290322581,85
ZV,88,0.0,330
ZVB,83,0.0,277
ZVT,71,0.0,107
ZWD,58,0.0,260
ZZS,59,36.193548387096776,282
