Station Code,Distance from ASD,Services from/to ASD,Disruptions on path to ASD
UTO,42,0.0,73
UTT,44,0.0,73
UTVR,40,6.580645161290323,73
UTZL,37,10.225806451612904,17
VB,66,0.0,29
VD,118,0.0,289
VDL,216,0.0,61
VDM,244,0.0,95
VEM,102,0.0,291
VG,91,0.0,146
VH,40,0.032258064516129,21
VHP,151,0.0,24
VK,225,0.0,61
VL,171,0.064516129032258,211
VLB,147,0.0,357
VNDC,74,1.5483870967741935,107
VNDW,73,1.5483870967741935,107
VP,102,0.0,552
VRY,154,0.0,358
VS,219,26.83870967741936,102
VSS,218,17.677419354838708,75
VST,53,19.0,21
VSV,139,0.0,588
VTN,46,0.0,78
VZ,148,0.0,390
WAD,70,0.0,86
WADN,71,0.0,86
WADT,69,0.0,86
WC,121,0.0,170
WD,46,36.516129032258064,0
WDN,137,0.0,296
WF,88,0.0,294
WFM,241,0.0,97
WH,120,0.0,330
WK,244,0.0,274
WL,121,0.0,571
WM,16,47.096774193548384,24
WP,14,78.0,1
WR,271,0.0,106
WS,249,0.0,97
WSM,233,0.0,83
WT,147,48.354838709677416,211
WTV,101,0.0,553
WV,166,0.032258064516129,14
WW,151,0.0,303
WWW,150,0.0,303
WZ,102,0.0,267
YPB,70,0.0,32
ZA,99,0.0,119
ZB,236,0.0,91
ZBM,74,0.0967741935483871,116
ZD,10,99.3225806451613,21
ZDK,13,1.064516129032258,24
ZH,229,0.0,82
ZL,111,39.45161290322581,0
ZLSH,116,0.0,14
ZLW,121,0.064516129032258,187
ZP,106,0.0,289
ZTM,75,0.0,29
ZTMO,76,0.0,29
ZV,110,0.0,551
ZVB,129,0.032258064516129,192
ZVT,27,19.870967741935484,37
ZWD,104,0.0,175
ZZS,13,47.064516129032256,24
