Station Code,Distance from ALMP,Services from/to ALMP,Disruptions on path to ALMP
FN,191,0.0,36
FWD,188,0.0,36
GBG,127,0.0,50
GD,81,0.0,148
GDG,78,0.0,149
GDM,77,0.0,217
GDR,135,0.0,718
GERP,183,0.0,83
GK,204,0.0,98
GLN,212,0.0,406
GN,185,0.0,83
GND,112,0.0,281
GNN,189,0.0,98
GO,140,0.0,173
GP,137,0.0,355
GR,103,0.0,279
GS,213,0.0,308
GV,87,0.0,333
GVC,86,19.032258064516128,333
GVM,82,19.032258064516128,428
GVMW,88,0.0,348
GW,161,0.0,26
GZ,132,0.0,305
HAD,55,0.0,410
HB,223,0.0,437
HBZM,115,0.0,291
HD,76,0.0,387
HDB,121,0.0,37
HDE,97,0.0,30
HDG,184,0.0,36
HDR,113,0.0,511
HDRZ,112,0.0,511
HFD,47,55.064516129032256,205
HGL,138,0.0,121
HGLG,140,0.0,140
HGLO,140,0.0,140
HGV,127,0.0,19
HGZ,196,0.0,106
HIL,62,0.0,410
HK,58,0.0,449
HKS,85,0.0,466
HLG,200,0.0,37
HLGH,201,0.0,41
HLM,51,0.0,389
HLMS,50,0.0,410
HLO,66,0.0,416
HM,144,0.0,355
HMBH,145,0.0,359
HMBV,141,0.0,355
HMH,143,0.0,355
HMN,108,0.0,263
HN,75,0.0,410
HNK,76,0.0,466
HNO,91,0.0,30
HNP,216,0.0,39
HON,126,0.0,166
HOR,39,0.0,144
HR,145,0.0,19
HRL,227,0.0,406
HRLW,229,0.0,423
HRN,179,0.0,83
HRT,171,0.0,387
HT,99,0.0,217
HTN,59,0.0,217
HTNC,60,0.0,245
HTO,100,0.0,290
HVL,55,0.0,384
HVS,33,0.0,143
HVSM,32,0.0,176
HVSP,34,0.0,144
HWD,78,0.0,492
HWZB,43,0.0,410
HZE,142,0.0,361
IJT,199,0.0,37
KBD,195,0.0,308
KBK,101,0.0,167
KLP,85,0.0,217
KMA,50,0.0,423
KMR,235,0.0,423
KMW,221,0.0,44
KPN,94,0.0,30
KPNZ,64,36.87096774193548,20
KRD,235,0.0,434
KRG,202,0.0,308
KTR,101,0.0,260
KW,193,0.0,104
KZ,44,0.0,413
LAA,85,19.032258064516128,333
LC,127,0.0,166
LDL,72,0.0,343
LDM,91,0.0,261
LEDN,71,34.096774193548384,333
LG,230,0.0,423
LLS,22,40.70967741935484,5
LLZM,94,0.0,233
LP,211,0.0,110
LTN,75,0.0,401
LTV,145,0.0,168
LUT,212,0.0,406
LW,174,0.0,19
LWC,177,0.0,36
MAS,51,0.0,148
MDB,232,0.0,335
MES,235,0.0,408
MG,184,0.0,36
MMLH,129,0.0,445
MP,107,0.0,30
MRB,113,0.0,37
MRN,71,0.0,249
MT,229,0.0,406
MTH,194,0.0,106
MTN,232,0.0,408
MTR,230,0.0,408
MZ,152,0.0,366
NDB,27,0.0,132
NH,220,0.0,437
NKK,60,0.0,384
NM,119,0.0,424
NMD,124,0.0,445
NMGO,122,0.0,445
NMH,122,0.0,445
NML,118,0.0,695
NS,88,0.0,384
NSCH,229,0.0,113
NVD,111,0.0,39
NVP,52,34.096774193548384,333
NWK,90,0.0,233
O,118,0.0,290
OBD,84,0.0,410
ODB,156,0.0,425
ODZ,149,0.0,140
OMN,102,0.0,37
OP,105,0.0,263
OST,100,0.0,30
OT,120,0.0,333
OTB,96,0.0,424
OVN,53,0.0,426
OW,117,0.0,290
PMO,57,0.0,389
PMR,56,0.0,410
PMW,55,0.0,413
PT,67,0.0,384
RAI,30,20.41935483870968,134
RAT,97,0.0,30
RB,192,0.0,425
RD,223,0.0,114
RH,110,0.0,682
RHN,94,0.0,252
RL,132,0.0,168
RLB,112,0.0,303
RM,183,0.0,355
RS,106,0.0,290
RSD,163,0.0,303
RSN,127,0.0,51
RSW,90,0.0,348
RTA,95,0.0,233
RTB,106,0.0,303
RTD,105,0.0,233
RTN,100,0.0,235
RTST,110,0.0,303
RTZ,109,0.0,303
RV,193,0.0,560
RVS,126,0.0,311
SBK,215,0.0,436
SD,44,0.0,158
SDA,212,0.0,104
SDM,105,0.0,449
SDT,116,0.0,291
SDTB,119,0.0,292
SGL,239,0.0,422
SGN,92,0.0,502
SHL,42,55.064516129032256,205
SK,196,0.0,36
SKND,195,0.0,36
SM,188,0.0,404
SN,217,0.0,437
SOG,237,0.0,423
SPTN,58,0.0,426
SPTZ,56,0.0,426
SRN,201,0.0,433
SSH,63,34.096774193548384,333
ST,45,0.0,158
STD,208,0.0,404
STM,207,0.0,110
STV,225,0.0,44
STZ,46,0.0,158
SWD,196,0.0,98
SWK,121,0.0,80
TB,121,0.0,290
TBG,136,0.0,718
TBR,126,0.0,303
TBU,122,0.0,303
TG,186,0.0,541
TL,89,0.0,260
TPSW,87,0.0,260
TWL,102,0.0,166
UHM,220,0.0,114
UHZ,217,0.0,114
UST,212,0.0,113
UT,51,0.0,144
UTG,55,0.0,448
UTLN,55,0.0,217
UTLR,54,0.0,217
UTO,48,0.0,144
UTT,56,0.0,217
UTVR,52,0.0,217
UTZL,53,0.0,217
VB,89,0.0,362
VD,122,0.0,166
VDL,231,0.0,423
VDM,212,0.0,111
VEM,106,0.0,168
VG,103,0.0,290
VH,72,0.0,410
VHP,119,0.0,40
VK,240,0.0,423
VL,181,0.0,540
VLB,151,0.0,487
VNDC,86,0.0,251
VNDW,85,0.0,251
VP,106,0.0,682
VRY,158,0.0,488
VS,238,0.0,335
VSS,237,0.0,308
VST,76,19.032258064516128,428
VSV,143,0.0,718
VTN,58,0.0,222
VZ,126,0.0,41
WAD,89,0.0,233
WADN,90,0.0,233
WADT,88,0.0,233
WC,128,0.0,681
WD,65,0.0,148
WDN,119,0.0,51
WF,92,0.0,424
WFM,209,0.0,113
WH,93,0.0,30
WK,212,0.0,39
WL,125,0.0,701
WM,48,0.0,413
WP,18,58.58064516129032,132
WR,239,0.0,122
WS,217,0.0,113
WSM,201,0.0,99
WT,159,0.0,355
WTV,105,0.0,683
WV,134,0.0,19
WW,155,0.0,180
WWW,154,0.0,180
WZ,88,0.0,30
YPB,93,0.0,365
ZA,111,0.0,263
ZB,204,0.0,107
ZBM,86,0.0,260
ZD,42,0.0,410
ZDK,45,0.0,413
ZH,197,0.0,98
ZL,79,36.87096774193548,16
ZLSH,84,0.0,30
ZLW,140,0.0,420
ZP,110,0.0,166
ZTM,97,0.0,233
ZTMO,96,0.0,233
ZV,114,0.0,681
ZVB,148,0.0,425
ZVT,59,0.0,426
ZWD,123,0.0,408
ZZS,45,0.0,413
