Station Code,Distance from DT,Services from/to DT,Disruptions on path to DT
DDN,191,0.0,410
DDR,34,117.61290322580643,0
DDRS,37,0.0,117
DDZD,35,0.032258064516129,117
DEI,255,0.0,377
DID,146,0.0,377
DL,168,0.0,374
DLD,81,0.0,140
DLN,215,0.0,408
DMN,75,0.0,148
DMNZ,70,0.0,97
DN,144,0.6774193548387096,459
DR,143,0.0,377
DRH,61,0.0,26
DRON,142,0.0,313
DRP,262,0.0,391
DT,0,0.0,0
DTC,157,0.0,397
DTCH,155,0.0,397
DTCP,1,61.064516129032256,0
DV,148,0.0,360
DVC,152,0.0,395
DVD,68,6.806451612903226,94
DVN,136,0.0,379
DVNK,21,0.0,18
DWE,268,0.0,377
DZ,300,0.0,45
DZW,299,0.0,45
EC,185,0.0,21
ED,110,0.3870967741935484,120
EDC,112,0.0,142
EDN,189,0.0,19
EEM,307,0.0,13
EGH,159,0.0,17
EGHM,160,0.0,17
EHS,121,0.0,525
EHV,122,34.25806451612903,393
EKZ,125,0.0,118
EML,113,0.0,360
EMN,231,0.0,409
EMNZ,227,0.0,408
ES,204,0.0,462
ESK,200,0.0,462
EST,128,0.0,195
ETN,75,0.0,393
FN,268,0.0,377
FWD,265,0.0,377
GBG,204,0.0,394
GD,37,0.0,15
GDG,40,0.0,100
GDM,83,0.0,149
GDR,162,0.0,414
GERP,260,0.0,427
GK,281,0.0,15
GLN,169,0.0,18
GN,262,0.0,0
GND,48,0.0,118
GNN,266,0.0,15
GO,181,0.0,402
GP,128,0.0,455
GR,57,0.0,128
GS,122,32.54838709677419,75
GV,8,188.7741935483871,0
GVC,9,114.4516129032258,15
GVM,13,0.0,15
GVMW,7,81.90322580645162,0
GW,238,0.0,431
GZ,74,0.0,393
HAD,49,29.61290322580645,25
HB,158,0.0,17
HBZM,45,0.0,118
HD,117,0.0,363
HDB,198,0.0,381
HDE,138,0.0,360
HDG,261,0.0,377
HDR,130,0.0,160
HDRZ,129,0.0,160
HFD,48,0.064516129032258,15
HGL,196,0.0,443
HGLG,194,0.0,443
HGLO,198,0.0,462
HGV,204,0.0,374
HGZ,273,0.0,450
HIL,42,0.0,25
HK,69,0.0,45
HKS,117,0.0,102
HLG,277,0.0,378
HLGH,278,0.0,382
HLM,53,29.61290322580645,25
HLMS,54,0.0,25
HLO,83,0.0,45
HM,135,0.6774193548387096,455
HMBH,136,0.0,459
HMBV,132,0.0,455
HMH,134,0.0,455
HMN,114,0.0,195
HN,107,0.0,46
HNK,108,0.0,102
HNO,168,0.0,374
HNP,293,0.0,380
HON,167,0.0,395
HOR,81,0.032258064516129,120
HR,222,0.0,431
HRL,154,0.0,0
HRLW,156,0.0,17
HRN,256,0.0,427
HRT,162,0.6774193548387096,487
HT,105,0.6774193548387096,192
HTN,77,0.0,120
HTNC,78,0.0,148
HTO,106,0.0,265
HVL,96,0.0,360
HVS,87,0.0,120
HVSM,88,0.0,121
HVSP,86,0.0,120
HWD,95,0.0,141
HWZB,61,0.0,25
HZE,133,0.0,461
IJT,276,0.0,378
KBD,104,21.90322580645161,75
KBK,142,0.0,396
KLP,103,0.3870967741935484,120
KMA,77,0.0,46
KMR,162,0.0,17
KMW,298,0.0,385
KPN,171,0.0,374
KPNZ,159,0.0,314
KRD,162,0.0,28
KRG,111,21.967741935483872,75
KTR,107,0.0,192
KW,270,0.0,448
KZ,76,0.0,49
LAA,10,68.6774193548387,15
LC,168,0.0,395
LDL,25,0.0,25
LDM,69,0.0,148
LEDN,24,73.09677419354838,15
LG,157,0.0,17
LLS,117,6.806451612903226,299
LLZM,24,0.0,44
LP,288,0.0,27
LTN,116,0.0,377
LTV,186,0.0,397
LUT,177,0.0,19
LW,251,0.0,360
LWC,254,0.0,377
MAS,76,0.0,120
MDB,141,32.54838709677419,102
MES,174,0.0,17
MG,261,0.0,377
MMLH,146,0.0,230
MP,184,0.0,374
MRB,190,0.0,381
MRN,89,0.0,152
MT,180,0.0,17
MTH,271,0.0,450
MTN,177,0.0,31
MTR,181,0.0,19
MZ,143,0.0,466
NDB,86,0.0,112
NH,161,0.0,17
NKK,101,0.0,360
NM,136,0.0,209
NMD,141,0.0,230
NMGO,139,0.0,230
NMH,139,0.0,230
NML,135,0.0,209
NS,129,0.0,360
NSCH,306,0.0,457
NVD,188,0.0,383
NVP,43,0.032258064516129,25
NWK,29,0.0,128
O,124,0.0,265
OBD,101,0.0,151
ODB,65,0.064516129032258,122
ODZ,207,0.0,462
OMN,179,0.0,381
OP,111,0.0,195
OST,158,0.0,426
OT,93,0.0,406
OTB,123,0.0,142
OVN,55,0.0,25
OW,123,0.0,265
PMO,89,0.0,46
PMR,88,0.0,46
PMW,87,0.0,49
PT,108,0.0,360
RAI,65,0.0,168
RAT,174,0.0,374
RB,101,21.90322580645161,122
RD,300,0.0,0
RH,137,0.0,378
RHN,112,0.0,155
RL,173,0.0,397
RLB,21,59.74193548387097,70
RM,174,0.0,455
RS,112,0.0,265
RSD,72,37.54838709677419,70
RSN,174,0.0,395
RSW,5,81.90322580645162,0
RTA,24,0.0,70
RTB,15,117.58064516129032,70
RTD,14,160.06451612903226,0
RTN,19,0.0,70
RTST,19,0.4193548387096774,70
RTZ,18,59.774193548387096,70
RV,185,0.0,504
RVS,132,0.0,286
SBK,166,0.0,17
SD,89,0.0,144
SDA,289,0.0,448
SDM,10,121.64516129032258,0
SDT,44,0.0,117
SDTB,41,0.0,117
SGL,170,0.0,17
SGN,109,0.0,151
SHL,53,35.25806451612903,44
SK,273,0.0,377
SKND,272,0.0,377
SM,179,0.0,504
SN,164,0.0,17
SOG,164,0.0,17
SPTN,60,0.0,25
SPTZ,58,0.0,25
SRN,180,0.0,19
SSH,32,0.0,25
ST,88,0.0,144
STD,173,0.0,17
STM,284,0.0,27
STV,302,0.0,385
STZ,87,0.0,144
SWD,273,0.0,15
SWK,198,0.0,424
TB,85,33.58064516129032,393
TBG,163,0.0,414
TBR,80,0.0,412
TBU,84,0.0,414
TG,179,0.0,456
TL,95,0.0,192
TPSW,93,0.0,192
TWL,143,0.0,395
UHM,297,0.0,0
UHZ,294,0.0,15
UST,289,0.0,15
UT,69,4.354838709677419,47
UTG,72,0.0,45
UTLN,73,0.0,120
UTLR,66,0.0,115
UTO,72,0.0,120
UTT,64,0.0,110
UTVR,70,0.0,120
UTZL,71,0.0,120
VB,12,0.0,44
VD,163,0.0,395
VDL,158,0.0,17
VDM,289,0.0,455
VEM,147,0.0,397
VG,109,0.0,265
VH,32,0.0,25
VHP,196,0.0,384
VK,167,0.0,17
VL,174,0.6774193548387096,455
VLB,168,0.0,272
VNDC,104,0.0,154
VNDW,103,0.0,154
VP,133,0.0,378
VRY,175,0.0,273
VS,147,32.54838709677419,102
VSS,146,21.90322580645161,75
VST,19,0.0,18
VSV,170,0.0,414
VTN,62,0.0,101
VZ,193,0.0,496
WAD,45,0.0,100
WADN,46,0.0,100
WADT,44,0.0,100
WC,139,0.0,289
WD,53,0.0,100
WDN,182,0.0,402
WF,119,0.0,142
WFM,286,0.0,44
WH,165,0.0,436
WK,289,0.0,380
WL,152,0.0,397
WM,79,0.0,71
WP,77,0.0,106
WR,316,0.0,466
WS,294,0.0,457
WSM,278,0.0,15
WT,150,0.0,455
WTV,132,0.0,379
WV,211,0.0,374
WW,191,0.0,433
WWW,192,0.0,433
WZ,147,0.0,373
YPB,16,0.0,47
ZA,117,0.0,195
ZB,281,0.0,451
ZBM,92,0.0,192
ZD,74,0.0,46
ZDK,77,0.0,49
ZH,274,0.0,15
ZL,156,0.0,360
ZLSH,161,0.0,374
ZLW,49,0.1290322580645161,117
ZP,151,0.0,395
ZTM,21,0.0,44
ZTMO,22,0.0,44
ZV,141,0.0,377
ZVB,57,0.064516129032258,122
ZVT,61,0.0,25
ZWD,32,59.74193548387097,175
ZZS,77,0.0,49
