Station Code,Distance from BDPB,Services from/to BDPB,Disruptions on path to BDPB
HGLG,182,0.0,759
HGLO,186,0.0,778
HGV,231,0.0,736
HGZ,300,0.0,812
HIL,101,0.0,318
HK,128,0.0,433
HKS,176,0.0,319
HLG,304,0.0,754
HLGH,305,0.0,758
HLM,112,0.0,358
HLMS,113,0.0,395
HLO,142,0.0,437
HM,76,0.0,385
HMBH,77,0.0,389
HMBV,73,0.0,385
HMH,75,0.0,385
HMN,101,0.0,455
HN,166,0.0,263
HNK,167,0.0,319
HNO,195,0.0,736
HNP,320,0.0,756
HON,174,0.0,777
HOR,108,0.0,482
HR,249,0.0,736
HRL,159,0.0,436
HRLW,161,0.0,453
HRN,283,0.0,789
HRT,103,0.0,417
HT,48,28.161290322580644,336
HTN,88,0.0,505
HTNC,87,0.0,505
HTO,49,27.41935483870968,409
HVL,123,0.0,722
HVS,114,0.0,482
HVSM,115,0.0,483
HVSP,113,0.0,482
HWD,154,0.0,513
HWZB,120,0.0,395
HZE,74,0.0,391
IJT,303,0.0,754
KBD,61,0.0,359
KBK,148,0.0,711
KLP,128,0.0,609
KMA,136,0.0,434
KMR,167,0.0,453
KMW,325,0.0,761
KPN,198,0.0,736
KPNZ,198,0.0,736
KRD,167,0.0,464
KRG,68,0.0,359
KTR,94,0.0,452
KW,297,0.0,810
KZ,135,0.0,266
LAA,69,0.0,308
LC,156,0.0,711
LDL,84,0.0,318
LDM,60,0.0,155
LEDN,83,0.0,308
LG,162,0.0,453
LLS,169,0.0,626
LLZM,82,0.0,277
LP,315,0.0,816
LTN,135,0.0,731
LTV,174,0.0,713
LUT,144,0.0,436
LW,278,0.0,736
LWC,281,0.0,753
MAS,103,0.0,482
MDB,98,0.0,359
MES,167,0.0,438
MG,288,0.0,753
MMLH,101,0.0,451
MP,211,0.0,736
MRB,213,0.0,848
MRN,114,0.0,609
MT,161,0.0,436
MTH,298,0.0,812
MTN,164,0.0,438
MTR,162,0.0,438
MZ,84,0.0,396
NDB,120,0.0,483
NH,152,0.0,467
NKK,128,0.0,722
NM,91,27.41935483870968,430
NMD,86,27.41935483870968,433
NMGO,88,27.41935483870968,434
NMH,94,0.0,451
NML,92,7.354838709677419,451
NS,156,0.0,722
NSCH,333,0.0,819
NVD,197,0.0,784
NVP,102,0.0,318
NWK,60,0.0,250
O,67,27.41935483870968,409
OBD,160,0.0,523
ODB,26,0.0,5
ODZ,195,0.0,778
OMN,206,0.0,743
OP,98,0.0,455
OST,165,0.0,777
OT,34,0.0,336
OTB,114,0.0,708
OVN,114,0.0,395
OW,66,27.41935483870968,412
PMO,148,0.0,264
PMR,147,0.0,263
PMW,146,0.0,266
PT,135,0.0,725
RAI,124,0.0,316
RAT,201,0.0,736
RB,58,0.0,359
RD,327,0.0,820
RH,120,0.0,711
RHN,137,0.0,612
RL,161,0.0,713
RLB,38,0.0,221
RM,115,0.0,385
RS,55,27.41935483870968,412
RSD,29,0.0,323
RSN,181,0.0,777
RSW,64,0.0,293
RTA,55,0.0,192
RTB,44,0.0,122
RTD,45,0.0,122
RTN,50,0.0,192
RTST,40,0.0,227
RTZ,41,0.0,227
RV,126,0.0,434
RVS,75,27.41935483870968,430
SBK,147,0.0,466
SD,116,0.0,506
SDA,316,0.0,810
SDM,49,0.0,192
SDT,35,0.0,124
SDTB,32,0.0,124
SGL,171,0.0,452
SGN,168,0.0,523
SHL,112,0.0,192
SK,300,0.0,753
SKND,299,0.0,753
SM,120,0.0,434
SN,149,0.0,467
SOG,169,0.0,453
SPTN,119,0.0,413
SPTZ,117,0.0,413
SRN,133,0.0,463
SSH,91,0.0,318
ST,115,0.0,506
STD,140,0.0,434
STM,311,0.0,816
STV,329,0.0,761
STZ,114,0.0,506
SWD,300,0.0,804
SWK,225,0.0,786
TB,26,28.870967741935484,323
TBG,146,0.0,745
TBR,21,28.870967741935484,342
TBU,25,28.870967741935484,344
TG,120,0.0,470
TL,82,0.0,452
TPSW,80,0.0,452
TWL,160,0.0,777
UHM,324,0.0,820
UHZ,321,0.0,820
UST,316,0.0,819
UT,96,0.0,409
UTG,131,0.0,433
UTLN,92,0.0,533
UTLR,98,0.0,300
UTO,99,0.0,482
UTT,96,0.0,295
UTVR,95,0.0,533
UTZL,98,0.0,482
VB,71,0.0,337
VD,151,0.0,711
VDL,163,0.0,453
VDM,316,0.0,817
VEM,143,0.0,711
VG,51,0.0,379
VH,91,0.0,318
VHP,207,0.0,848
VK,172,0.0,453
VL,115,0.0,469
VLB,123,0.0,493
VNDC,129,0.0,611
VNDW,128,0.0,611
VP,116,0.0,711
VRY,130,0.0,494
VS,104,0.0,361
VSS,103,0.0,361
VST,78,0.0,311
VSV,153,0.0,745
VTN,94,0.0,286
VZ,200,0.0,847
WAD,77,0.0,277
WADN,78,0.0,277
WADT,76,0.0,277
WC,82,27.41935483870968,433
WD,85,0.0,285
WDN,189,0.0,784
WF,118,0.0,708
WFM,313,0.0,819
WH,172,0.0,787
WK,316,0.0,756
WL,135,0.0,728
WM,138,0.0,459
WP,129,0.0,494
WR,343,0.0,828
WS,321,0.0,819
WSM,305,0.0,805
WT,91,0.0,385
WTV,115,0.0,710
WV,238,0.0,736
WW,174,0.0,764
WWW,175,0.0,764
WZ,174,0.0,735
YPB,75,0.0,340
ZA,104,0.0,455
ZB,308,0.0,813
ZBM,61,0.0,409
ZD,133,0.0,263
ZDK,136,0.0,266
ZH,301,0.0,804
ZL,183,0.0,722
ZLSH,188,0.0,736
ZLW,10,30.193548387096776,0
ZP,139,0.0,711
ZTM,80,0.0,337
ZTMO,81,0.0,340
ZV,124,0.0,708
ZVB,18,0.0,5
ZVT,120,0.0,396
ZWD,27,0.0,122
ZZS,136,0.0,266
