Station Code,Distance from VB,Services from/to VB,Disruptions on path to VB
HWD,89,0.0,155
HWZB,55,0.0,39
HZE,145,0.0,591
IJT,264,0.0,338
KBD,116,0.0,205
KBK,130,0.0,356
KLP,91,0.0,80
KMA,71,0.0,60
KMR,160,0.0,61
KMW,286,0.0,345
KPN,159,0.0,334
KPNZ,153,0.0,299
KRD,160,0.0,72
KRG,123,0.0,205
KTR,107,0.0,123
KW,258,0.0,408
KZ,70,0.0,63
LAA,4,0.0,29
LC,156,0.0,355
LDL,19,0.0,39
LDM,81,0.0,278
LEDN,18,0.0,29
LG,155,0.0,61
LLS,111,0.0,284
LLZM,12,45.54838709677419,4
LP,276,0.0,414
LTN,104,0.0,337
LTV,174,0.0,357
LUT,175,0.0,63
LW,239,0.0,320
LWC,242,0.0,337
MAS,64,0.0,80
MDB,153,0.0,232
MES,172,0.0,61
MG,249,0.0,337
MMLH,144,0.0,358
MP,172,0.0,334
MRB,178,0.0,341
MRN,77,0.0,112
MT,178,0.0,61
MTH,259,0.0,410
MTN,175,0.0,75
MTR,179,0.0,63
MZ,155,0.0,596
NDB,80,0.0,97
NH,159,0.0,61
NKK,89,0.0,320
NM,134,0.0,337
NMD,139,0.0,358
NMGO,137,0.0,358
NMH,137,0.0,358
NML,133,0.0,351
NS,117,0.0,320
NSCH,294,0.0,417
NVD,176,0.0,343
NVP,37,0.0,39
NWK,34,0.0,85
O,124,0.0,153
OBD,95,0.0,165
ODB,77,0.0,252
ODZ,195,0.0,422
OMN,167,0.0,341
OP,111,0.0,126
OST,146,0.0,386
OT,105,0.0,536
OTB,111,0.0,102
OVN,49,0.0,39
OW,123,0.0,153
PMO,83,0.0,60
PMR,82,0.0,60
PMW,81,0.0,63
PT,96,0.0,320
RAI,59,0.0,153
RAT,162,0.0,334
RB,113,0.0,252
RD,288,0.0,418
RH,125,0.0,338
RHN,100,0.0,115
RL,161,0.0,357
RLB,33,0.0,200
RM,186,0.0,585
RS,112,0.0,153
RSD,84,0.0,200
RSN,162,0.0,355
RSW,7,0.0,29
RTA,36,0.0,200
RTB,27,0.0,200
RTD,26,0.0,130
RTN,31,0.0,200
RTST,31,0.0,200
RTZ,30,0.0,200
RV,197,0.0,634
RVS,132,0.0,174
SBK,164,0.0,61
SD,77,0.0,104
SDA,277,0.0,408
SDM,22,0.0,130
SDT,56,0.0,247
SDTB,53,0.0,247
SGL,168,0.0,61
SGN,103,0.0,165
SHL,47,0.0,29
SK,261,0.0,337
SKND,260,0.0,337
SM,191,0.0,634
SN,162,0.0,61
SOG,162,0.0,61
SPTN,54,0.0,39
SPTZ,52,0.0,39
SRN,178,0.0,63
SSH,26,0.0,39
ST,76,0.0,104
STD,171,0.0,61
STM,272,0.0,414
STV,290,0.0,345
STZ,75,0.0,104
SWD,261,0.0,402
SWK,186,0.0,384
TB,97,0.0,523
TBG,151,0.0,374
TBR,92,0.0,542
TBU,96,0.0,544
TG,191,0.0,586
TL,95,35.193548387096776,123
TPSW,93,35.193548387096776,123
TWL,131,0.0,355
UHM,285,0.0,418
UHZ,282,0.0,418
UST,277,0.0,417
UT,57,35.61290322580645,7
UTG,66,0.0,59
UTLN,61,35.193548387096776,80
UTLR,54,35.61290322580645,100
UTO,60,0.0,80
UTT,52,35.61290322580645,95
UTVR,58,35.193548387096776,80
UTZL,59,0.0,80
VB,0,0.0,0
VD,151,0.0,355
VDL,156,0.0,61
VDM,277,0.0,415
VEM,135,0.0,357
VG,109,0.0,153
VH,26,0.0,39
VHP,184,0.0,344
VK,165,0.0,61
VL,186,0.0,585
VLB,166,0.0,400
VNDC,92,0.0,114
VNDW,91,0.0,114
VP,121,0.0,338
VRY,173,0.0,401
VS,159,0.0,232
VSS,158,0.0,205
VST,13,0.0,32
VSV,158,0.0,374
VTN,50,35.61290322580645,86
VZ,181,0.0,456
WAD,33,0.0,85
WADN,34,0.0,85
WADT,32,0.0,85
WC,139,0.0,177
WD,41,35.61290322580645,85
WDN,170,0.0,362
WF,107,0.0,102
WFM,274,0.0,417
WH,153,0.0,396
WK,277,0.0,340
WL,140,0.0,357
WM,73,0.0,85
WP,71,0.0,91
WR,304,0.0,426
WS,282,0.0,417
WSM,266,0.0,403
WT,162,0.0,585
WTV,120,0.0,339
WV,199,0.0,334
WW,179,0.0,393
WWW,180,0.0,393
WZ,135,0.0,333
YPB,4,45.54838709677419,0
ZA,117,0.0,126
ZB,269,0.0,411
ZBM,92,0.0,123
ZD,68,0.0,60
ZDK,71,0.0,63
ZH,262,0.0,402
ZL,144,0.0,320
ZLSH,149,0.0,334
ZLW,61,0.0,247
ZP,139,0.0,355
ZTM,9,36.903225806451616,4
ZTMO,10,45.54838709677419,4
ZV,129,0.0,337
ZVB,69,0.0,252
ZVT,55,0.0,39
ZWD,44,0.0,305
ZZS,71,0.0,63
