Station Code,Distance from HVL,Services from/to HVL,Disruptions on path to HVL
HM,120,0.0,448
HMBH,121,0.0,452
HMBV,117,0.0,448
HMH,119,0.0,448
HMN,70,0.0,311
HN,94,0.0,520
HNK,95,0.0,576
HNO,84,0.0,254
HNP,209,0.0,274
HON,83,0.0,306
HOR,28,0.0,241
HR,138,0.0,254
HRL,193,0.0,498
HRLW,195,0.0,515
HRN,172,0.0,307
HRT,134,0.0,413
HT,75,0.0,313
HTN,35,0.0,313
HTNC,36,0.0,341
HTO,76,0.0,386
HVL,0,0.0,0
HVS,22,0.0,240
HVSM,23,0.0,241
HVSP,23,0.0,241
HWD,97,0.0,602
HWZB,62,0.0,520
HZE,118,0.0,454
IJT,192,0.0,272
KBD,172,0.0,624
KBK,58,0.0,276
KLP,35,0.0,40
KMA,69,0.0,533
KMR,201,0.0,515
KMW,214,0.0,279
KPN,87,0.0,254
KPNZ,87,0.0,254
KRD,201,0.0,526
KRG,179,0.0,624
KTR,77,0.0,437
KW,186,0.0,328
KZ,63,0.0,523
LAA,88,0.0,427
LC,84,0.0,275
LDL,76,0.0,331
LDM,67,0.0,438
LEDN,77,0.0,338
LG,196,0.0,515
LLS,77,0.0,384
LLZM,72,0.0,398
LP,204,0.0,334
LTN,20,38.25806451612903,17
LTV,102,0.0,277
LUT,178,0.0,498
LW,167,0.0,254
LWC,170,0.0,271
MAS,34,0.0,313
MDB,209,0.0,624
MES,201,0.0,500
MG,177,0.0,271
MMLH,74,0.0,318
MP,100,0.0,254
MRB,106,0.0,261
MRN,47,0.0,345
MT,195,0.0,498
MTH,187,0.0,330
MTN,198,0.0,500
MTR,196,0.0,500
MZ,128,0.0,459
NDB,28,0.0,241
NH,186,0.0,529
NKK,17,0.0,240
NM,64,0.0,297
NMD,69,0.0,318
NMGO,67,0.0,318
NMH,67,0.0,318
NML,63,0.0,311
NS,45,0.0,240
NSCH,222,0.0,337
NVD,104,0.0,254
NVP,71,0.0,496
NWK,68,0.0,398
O,88,0.0,318
OBD,103,0.0,612
ODB,133,0.0,593
ODZ,123,0.0,342
OMN,95,0.0,261
OP,73,0.0,311
OST,74,0.0,306
OT,96,0.0,429
OTB,41,0.0,40
OVN,72,0.0,536
OW,89,0.0,339
PMO,76,0.0,521
PMR,75,0.0,520
PMW,74,0.0,523
PT,24,0.0,243
RAI,49,0.0,244
RAT,90,0.0,254
RB,169,0.0,624
RD,216,0.0,338
RH,55,0.0,300
RHN,70,0.0,348
RL,89,0.0,277
RLB,90,0.0,477
RM,149,0.0,447
RS,82,0.0,389
RSD,140,0.0,588
RSN,90,0.0,306
RSW,91,0.0,413
RTA,73,0.0,398
RTB,84,0.0,468
RTD,83,0.0,398
RTN,78,0.0,400
RTST,88,0.0,477
RTZ,87,0.0,477
RV,138,0.0,433
RVS,80,0.0,297
SBK,181,0.0,528
SD,19,0.0,254
SDA,205,0.0,328
SDM,87,0.0,468
SDT,92,0.0,468
SDTB,95,0.0,469
SGL,205,0.0,514
SGN,111,0.0,612
SHL,61,0.0,318
SK,189,0.0,271
SKND,188,0.0,271
SM,144,0.0,447
SN,183,0.0,529
SOG,203,0.0,515
SPTN,77,0.0,554
SPTZ,75,0.0,554
SRN,167,0.0,525
SSH,82,0.0,496
ST,20,0.0,254
STD,174,0.0,496
STM,200,0.0,334
STV,218,0.0,279
STZ,21,0.0,244
SWD,189,0.0,322
SWK,114,0.0,304
TB,97,0.0,386
TBG,81,0.0,334
TBR,102,0.0,399
TBU,98,0.0,399
TG,131,0.0,414
TL,65,0.0,437
TPSW,63,0.0,437
TWL,59,0.0,275
UHM,213,0.0,338
UHZ,210,0.0,338
UST,205,0.0,337
UT,27,0.0,240
UTG,74,0.0,558
UTLN,31,0.0,313
UTLR,30,0.0,313
UTO,24,0.0,264
UTT,32,0.0,313
UTVR,28,0.0,313
UTZL,29,0.0,313
VB,84,0.0,398
VD,79,0.0,275
VDL,197,0.0,515
VDM,205,0.0,335
VEM,63,0.0,277
VG,79,0.0,386
VH,85,0.0,348
VHP,112,0.0,264
VK,206,0.0,515
VL,126,0.0,413
VLB,96,0.0,360
VNDC,62,0.0,347
VNDW,61,0.0,347
VP,51,0.0,300
VRY,103,0.0,361
VS,215,0.0,626
VSS,214,0.0,626
VST,82,0.0,433
VSV,88,0.0,334
VTN,34,0.0,318
VZ,109,0.0,376
WAD,67,0.0,398
WADN,68,0.0,398
WADT,66,0.0,398
WC,73,0.0,297
WD,43,0.0,240
WDN,98,0.0,313
WF,37,0.0,40
WFM,202,0.0,337
WH,81,0.0,316
WK,205,0.0,274
WL,70,0.0,317
WM,67,0.0,523
WP,37,0.0,252
WR,232,0.0,346
WS,210,0.0,337
WSM,194,0.0,323
WT,135,0.0,448
WTV,50,0.0,299
WV,127,0.0,254
WW,109,0.0,353
WWW,110,0.0,353
WZ,63,0.0,253
YPB,80,0.0,398
ZA,67,0.0,311
ZB,197,0.0,331
ZBM,62,0.0,437
ZD,61,0.0,520
ZDK,64,0.0,523
ZH,190,0.0,322
ZL,72,0.0,240
ZLSH,77,0.0,254
ZLW,117,0.0,588
ZP,67,0.0,275
ZTM,75,0.0,398
ZTMO,74,0.0,398
ZV,59,0.0,297
ZVB,125,0.0,593
ZVT,78,0.0,537
ZWD,101,0.0,582
ZZS,64,0.0,523
