Station Code,Distance from RH,Services from/to RH,Disruptions on path to RH
DN,117,0.0,374
DR,6,32.516129032258064,0
DRH,133,0.0,848
DRON,98,0.0,93
DRP,172,0.0,124
DT,137,0.0,431
DTC,38,0.0,26
DTCH,36,0.0,26
DTCP,137,0.0,486
DV,35,0.0,3
DVC,39,0.0,69
DVD,99,0.0,331
DVN,17,0.0,3
DVNK,121,0.0,439
DWE,178,0.0,110
DZ,210,0.0,191
DZW,209,0.0,191
EC,127,0.0,457
ED,27,0.0,258
EDC,29,0.0,280
EDN,169,0.0,461
EEM,217,0.0,190
EGH,163,0.0,476
EGHM,164,0.0,476
EHS,103,0.0,449
EHV,104,0.0,373
EKZ,167,0.0,903
EML,84,0.0,538
EMN,134,0.0,171
EMNZ,130,0.0,170
ES,72,0.0,70
ESK,68,0.0,70
EST,21,31.774193548387096,258
ETN,126,0.032258064516129,709
FN,178,0.0,110
FWD,175,0.0,110
GBG,107,0.0,156
GD,100,0.0,331
GDG,97,0.0,331
GDM,66,0.0,275
GDR,43,0.0,43
GERP,170,0.0,146
GK,191,0.0,161
GLN,143,0.0,459
GN,172,0.0,146
GND,101,0.0,339
GNN,176,0.0,161
GO,49,0.0,10
GP,110,0.0,435
GR,92,0.0,337
GS,189,0.0,714
GV,129,0.0,416
GVC,128,0.0,334
GVM,129,0.0,524
GVMW,130,0.0,431
GW,148,0.0,150
GZ,105,0.0,388
HAD,129,0.0,831
HB,154,0.0,490
HBZM,104,0.0,349
HD,88,0.0,541
HDB,101,0.0,143
HDE,84,0.0,93
HDG,171,0.0,110
HDR,187,0.0,932
HDRZ,186,0.0,932
HFD,119,0.0,419
HGL,64,0.032258064516129,51
HGLG,62,0.0,51
HGLO,66,0.0,70
HGV,114,0.0,93
HGZ,183,0.0,169
HIL,136,0.0,439
HK,132,0.0,870
HKS,159,0.0,887
HLG,187,0.0,111
HLGH,188,0.0,115
HLM,125,0.0,810
HLMS,124,0.0,831
HLO,140,0.0,837
HM,117,0.0,416
HMBH,118,0.0,420
HMBV,114,0.0,435
HMH,116,0.0,435
HMN,35,0.0,272
HN,149,0.0,831
HNK,150,0.0,887
HNO,78,0.0,93
HNP,203,0.0,113
HON,54,0.0,3
HOR,80,0.0,331
HR,132,0.0,150
HRL,158,0.0,459
HRLW,160,0.0,476
HRN,166,0.0,146
HRT,99,0.0,374
HT,72,0.032258064516129,300
HTN,74,0.0,356
HTNC,75,0.0,384
HTO,71,0.0,300
HVL,55,0.0,298
HVS,77,0.0,538
HVSM,78,0.0,539
HVSP,78,0.0,539
HWD,152,0.0,913
HWZB,117,0.0,831
HZE,115,0.0,441
IJT,186,0.0,111
KBD,171,0.0,714
KBK,28,0.0,3
KLP,34,0.0,280
KMA,124,0.0,844
KMR,166,0.0,476
KMW,208,0.0,118
KPN,81,0.0,93
KPNZ,81,0.0,93
KRD,166,0.0,487
KRG,178,0.0,714
KTR,42,0.0,272
KW,180,0.0,167
KZ,118,0.0,834
LAA,129,0.0,363
LC,36,0.0,3
LDL,117,0.0,422
LDM,80,0.0,319
LEDN,118,0.0,429
LG,161,0.0,476
LLS,123,0.0,93
LLZM,113,0.0,416
LP,198,0.0,173
LTN,35,0.0,281
LTV,54,0.0,5
LUT,143,0.0,459
LW,161,0.0,93
LWC,164,0.0,110
MAS,75,0.0,331
MDB,208,0.0,741
MES,166,0.0,461
MG,171,0.0,110
MMLH,39,0.0,279
MP,94,0.0,93
MRB,93,0.0,140
MRN,64,0.0,312
MT,160,0.0,459
MTH,181,0.0,169
MTN,163,0.0,461
MTR,161,0.0,461
MZ,125,0.0,446
NDB,83,0.0,539
NH,151,0.0,490
NKK,72,0.0,538
NM,29,31.806451612903224,258
NMD,34,24.70967741935484,279
NMGO,32,24.70967741935484,279
NMH,32,0.0,279
NML,28,31.774193548387096,272
NS,93,0.0,93
NSCH,216,0.0,176
NVD,77,0.0,10
NVP,124,0.0,547
NWK,109,0.0,416
O,53,0.032258064516129,279
OBD,158,0.0,831
ODB,146,0.0,714
ODZ,75,0.032258064516129,70
OMN,89,0.0,100
OP,38,0.0,272
OST,45,0.0,69
OT,93,0.0,416
OTB,14,0.0,258
OVN,127,0.0,847
OW,54,0.0,300
PMO,131,0.0,810
PMR,130,0.0,831
PMW,129,0.0,834
PT,79,0.0,538
RAI,102,0.0,334
RAT,84,0.0,93
RB,168,0.0,745
RD,210,0.0,177
RH,0,0.0,0
RHN,87,0.0,315
RL,41,0.0,5
RLB,128,0.0,566
RM,114,0.0,408
RS,65,0.0,300
RSD,139,0.032258064516129,709
RSN,61,0.0,3
RSW,132,0.0,431
RTA,114,0.0,416
RTB,125,0.0,486
RTD,124,0.0,416
RTN,119,0.0,418
RTST,129,0.0,486
RTZ,128,0.0,486
RV,103,0.0,394
RVS,45,0.0,258
SBK,146,0.0,489
SD,74,0.0,552
SDA,199,0.0,167
SDM,128,0.0,486
SDT,105,0.0,349
SDTB,108,0.0,350
SGL,170,0.0,475
SGN,166,0.0,923
SHL,114,0.0,345
SK,183,0.0,110
SKND,182,0.0,110
SM,109,0.0,408
SN,148,0.0,490
SOG,168,0.0,476
SPTN,132,0.0,847
SPTZ,130,0.0,847
SRN,132,0.0,486
SSH,126,0.0,439
ST,75,0.0,552
STD,139,0.0,457
STM,194,0.0,173
STV,212,0.0,118
STZ,76,0.0,542
SWD,183,0.0,161
SWK,108,0.0,143
TB,94,0.032258064516129,373
TBG,44,0.0,43
TBR,99,0.0,386
TBU,95,0.0,386
TG,96,0.0,375
TL,54,0.0,275
TPSW,56,0.0,275
TWL,40,0.0,69
UHM,207,0.0,177
UHZ,204,0.0,177
UST,199,0.0,176
UT,68,0.0,258
UTG,129,0.0,869
UTLN,70,0.0,356
UTLR,71,0.0,331
UTO,71,0.0,331
UTT,73,0.0,331
UTVR,67,0.0,356
UTZL,70,0.0,331
VB,125,0.0,416
VD,31,0.0,3
VDL,162,0.0,476
VDM,199,0.0,174
VEM,23,0.0,3
VG,76,0.0,373
VH,126,0.0,439
VHP,87,0.0,140
VK,171,0.0,476
VL,91,0.0,374
VLB,61,0.0,321
VNDC,79,0.0,314
VNDW,78,0.0,314
VP,4,32.645161290322584,0
VRY,68,0.0,322
VS,214,0.0,741
VSS,213,0.0,714
VST,123,0.0,524
VSV,51,0.0,43
VTN,75,0.0,336
VZ,80,0.0,139
WAD,108,0.0,416
WADN,109,0.0,416
WADT,107,0.0,416
WC,38,24.70967741935484,258
WD,84,0.0,331
WDN,69,0.0,10
WF,18,0.0,258
WFM,196,0.0,176
WH,52,0.0,79
WK,199,0.0,113
WL,33,0.0,26
WM,122,0.0,834
WP,92,0.0,550
WR,226,0.0,185
WS,204,0.0,176
WSM,188,0.0,162
WT,132,0.0,416
WTV,13,0.0,3
WV,121,0.0,93
WW,64,0.0,17
WWW,63,0.0,17
WZ,75,0.0,93
YPB,121,0.0,334
ZA,32,0.0,272
ZB,191,0.0,170
ZBM,75,0.0,318
ZD,116,0.0,831
ZDK,119,0.0,834
ZH,184,0.0,161
ZL,66,0.0,79
ZLSH,71,0.0,93
ZLW,130,0.0,727
ZP,19,32.516129032258064,3
ZTM,116,0.0,331
ZTMO,115,0.0,416
ZV,22,0.0,6
ZVB,138,0.0,732
ZVT,133,0.0,847
ZWD,117,0.0,467
ZZS,119,0.0,834
