Station Code,Distance from UTVR,Services from/to UTVR,Disruptions on path to UTVR
NMD,81,0.0,119
NMGO,79,0.0,119
NMH,79,0.0,119
NML,75,0.0,369
NS,61,0.0,313
NSCH,238,0.0,410
NVD,120,0.0,336
NVP,57,0.0,289
NWK,42,0.0,158
O,66,0.0,197
OBD,92,0.0,352
ODB,105,0.0,278
ODZ,139,0.0,415
OMN,111,0.0,334
OP,53,0.0,127
OST,90,0.0,379
OT,68,0.0,240
OTB,53,0.0,98
OVN,61,0.0,368
OW,65,0.0,197
PMO,65,0.0,331
PMR,64,0.0,352
PMW,63,0.0,355
PT,40,0.0,313
RAI,35,0.0,76
RAT,106,0.0,327
RB,141,0.0,278
RD,232,0.0,411
RH,67,0.0,356
RHN,42,36.96774193548387,79
RL,105,0.0,350
RLB,64,0.0,228
RM,131,0.0,240
RS,54,0.0,197
RSD,112,0.0,273
RSN,106,0.0,348
RSW,65,0.0,173
RTA,47,0.0,158
RTB,58,0.0,228
RTD,57,0.0,158
RTN,52,0.0,160
RTST,62,0.0,228
RTZ,61,0.0,228
RV,142,0.0,289
RVS,74,0.0,218
SBK,163,0.0,321
SD,21,0.0,97
SDA,221,0.0,401
SDM,61,0.0,228
SDT,64,0.0,155
SDTB,67,0.0,156
SGL,187,0.0,307
SGN,100,0.0,444
SHL,47,0.0,87
SK,205,0.0,330
SKND,204,0.0,330
SM,136,0.0,289
SN,165,0.0,322
SOG,185,0.0,308
SPTN,66,0.0,368
SPTZ,64,0.0,368
SRN,149,0.0,318
SSH,59,0.0,181
ST,20,0.0,97
STD,156,0.0,289
STM,216,0.0,407
STV,234,0.0,338
STZ,19,0.0,97
SWD,205,0.0,395
SWK,130,0.0,377
TB,69,0.0,197
TBG,93,0.0,392
TBR,74,0.0,210
TBU,70,0.0,210
TG,136,0.0,198
TL,37,37.25806451612903,124
TPSW,35,37.25806451612903,124
TWL,75,0.0,348
UHM,229,0.0,411
UHZ,226,0.0,411
UST,221,0.0,410
UT,1,116.35483870967742,0
UTG,63,3.3548387096774195,390
UTLN,3,74.16129032258064,0
UTLR,4,35.483870967741936,73
UTO,4,0.0,73
UTT,6,35.483870967741936,73
UTVR,0,0.0,0
UTZL,3,40.67741935483871,73
VB,58,34.41935483870968,158
VD,95,0.0,348
VDL,179,0.0,308
VDM,221,0.0,408
VEM,79,0.0,350
VG,51,0.0,197
VH,59,0.0,181
VHP,128,0.0,337
VK,188,0.0,308
VL,131,0.0,197
VLB,108,0.0,161
VNDC,34,36.96774193548387,78
VNDW,33,36.96774193548387,78
VP,63,0.0,356
VRY,115,0.0,162
VS,187,0.0,305
VSS,186,0.0,278
VST,56,0.0,266
VSV,100,0.0,392
VTN,8,35.483870967741936,78
VZ,125,0.0,449
WAD,41,0.0,158
WADN,42,0.0,158
WADT,40,0.0,158
WC,81,0.0,221
WD,17,35.483870967741936,73
WDN,114,0.0,355
WF,49,0.0,98
WFM,218,0.0,410
WH,97,0.0,389
WK,221,0.0,333
WL,82,0.0,375
WM,56,3.3548387096774195,355
WP,34,0.0,85
WR,248,0.0,419
WS,226,0.0,410
WSM,210,0.0,396
WT,107,0.0,240
WTV,62,0.0,357
WV,143,0.0,327
WW,121,0.0,411
WWW,122,0.0,411
WZ,79,0.0,326
YPB,54,34.41935483870968,76
ZA,59,0.0,127
ZB,213,0.0,404
ZBM,34,36.935483870967744,124
ZD,50,3.3548387096774195,352
ZDK,53,0.0,355
ZH,206,0.0,395
ZL,88,0.0,313
ZLSH,93,0.0,327
ZLW,89,0.0,273
ZP,83,0.0,348
ZTM,49,26.451612903225808,73
ZTMO,48,34.41935483870968,158
ZV,71,0.0,355
ZVB,97,0.0,278
ZVT,67,0.0,368
ZWD,75,0.0,333
ZZS,53,3.3548387096774195,355
