station,distance,services_per_day,n_of_disruptions
LEDN,62,0,171
LEER,263,0,347
LG,191,0,276
LLS,61,0,144
LLZM,57,0,158
LP,220,0,335
LTN,48,0,258
LTV,118,0,278
LUT,173,0,259
LW,183,0,255
LWC,186,0,272
MAS,19,0,73
MDB,194,0,384
MES,196,0,261
MG,193,0,272
MMLH,99,0,351
MP,116,0,255
MRB,122,0,262
MRN,32,0,105
MT,190,0,259
MTH,203,0,331
MTN,193,0,261
MTR,191,0,261
MZ,113,0,219
[NEA,inf,0,0
NDB,12,31.516129032258064,1
NH,181,0,290
NKK,33,0,241
NM,89,0,330
NMD,94,0,351
NMGO,92,0,351
NMH,92,0,351
NML,88,0,344
NS,61,0,241
NSCH,238,0,338
NVD,120,0,255
NVP,55,0,256
NWK,53,0,158
O,79,0,146
OBD,87,0,372
ODB,118,0,353
ODZ,139,0,343
OMN,111,0,262
OP,66,0,200
OST,90,0,307
OT,81,0,189
OTB,66,0,95
OVN,56,0,296
OW,78,0,149
PMO,60,0,281
PMR,59,0,280
PMW,58,0,283
PT,40,0,244
RAI,33,15.064516129032258,4
RAT,106,0,255
RB,154,0,384
RD,232,0,339
RH,80,0,333
RHN,55,0,108
RL,105,0,278
RLB,75,0,237
RM,144,0,208
RS,67,0,149
RSD,125,0,348
RSN,106,0,307
RSW,76,0,173
RTA,58,0,158
RTB,69,0,228
RTD,68,0,158
RTN,63,0,160
RTST,73,0,237
RTZ,72,0,237
RV,155,0,257
RVS,87,0,167
SBK,176,0,289
SD,17,0,15
SDA,221,0,329
SDM,72,0,228
SDT,77,0,228
SDTB,80,0,229
SGL,200,0,275
SGN,95,0,372
SHL,45,14.129032258064516,78
SK,205,0,272
SKND,204,0,272
SM,149,0,257
SN,178,0,290
SOG,198,0,276
SPTN,61,0,314
SPTZ,59,0,314
SRN,162,0,286
SSH,66,0,256
ST,18,0,15
STD,169,0,257
STM,216,0,335
STV,234,0,280
STZ,19,0,15
SWD,205,0,323
SWK,130,0,305
TB,82,0,146
TBG,106,0,367
TBR,87,0,159
TBU,83,0,159
TG,149,0,293
TL,50,0,197
TPSW,48,0,197
TWL,75,0,276
UHM,229,0,339
UHZ,226,0,339
UST,221,0,338
UT,12,39.03225806451613,0
UTG,58,0,318
UTLN,16,0,73
UTLR,15,0,73
UTM,20,0,73
UTO,9,39.0,0
UTT,17,0,73
UTVR,13,0,73
UTZL,14,0,73
VB,69,0,158
VD,95,0,276
VDL,192,0,276
VDM,221,0,336
VEM,79,0,278
VG,64,0,146
VH,70,0,181
VHP,128,0,265
VK,201,0,276
VL,144,0,292
VLB,121,0,393
VNDC,47,0,107
VNDW,46,0,107
VP,76,0,333
VRY,128,0,394
VS,200,0,386
VSS,199,0,386
VST,67,0,266
VSV,113,0,367
VTN,19,0,78
VZ,125,0,377
WAD,52,0,158
WADN,53,0,158
WADT,51,0,158
WC,94,0,170
WD,28,0,73
WDN,114,0,314
WF,62,0,95
WFM,218,0,338
WH,97,0,317
WK,221,0,275
WL,95,0,350
WM,51,0,283
WP,21,15.064516129032258,12
WR,248,0,347
WS,226,0,338
WSM,210,0,324
WT,120,0,208
WTV,75,0,332
WV,143,0,255
WW,128,0,290
WWW,127,0,290
WZ,79,0,254
YPB,65,0,158
ZA,72,0,200
ZB,213,0,332
ZBM,47,0,197
ZD,45,0,280
ZDK,48,0,283
ZH,206,0,323
ZL,88,0,241
ZLSH,93,0,255
ZLW,102,0,348
ZP,83,0,276
ZTM,60,0,158
ZTMO,59,0,158
ZV,84,0,330
ZVB,110,0,353
ZVT,62,0,297
ZWD,86,0,342
ZZS,48,0,283
