Station Code,Distance from LLS,Services from/to LLS,Disruptions on path to LLS
ETN,175,0.0,626
FN,169,0.0,17
FWD,166,0.0,17
GBG,105,0.0,34
GD,103,0.0,148
GDG,100,0.0,149
GDM,99,0.0,217
GDR,157,0.0,718
GERP,161,1.2580645161290325,67
GK,182,0.0,82
GLN,234,0.0,406
GN,163,18.774193548387096,67
GND,134,0.0,281
GNN,167,0.0,82
GO,131,0.0,157
GP,159,0.0,355
GR,125,0.0,279
GS,235,0.0,308
GV,109,7.258064516129032,333
GVC,108,52.41935483870968,333
GVM,104,18.096774193548388,428
GVMW,110,0.0,348
GW,139,0.9032258064516128,7
GZ,154,0.0,305
HAD,77,0.0,410
HB,245,0.0,437
HBZM,137,0.0,291
HD,96,0.0,14
HDB,99,0.0,21
HDE,75,0.0,14
HDG,162,0.0,17
HDR,135,0.0,511
HDRZ,134,0.0,511
HFD,69,36.0,205
HGL,116,0.0,105
HGLG,118,0.0,124
HGLO,118,0.0,124
HGV,105,1.4838709677419355,0
HGZ,174,0.0,90
HIL,84,0.0,410
HK,80,0.0,449
HKS,107,0.0,466
HLG,178,0.0,18
HLGH,179,0.0,22
HLM,73,0.0,389
HLMS,72,0.0,410
HLO,88,0.0,416
HM,166,0.0,355
HMBH,167,0.0,359
HMBV,163,0.0,355
HMH,165,0.0,355
HMN,130,0.0,263
HN,97,0.0,410
HNK,98,0.0,466
HNO,69,0.0,14
HNP,194,0.0,20
HON,107,0.0,90
HOR,61,0.0,144
HR,123,17.903225806451612,0
HRL,249,0.0,406
HRLW,251,0.0,423
HRN,157,1.2580645161290325,67
HRT,193,0.0,387
HT,121,0.0,217
HTN,81,0.0,217
HTNC,82,0.0,245
HTO,122,0.0,290
HVL,77,0.0,384
HVS,55,0.0,143
HVSM,54,0.0,176
HVSP,56,0.0,144
HWD,100,0.0,492
HWZB,65,0.0,410
HZE,164,0.0,361
IJT,177,0.0,18
KBD,217,0.0,308
KBK,112,0.0,50
KLP,107,0.0,217
KMA,72,0.0,423
KMR,257,0.0,423
KMW,199,0.0,25
KPN,72,0.0,14
KPNZ,42,38.16129032258065,1
KRD,257,0.0,434
KRG,224,0.0,308
KTR,123,0.0,260
KW,171,0.0,88
KZ,66,0.0,413
LAA,107,27.580645161290324,333
LC,121,0.0,90
LDL,94,0.0,343
LDM,113,0.0,261
LEDN,93,74.74193548387096,333
LG,252,0.0,423
LLS,0,0.0,0
LLZM,116,0.0,233
LP,189,0.0,94
LTN,97,0.0,401
LTV,139,0.0,92
LUT,234,0.0,406
LW,152,17.903225806451612,0
LWC,155,0.0,17
MAS,73,0.0,148
MDB,254,0.0,335
MES,257,0.0,408
MG,162,0.0,17
MMLH,151,0.0,445
MP,85,19.225806451612904,14
MRB,91,0.0,21
MRN,93,0.0,249
MT,251,0.0,406
MTH,172,0.0,90
MTN,254,0.0,408
MTR,252,0.0,408
MZ,174,0.0,366
NDB,49,0.0,132
NH,242,0.0,437
NKK,82,0.0,384
NM,141,0.0,424
NMD,146,0.0,445
NMGO,144,0.0,445
NMH,144,0.0,445
NML,140,0.0,695
NS,84,0.0,14
NSCH,207,0.0,97
NVD,89,0.0,23
NVP,74,33.16129032258065,333
NWK,112,0.0,233
O,140,0.0,290
OBD,106,0.0,410
ODB,178,0.0,425
ODZ,127,0.0,124
OMN,80,0.0,21
OP,127,0.0,263
OST,78,0.0,14
OT,142,0.0,333
OTB,118,0.0,424
OVN,75,0.0,426
OW,139,0.0,290
PMO,79,0.0,389
PMR,78,0.0,410
PMW,77,0.0,413
PT,89,0.0,384
RAI,52,1.2580645161290325,134
RAT,75,0.0,14
RB,214,0.0,425
RD,201,0.0,98
RH,123,0.0,93
RHN,116,0.0,252
RL,126,0.0,92
RLB,134,0.0,303
RM,205,0.0,355
RS,128,0.0,290
RSD,185,0.0,303
RSN,105,0.0,35
RSW,112,0.0,348
RTA,117,0.0,233
RTB,128,6.806451612903226,303
RTD,127,7.225806451612903,233
RTN,122,0.0,235
RTST,132,0.0,303
RTZ,131,0.0,303
RV,215,0.0,560
RVS,148,0.0,311
SBK,237,0.0,436
SD,66,0.0,158
SDA,190,0.0,88
SDM,127,7.225806451612903,449
SDT,138,0.0,291
SDTB,141,0.0,292
SGL,261,0.0,422
SGN,114,0.0,502
SHL,64,77.51612903225806,205
SK,174,0.0,17
SKND,173,0.0,17
SM,210,0.0,404
SN,239,0.0,437
SOG,259,0.0,423
SPTN,80,0.0,426
SPTZ,78,0.0,426
SRN,223,0.0,433
SSH,85,33.16129032258065,333
ST,67,0.0,158
STD,230,0.0,404
STM,185,0.0,94
STV,203,0.0,25
STZ,68,0.0,158
SWD,174,0.0,82
SWK,99,17.903225806451612,64
TB,143,0.0,290
TBG,158,0.0,718
TBR,148,0.0,303
TBU,144,0.0,303
TG,208,0.0,541
TL,111,0.0,260
TPSW,109,0.0,260
TWL,93,0.0,90
UHM,198,0.0,98
UHZ,195,0.0,98
UST,190,0.0,97
UT,73,0.0,144
UTG,77,0.0,448
UTLN,77,0.0,217
UTLR,76,0.0,217
UTO,70,0.0,144
UTT,78,0.0,217
UTVR,74,0.0,217
UTZL,75,0.0,217
VB,111,0.0,362
VD,116,0.0,90
VDL,253,0.0,423
VDM,190,0.0,95
VEM,108,0.0,90
VG,125,0.0,290
VH,94,0.0,410
VHP,97,0.0,24
VK,262,0.0,423
VL,203,0.0,540
VLB,173,0.0,487
VNDC,108,0.0,251
VNDW,107,0.0,251
VP,127,0.0,96
VRY,180,0.0,488
VS,260,0.0,335
VSS,259,0.0,308
VST,98,18.096774193548388,428
VSV,165,0.0,718
VTN,80,0.0,222
VZ,104,0.0,25
WAD,111,0.0,233
WADN,112,0.0,233
WADT,110,0.0,233
WC,150,0.0,681
WD,87,0.0,148
WDN,97,0.0,35
WF,114,0.0,424
WFM,187,0.0,97
WH,71,0.0,14
WK,190,0.0,20
WL,147,0.0,701
WM,70,0.0,413
WP,40,39.354838709677416,132
WR,217,0.0,106
WS,195,0.0,97
WSM,179,0.0,83
WT,181,0.0,355
WTV,127,0.0,683
WV,112,0.935483870967742,0
WW,149,0.0,104
WWW,148,0.0,104
WZ,66,0.0,14
YPB,115,0.0,365
ZA,133,0.0,263
ZB,182,0.0,91
ZBM,108,0.0,260
ZD,64,0.0,410
ZDK,67,0.0,413
ZH,175,0.0,82
ZL,57,75.45161290322581,0
ZLSH,62,0.0,14
ZLW,162,0.0,420
ZP,104,0.0,90
ZTM,119,0.0,233
ZTMO,118,0.0,233
ZV,136,0.0,681
ZVB,170,0.0,425
ZVT,81,0.0,426
ZWD,145,0.0,408
ZZS,67,0.0,413
