Station Code,Distance from WWW,Services from/to WWW,Disruptions on path to WWW
VTN,130,0.0,391
VZ,105,0.0,150
WAD,163,0.0,471
WADN,164,0.0,471
WADT,162,0.0,471
WC,93,0.0,313
WD,139,0.0,386
WDN,94,0.0,21
WF,73,0.0,313
WFM,221,0.0,187
WH,77,0.0,90
WK,224,0.0,124
WL,40,0.0,36
WM,166,0.0,585
WP,136,0.0,301
WR,251,0.0,196
WS,229,0.0,187
WSM,213,0.0,173
WT,187,0.0,471
WTV,60,0.0,59
WV,146,0.0,104
WW,1,32.516129032258064,0
WWW,0,0.0,0
WZ,100,0.0,104
YPB,176,0.0,389
ZA,87,0.0,327
ZB,216,0.0,181
ZBM,130,0.0,373
ZD,160,0.0,582
ZDK,163,0.0,585
ZH,209,0.0,172
ZL,91,0.0,90
ZLSH,96,0.0,104
ZLW,185,0.0,782
ZP,44,33.25806451612903,14
ZTM,171,0.0,386
ZTMO,170,0.0,471
ZV,51,0.0,56
ZVB,193,0.0,787
ZVT,177,0.0,598
ZWD,172,0.0,522
ZZS,163,0.0,585
