Station Code,Distance from APDO,Services from/to APDO,Disruptions on path to APDO
TPSW,96,0.0,312
TWL,7,32.193548387096776,0
UHM,184,0.0,174
UHZ,181,0.0,174
UST,176,0.0,173
UT,67,0.0,275
UTG,114,0.0,593
UTLN,71,0.0,348
UTLR,70,0.0,348
UTO,64,0.0,299
UTT,72,0.0,348
UTVR,68,0.0,348
UTZL,69,0.0,348
VB,124,0.0,433
VD,33,0.0,35
VDL,202,0.0,513
VDM,176,0.0,171
VEM,17,0.0,37
VG,116,0.0,410
VH,125,0.0,383
VHP,64,0.0,137
VK,211,0.0,513
VL,131,0.0,411
VLB,101,0.0,358
VNDC,102,0.0,382
VNDW,101,0.0,382
VP,44,0.0,41
VRY,108,0.0,359
VS,254,0.0,784
VSS,253,0.0,784
VST,122,0.0,468
VSV,87,0.0,68
VTN,74,0.0,353
VZ,57,0.0,136
WAD,107,0.0,433
WADN,108,0.0,433
WADT,106,0.0,433
WC,78,0.0,295
WD,83,0.0,275
WDN,46,27.451612903225808,73
WF,58,0.0,295
WFM,173,0.0,173
WH,29,0.0,76
WK,176,0.0,110
WL,73,0.0,67
WM,107,0.0,558
WP,77,0.0,287
WR,203,0.0,182
WS,181,0.0,173
WSM,165,0.0,159
WT,172,0.0,472
WTV,53,0.0,44
WV,98,0.0,90
WW,66,0.0,49
WWW,65,0.0,49
WZ,52,0.0,90
YPB,120,0.0,433
ZA,72,0.0,309
ZB,168,0.0,167
ZBM,102,0.0,472
ZD,101,0.0,555
ZDK,104,0.0,558
ZH,161,0.0,158
ZL,43,0.0,76
ZLSH,48,0.0,90
ZLW,157,0.0,623
ZP,21,0.0,35
ZTM,115,0.0,433
ZTMO,114,0.0,433
ZV,62,0.0,47
ZVB,165,0.0,628
ZVT,118,0.0,572
ZWD,141,0.0,617
ZZS,104,0.0,558
