Station Code,Distance from LDM,Services from/to LDM,Disruptions on path to LDM
EC,133,0.0,209
ED,79,0.0,201
EDC,81,0.0,223
EDN,175,0.0,213
EEM,278,0.0,468
EGH,169,0.0,228
EGHM,170,0.0,228
EHS,67,0.0,193
EHV,68,0.0,117
EKZ,140,0.0,468
EML,84,0.0,357
EMN,202,0.0,406
EMNZ,198,0.0,405
ES,152,0.0,388
ESK,148,0.0,388
EST,59,0.0,47
ETN,76,0.0,471
FN,239,0.0,374
FWD,236,0.0,374
GBG,175,0.0,391
GD,72,0.0,117
GDG,69,0.0,117
GDM,14,32.225806451612904,1
GDR,105,0.0,355
GERP,231,0.0,424
GK,252,0.0,439
GLN,149,0.0,211
GN,233,0.0,424
GND,21,32.193548387096776,20
GNN,237,0.0,439
GO,129,0.0,328
GP,74,0.0,179
GR,12,32.193548387096776,18
GS,123,0.0,153
GV,77,0.0,249
GVC,78,0.0,264
GVM,82,0.0,264
GVMW,76,0.0,249
GW,209,0.0,428
GZ,69,0.0,132
HAD,102,0.0,396
HB,160,0.0,242
HBZM,24,32.12903225806452,30
HD,88,0.0,360
HDB,169,0.0,378
HDE,109,0.0,357
HDG,232,0.0,374
HDR,160,0.0,497
HDRZ,159,0.0,497
HFD,91,0.0,132
HGL,144,0.0,369
HGLG,142,0.0,369
HGLO,146,0.0,388
HGV,175,0.0,371
HGZ,244,0.0,447
HIL,108,0.0,225
HK,105,0.0,435
HKS,132,0.0,452
HLG,248,0.0,375
HLGH,249,0.0,379
HLM,98,0.0,375
HLMS,97,0.0,396
HLO,113,0.0,402
HM,81,0.0,160
HMBH,82,0.0,164
HMBV,78,0.0,179
HMH,80,0.0,179
HMN,45,0.0,47
HN,122,0.0,396
HNK,123,0.0,452
HNO,139,0.0,371
HNP,264,0.0,377
HON,134,0.0,321
HOR,52,0.0,117
HR,193,0.0,428
HRL,164,0.0,211
HRLW,166,0.0,228
HRN,227,0.0,424
HRT,108,0.0,192
HT,36,0.0,44
HTN,32,0.0,97
HTNC,31,0.0,97
HTO,37,0.0,117
HVL,67,0.0,357
HVS,58,0.0,117
HVSM,59,0.0,118
HVSP,57,0.0,117
HWD,125,0.0,478
HWZB,90,0.0,396
HZE,79,0.0,185
IJT,247,0.0,375
KBD,105,0.0,153
KBK,108,0.0,321
KLP,72,0.0,201
KMA,97,0.0,409
KMR,172,0.0,228
KMW,269,0.0,382
KPN,142,0.0,371
KPNZ,142,0.0,371
KRD,172,0.0,239
KRG,112,0.0,153
KTR,38,0.0,44
KW,241,0.0,445
KZ,91,0.0,399
LAA,79,0.0,264
LC,116,0.0,321
LDL,89,0.0,208
LDM,0,0.0,0
LEDN,90,0.0,215
LG,167,0.0,228
LLS,113,0.0,261
LLZM,85,0.0,202
LP,259,0.0,451
LTN,87,0.0,374
LTV,134,0.0,323
LUT,149,0.0,211
LW,222,0.0,357
LWC,225,0.0,374
MAS,47,0.0,117
MDB,142,0.0,180
MES,172,0.0,213
MG,232,0.0,374
MMLH,77,0.0,82
MP,155,0.0,371
MRB,161,0.0,378
MRN,58,0.0,201
MT,166,0.0,211
MTH,242,0.0,447
MTN,169,0.0,213
MTR,167,0.0,213
MZ,89,0.0,190
NDB,64,0.0,118
NH,157,0.0,242
NKK,72,0.0,357
NM,67,0.0,61
NMD,72,0.0,82
NMGO,70,0.0,82
NMH,70,0.0,82
NML,66,0.0,61
NS,100,0.0,357
NSCH,277,0.0,454
NVD,157,0.0,328
NVP,96,0.0,260
NWK,70,0.0,276
O,55,0.0,117
OBD,131,0.0,396
ODB,66,0.0,153
ODZ,155,0.0,388
OMN,150,0.0,378
OP,42,0.0,47
OST,125,0.0,387
OT,57,0.0,160
OTB,74,0.0,318
OVN,100,0.0,412
OW,54,0.0,117
PMO,104,0.0,375
PMR,103,0.0,396
PMW,102,0.0,399
PT,79,0.0,357
RAI,74,0.0,120
RAT,145,0.0,371
RB,102,0.0,153
RD,271,0.0,455
RH,80,0.0,319
RHN,81,0.0,204
RL,121,0.0,323
RLB,48,0.0,247
RM,120,0.0,160
RS,43,0.0,117
RSD,73,0.0,148
RSN,141,0.0,321
RSW,74,0.0,249
RTA,65,0.0,218
RTB,54,0.0,148
RTD,55,0.0,148
RTN,60,0.0,218
RTST,50,0.0,148
RTZ,51,0.0,148
RV,131,0.0,209
RVS,63,0.0,138
SBK,152,0.0,241
SD,60,0.0,141
SDA,260,0.0,445
SDM,59,0.0,218
SDT,25,32.193548387096776,30
SDTB,28,32.193548387096776,31
SGL,176,0.0,227
SGN,139,0.0,488
SHL,86,0.0,58
SK,244,0.0,374
SKND,243,0.0,374
SM,125,0.0,209
SN,154,0.0,242
SOG,174,0.0,228
SPTN,105,0.0,412
SPTZ,103,0.0,412
SRN,138,0.0,238
SSH,98,0.0,225
ST,59,0.0,141
STD,145,0.0,209
STM,255,0.0,451
STV,273,0.0,382
STZ,58,0.0,141
SWD,244,0.0,439
SWK,169,0.0,421
TB,58,0.0,117
TBG,106,0.0,355
TBR,63,0.0,130
TBU,59,0.0,130
TG,125,0.0,118
TL,26,0.0,44
TPSW,24,0.0,44
TWL,114,0.0,392
UHM,268,0.0,455
UHZ,265,0.0,455
UST,260,0.0,454
UT,40,0.0,44
UTG,102,0.0,434
UTLN,36,0.0,125
UTLR,43,0.0,117
UTO,43,0.0,117
UTT,45,0.0,117
UTVR,39,0.0,125
UTZL,42,0.0,117
VB,81,0.0,293
VD,111,0.0,321
VDL,168,0.0,228
VDM,260,0.0,452
VEM,103,0.0,321
VG,40,0.0,117
VH,98,0.0,225
VHP,167,0.0,381
VK,177,0.0,228
VL,120,0.0,117
VLB,99,0.0,124
VNDC,73,0.0,203
VNDW,72,0.0,203
VP,76,0.0,319
VRY,106,0.0,125
VS,148,0.0,180
VSS,147,0.0,153
VST,88,0.0,267
VSV,113,0.0,355
VTN,47,0.0,122
VZ,160,0.0,457
WAD,80,0.0,202
WADN,81,0.0,202
WADT,79,0.0,202
WC,70,0.0,141
WD,56,0.0,117
WDN,149,0.0,328
WF,78,0.0,318
WFM,257,0.0,454
WH,132,0.0,397
WK,260,0.0,377
WL,95,0.0,338
WM,95,0.0,399
WP,73,0.0,129
WR,287,0.0,463
WS,265,0.0,454
WSM,249,0.0,440
WT,96,0.0,160
WTV,75,0.0,320
WV,182,0.0,371
WW,134,0.0,374
WWW,135,0.0,374
WZ,118,0.0,370
YPB,85,0.0,296
ZA,48,0.0,47
ZB,252,0.0,448
ZBM,23,0.0,44
ZD,89,0.0,396
ZDK,92,0.0,399
ZH,245,0.0,439
ZL,127,0.0,357
ZLSH,132,0.0,371
ZLW,50,0.0,148
ZP,99,0.0,321
ZTM,88,0.0,117
ZTMO,87,0.0,202
ZV,84,0.0,318
ZVB,58,0.0,153
ZVT,106,0.0,412
ZWD,37,0.0,148
ZZS,92,0.0,399
