Station Code,Distance from RTB,Services from/to RTB,Disruptions on path to RTB
HLGH,266,0.0,490
HLM,68,28.161290322580644,196
HLMS,69,0.0,196
HLO,98,0.0,216
HM,120,0.0,385
HMBH,121,0.0,389
HMBV,117,0.0,385
HMH,119,0.0,385
HMN,99,0.0,195
HN,122,0.0,141
HNK,123,0.0,197
HNO,156,0.0,482
HNP,281,0.0,488
HON,155,0.0,503
HOR,69,0.0,228
HR,210,0.0,539
HRL,169,0.0,171
HRLW,171,0.0,188
HRN,244,0.0,535
HRT,147,0.0,417
HT,90,0.0,192
HTN,65,0.0,228
HTNC,66,0.0,256
HTO,91,0.0,265
HVL,84,0.0,468
HVS,75,0.0,228
HVSM,76,0.0,229
HVSP,74,0.0,228
HWD,110,0.0,312
HWZB,76,0.0,196
HZE,118,0.0,391
IJT,264,0.0,486
KBD,89,22.83870967741936,122
KBK,130,0.0,504
KLP,91,0.0,228
KMA,92,0.0,217
KMR,177,0.0,188
KMW,286,0.0,493
KPN,159,0.0,482
KPNZ,159,0.0,482
KRD,177,0.0,199
KRG,96,22.90322580645161,122
KTR,92,0.0,192
KW,258,0.0,556
KZ,91,0.0,144
LAA,25,64.87096774193549,186
LC,156,0.0,503
LDL,40,0.0,196
LDM,54,0.0,148
LEDN,39,64.87096774193549,186
LG,172,0.0,188
LLS,128,6.387096774193548,303
LLZM,38,0.0,155
LP,276,0.0,562
LTN,104,0.0,485
LTV,174,0.0,505
LUT,188,0.0,436
LW,239,0.0,468
LWC,242,0.0,485
MAS,64,0.0,228
MDB,126,33.483870967741936,149
MES,189,0.0,188
MG,249,0.0,485
MMLH,131,0.0,230
MP,172,0.0,482
MRB,178,0.0,489
MRN,77,0.0,260
MT,195,0.0,188
MTH,259,0.0,558
MTN,192,0.0,202
MTR,196,0.0,190
MZ,128,0.0,396
NDB,81,0.0,229
NH,176,0.0,188
NKK,89,0.0,468
NM,121,0.0,209
NMD,126,0.0,230
NMGO,124,0.0,230
NMH,124,0.0,230
NML,120,0.0,209
NS,117,0.0,468
NSCH,294,0.0,565
NVD,176,0.0,491
NVP,58,0.032258064516129,196
NWK,16,0.0,128
O,109,0.0,265
OBD,116,0.0,322
ODB,50,0.064516129032258,122
ODZ,195,0.0,570
OMN,167,0.0,489
OP,96,0.0,195
OST,146,0.0,534
OT,78,0.0,336
OTB,111,0.0,250
OVN,70,0.0,196
OW,108,0.0,265
PMO,104,0.0,141
PMR,103,0.0,141
PMW,102,0.0,144
PT,96,0.0,468
RAI,80,0.0,194
RAT,162,0.0,482
RB,86,22.83870967741936,122
RD,288,0.0,566
RH,125,0.0,486
RHN,100,0.0,263
RL,161,0.0,505
RLB,6,60.03225806451613,0
RM,159,0.0,385
