Station Code,Distance from MRN,Services from/to MRN,Disruptions on path to MRN
KW,221,0.0,433
KZ,71,0.0,387
LAA,81,0.0,137
LC,100,0.0,314
LDL,69,0.0,196
LDM,58,0.0,201
LEDN,70,0.0,203
LG,197,0.0,384
LLS,93,0.0,249
LLZM,65,0.0,190
LP,239,0.0,439
LTN,45,0.0,55
LTV,118,0.0,316
LUT,179,0.0,367
LW,202,0.0,345
LWC,205,0.0,362
MAS,27,35.67741935483871,105
MDB,200,0.0,381
MES,202,0.0,369
MG,212,0.0,362
MMLH,83,0.0,75
MP,135,0.0,359
MRB,141,0.0,366
MRN,0,0.0,0
MT,196,0.0,367
MTH,222,0.0,435
MTN,199,0.0,369
MTR,197,0.0,369
MZ,119,0.0,346
NDB,44,0.0,106
NH,187,0.0,398
NKK,52,0.0,345
NM,73,0.0,54
NMD,78,0.0,75
NMGO,76,0.0,75
NMH,76,0.0,75
NML,72,0.0,325
NS,80,0.0,345
NSCH,257,0.0,442
NVD,139,0.0,368
NVP,76,0.0,248
NWK,61,0.0,190
O,85,0.0,273
OBD,111,0.0,384
ODB,124,0.0,354
ODZ,139,0.0,381
OMN,130,0.0,366
OP,72,0.0,203
OST,109,0.0,411
OT,87,0.0,316
OTB,50,0.0,54
OVN,80,0.0,400
OW,84,0.0,273
PMO,84,0.0,363
PMR,83,0.0,384
PMW,82,0.0,387
PT,59,0.0,345
RAI,54,0.0,108
RAT,125,0.0,359
RB,160,0.0,354
RD,251,0.0,443
RH,64,0.0,312
RHN,23,36.96774193548387,1
RL,105,0.0,316
RLB,83,0.0,260
RM,150,0.0,316
RS,73,0.0,273
RSD,131,0.0,349
RSN,125,0.0,380
RSW,84,0.0,205
RTA,66,0.0,190
RTB,77,0.0,260
RTD,76,0.0,190
RTN,71,0.0,192
RTST,81,0.0,260
RTZ,80,0.0,260
RV,147,0.0,190
RVS,89,0.0,311
SBK,182,0.0,397
SD,40,0.0,129
SDA,240,0.0,433
SDM,80,0.0,260
SDT,83,0.0,231
SDTB,86,0.0,232
SGL,206,0.0,383
SGN,119,0.0,476
SHL,66,0.0,46
SK,224,0.0,362
SKND,223,0.0,362
SM,153,0.0,204
SN,184,0.0,398
SOG,204,0.0,384
SPTN,85,0.0,400
SPTZ,83,0.0,400
SRN,168,0.0,394
SSH,78,0.0,213
ST,39,0.0,129
STD,175,0.0,365
STM,235,0.0,439
STV,253,0.0,370
STZ,38,0.0,129
SWD,224,0.0,427
SWK,149,0.0,409
TB,88,0.0,273
TBG,90,0.0,348
TBR,93,0.0,286
TBU,89,0.0,286
TG,140,0.0,171
TL,56,0.0,200
TPSW,54,0.0,200
TWL,94,0.0,380
UHM,248,0.0,443
UHZ,245,0.0,443
UST,240,0.0,442
UT,20,36.54838709677419,32
UTG,82,0.0,422
UTLN,22,0.0,76
UTLR,23,0.0,105
UTO,23,0.0,105
UTT,25,0.0,105
UTVR,19,36.54838709677419,76
UTZL,22,35.67741935483871,105
VB,77,0.0,190
VD,95,0.0,314
VDL,198,0.0,384
VDM,240,0.0,440
VEM,87,0.0,314
VG,70,0.0,273
VH,78,0.0,213
VHP,147,0.0,369
VK,207,0.0,384
VL,135,0.0,170
VLB,105,0.0,117
VNDC,15,36.96774193548387,0
VNDW,14,36.96774193548387,0
VP,60,0.0,312
VRY,112,0.0,118
VS,206,0.0,381
VSS,205,0.0,354
VST,75,0.0,298
VSV,97,0.0,348
VTN,27,0.0,110
VZ,144,0.0,481
WAD,60,0.0,190
WADN,61,0.0,190
WADT,59,0.0,190
WC,82,0.0,311
WD,36,0.0,105
WDN,133,0.0,387
WF,46,0.0,54
WFM,237,0.0,442
WH,116,0.0,421
WK,240,0.0,365
WL,79,0.0,331
WM,75,0.0,387
WP,53,0.0,117
WR,267,0.0,451
WS,245,0.0,442
WSM,229,0.0,428
WT,126,0.0,316
WTV,59,0.0,313
WV,162,0.0,359
WW,118,0.0,367
WWW,119,0.0,367
WZ,98,0.0,358
YPB,73,0.0,108
ZA,76,0.0,325
ZB,232,0.0,436
ZBM,53,0.0,200
ZD,69,0.0,384
ZDK,72,0.0,387
ZH,225,0.0,427
ZL,107,0.0,345
ZLSH,112,0.0,359
ZLW,108,0.0,349
ZP,83,0.0,314
ZTM,68,0.0,105
ZTMO,67,0.0,190
ZV,68,0.0,311
ZVB,116,0.0,354
ZVT,86,0.0,400
ZWD,94,0.0,365
ZZS,72,0.0,387
