Station Code,Distance from NMD,Services from/to NMD,Disruptions on path to NMD
UTLR,85,0.0,351
UTO,85,0.0,351
UTT,87,0.0,351
UTVR,81,0.0,119
UTZL,84,0.0,351
VB,139,0.0,436
VD,65,0.0,281
VDL,138,0.0,218
VDM,233,0.0,452
VEM,57,0.0,281
VG,42,0.0,97
VH,140,0.0,459
VHP,121,0.0,418
VK,147,0.0,218
VL,67,0.0,116
VLB,37,0.0,63
VNDC,93,0.0,77
VNDW,92,0.0,77
VP,30,23.161290322580644,279
VRY,44,0.0,64
VS,180,0.0,465
VSS,179,0.0,438
VST,137,0.0,544
VSV,67,0.0,315
VTN,89,0.0,356
VZ,114,0.0,417
WAD,122,0.0,436
WADN,123,0.0,436
WADT,121,0.0,436
WC,4,54.516129032258064,0
WD,98,0.0,351
WDN,103,0.0,288
WF,32,0.0,21
WFM,230,0.0,454
WH,86,0.032258064516129,357
WK,233,0.0,391
WL,49,0.0,298
WM,136,0.0,597
WP,106,0.0,313
WR,260,0.0,463
WS,238,0.0,454
WSM,222,0.0,440
WT,98,0.0,140
WTV,29,0.0,280
WV,155,0.0,371
WW,88,0.0,334
WWW,89,0.0,334
WZ,109,0.0,371
YPB,135,0.0,354
ZA,24,0.0,35
ZB,225,0.0,448
ZBM,51,0.0,97
ZD,130,0.0,594
ZDK,133,0.0,597
ZH,218,0.0,439
ZL,100,0.032258064516129,357
ZLSH,105,0.0,371
ZLW,96,27.483870967741936,451
ZP,53,23.193548387096776,281
ZTM,130,0.0,351
ZTMO,129,0.0,436
ZV,38,0.0,278
ZVB,104,0.0,456
ZVT,147,0.0,610
ZWD,109,0.0,230
ZZS,133,0.0,597
