Station Code,Distance from OT,Services from/to OT,Disruptions on path to OT
SDA,289,0.0,517
SDM,83,0.0,406
SDT,69,0.0,453
SDTB,66,0.0,453
SGL,137,0.0,110
SGN,168,0.0,560
SHL,115,0.0,203
SK,273,0.0,446
SKND,272,0.0,446
SM,86,0.0,92
SN,115,0.0,125
SOG,135,0.0,111
SPTN,134,0.0,484
SPTZ,132,0.0,484
SRN,99,0.0,121
SSH,125,0.0,579
ST,88,0.0,213
STD,106,0.0,92
STM,284,0.0,523
STV,302,0.0,454
STZ,87,0.0,213
SWD,273,0.0,511
SWK,198,0.0,493
TB,8,30.32258064516129,0
TBG,119,0.0,434
TBR,13,0.0,13
TBU,9,30.29032258064516,13
TG,86,0.0,106
TL,55,0.0,159
TPSW,53,0.0,159
TWL,133,0.0,466
UHM,297,0.0,527
UHZ,294,0.0,527
UST,289,0.0,526
UT,69,0.0,116
UTG,131,0.0,506
UTLN,65,0.0,240
UTLR,72,0.0,189
UTO,72,0.0,189
UTT,74,0.0,189
UTVR,68,0.0,240
UTZL,71,0.0,189
VB,105,0.0,598
VD,124,0.0,400
VDL,129,0.0,111
VDM,289,0.0,524
VEM,116,0.0,400
VG,17,0.0,43
VH,125,0.0,579
VHP,180,0.0,537
VK,138,0.0,111
VL,81,0.0,105
VLB,96,0.0,200
VNDC,102,0.0,318
VNDW,101,0.0,318
VP,89,0.0,398
VRY,100,0.0,127
VS,128,0.0,368
VSS,127,0.0,341
VST,112,0.0,572
VSV,126,0.0,434
VTN,76,0.0,194
VZ,173,0.0,536
WAD,109,0.0,274
WADN,110,0.0,274
WADT,108,0.0,274
WC,55,0.0,140
WD,85,0.0,189
WDN,162,0.0,407
WF,91,0.0,397
WFM,286,0.0,526
WH,145,0.0,476
WK,289,0.0,449
WL,108,0.0,417
WM,124,0.0,471
WP,102,0.0,201
WR,316,0.0,535
WS,294,0.0,526
WSM,278,0.0,512
WT,57,28.516129032258064,43
WTV,88,0.0,399
WV,211,0.0,443
WW,147,0.0,453
WWW,148,0.0,453
WZ,147,0.0,442
YPB,109,0.0,601
ZA,77,0.0,162
ZB,281,0.0,520
ZBM,34,0.0,116
ZD,118,0.0,468
ZDK,121,0.0,471
ZH,274,0.0,511
ZL,156,0.0,429
ZLSH,161,0.0,443
ZLW,44,0.0,354
ZP,112,0.0,400
ZTM,114,0.0,598
ZTMO,115,0.0,598
ZV,97,0.0,397
ZVB,52,0.0,359
ZVT,135,0.0,484
ZWD,61,0.0,453
ZZS,121,0.0,471
