Station Code,Distance from GVM,Services from/to GVM,Disruptions on path to GVM
SPTN,47,0.0,190
SPTZ,45,0.0,190
SRN,205,0.0,649
SSH,19,43.16129032258065,95
ST,80,0.0,290
STD,212,0.0,620
STM,276,0.0,527
STV,294,0.0,472
STZ,79,0.0,290
SWD,265,0.0,515
SWK,190,0.0,497
TB,98,0.0,509
TBG,155,0.0,560
TBR,93,0.0,528
TBU,97,0.0,530
TG,192,0.0,656
TL,99,0.0,390
TPSW,97,0.0,390
TWL,135,0.0,468
UHM,289,0.0,531
UHZ,286,0.0,531
UST,281,0.0,530
UT,61,0.0,193
UTG,59,0.0,210
UTLN,65,0.0,266
UTLR,58,0.0,207
UTO,64,0.0,266
UTT,56,0.0,202
UTVR,62,0.0,266
UTZL,63,0.0,266
VB,7,0.0,29
VD,155,0.0,468
VDL,235,0.0,639
VDM,281,0.0,528
VEM,139,0.0,470
VG,113,0.0,339
VH,19,17.612903225806452,95
VHP,188,0.0,457
VK,244,0.0,639
VL,187,0.0,655
VLB,170,0.0,586
VNDC,96,0.0,300
VNDW,95,0.0,300
VP,125,0.0,526
VRY,177,0.0,587
VS,160,0.0,224
VSS,159,0.0,224
VST,6,61.25806451612903,0
VSV,162,0.0,560
VTN,54,0.0,193
VZ,185,0.0,569
WAD,36,0.0,206
WADN,35,0.0,206
WADT,37,0.0,206
WC,143,0.0,363
WD,45,0.0,192
WDN,174,0.0,506
WF,111,0.0,288
WFM,278,0.0,530
WH,157,0.0,509
WK,281,0.0,467
WL,144,0.0,543
WM,66,0.0,236
WP,64,23.161290322580644,231
WR,308,0.0,539
WS,286,0.0,530
WSM,270,0.0,516
WT,163,0.0,571
WTV,124,0.0,525
WV,203,0.0,447
WW,183,0.0,579
WWW,184,0.0,579
WZ,139,0.0,446
YPB,11,0.0,32
ZA,121,0.0,393
ZB,273,0.0,524
ZBM,96,0.0,390
ZD,61,18.483870967741936,166
ZDK,64,18.483870967741936,169
ZH,266,0.0,515
ZL,148,18.258064516129032,433
ZLSH,153,0.0,447
ZLW,62,0.0,303
ZP,143,0.0,468
ZTM,16,0.0,29
ZTMO,17,0.0,32
ZV,133,0.0,523
ZVB,70,0.0,308
ZVT,48,0.0,173
ZWD,45,0.0,300
ZZS,64,0.0,169
