Station Code,Distance from EEM,Services from/to EEM,Disruptions on path to EEM
WK,137,0.0,64
WL,250,0.0,171
WM,278,0.0,345
WP,248,0.0,195
WR,103,0.0,83
WS,81,0.0,74
WSM,29,4.709677419354839,28
WT,346,0.0,514
WTV,230,0.0,148
WV,139,0.0,61
WW,243,0.0,153
WWW,242,0.0,153
WZ,160,0.0,63
YPB,291,0.0,379
ZA,249,0.0,413
ZB,68,0.0,68
ZBM,273,0.0,419
ZD,272,0.0,342
ZDK,275,0.0,345
ZH,57,0.0,44
ZL,151,0.0,49
ZLSH,156,0.0,63
ZLW,328,0.0,568
ZP,198,0.0,139
ZTM,286,0.0,376
ZTMO,285,0.0,461
ZV,239,0.0,151
ZVB,336,0.0,573
ZVT,289,0.0,358
ZWD,312,0.0,636
ZZS,275,0.0,345
