Station Code,Distance from HVSP,Services from/to HVSP,Disruptions on path to HVSP
IJT,203,0.0,259
KBD,162,0.0,270
KBK,69,0.0,277
KLP,51,0.0,73
KMA,48,0.0,293
KMR,201,0.0,279
KMW,225,0.0,266
KPN,98,0.0,15
KPNZ,98,0.0,15
KRD,201,0.0,290
KRG,169,0.0,270
KTR,67,0.0,116
KW,197,0.0,89
KZ,42,0.0,283
LAA,78,0.0,105
LC,95,0.0,276
LDL,66,0.0,164
LDM,57,0.0,117
LEDN,67,0.0,171
LG,196,0.0,279
LLS,56,0.0,144
LLZM,62,0.0,158
LP,215,0.0,95
LTN,43,0.0,258
LTV,113,0.0,278
LUT,178,0.0,262
LW,178,0.0,241
LWC,181,0.0,258
MAS,24,0.0,73
MDB,199,0.0,297
MES,201,0.0,264
MG,188,0.0,258
MMLH,97,0.0,302
MP,111,0.0,15
MRB,117,0.0,22
MRN,37,0.0,105
MT,195,0.0,262
MTH,198,0.0,91
MTN,198,0.0,264
MTR,196,0.0,264
MZ,118,0.0,222
NDB,7,45.38709677419355,1
NH,186,0.0,293
NKK,28,0.0,241
NM,87,0.0,281
NMD,92,0.0,302
NMGO,90,0.0,302
NMH,90,0.0,302
NML,86,0.0,552
NS,56,0.0,241
NSCH,233,0.0,98
NVD,115,0.0,24
NVP,50,0.0,203
NWK,58,0.0,158
O,84,0.0,146
OBD,82,0.0,280
ODB,123,0.0,270
ODZ,134,0.0,343
OMN,106,0.0,22
OP,71,0.0,119
OST,85,0.0,307
OT,86,0.0,189
OTB,64,0.0,281
OVN,51,0.0,296
OW,83,0.0,146
PMO,55,0.0,259
PMR,54,0.0,280
PMW,53,0.0,283
PT,35,0.0,241
RAI,28,15.064516129032258,4
RAT,101,0.0,15
RB,159,0.0,270
RD,227,0.0,99
RH,78,0.0,539
RHN,60,0.0,108
RL,100,0.0,278
RLB,80,0.0,228
RM,149,0.0,211
RS,72,0.0,146
RSD,130,0.0,265
RSN,101,0.0,276
RSW,81,0.0,173
RTA,63,0.0,158
RTB,74,0.0,228
RTD,73,0.0,158
RTN,68,0.0,160
RTST,78,0.0,228
RTZ,77,0.0,228
RV,160,0.0,260
RVS,92,0.0,167
SBK,181,0.0,292
SD,12,0.0,15
SDA,216,0.0,89
SDM,77,0.0,228
SDT,82,0.0,147
SDTB,85,0.0,148
SGL,205,0.0,278
SGN,90,0.0,372
SHL,40,14.129032258064516,75
SK,200,0.0,258
SKND,199,0.0,258
SM,154,0.0,260
SN,183,0.0,293
SOG,203,0.0,279
SPTN,56,0.0,296
SPTZ,54,0.0,296
SRN,167,0.0,289
SSH,61,0.0,203
ST,13,0.0,15
STD,174,0.0,260
STM,211,0.0,95
STV,229,0.0,266
STZ,14,0.0,15
SWD,200,0.0,83
SWK,125,0.0,65
TB,87,0.0,146
TBG,104,0.0,575
TBR,92,0.0,159
TBU,88,0.0,159
TG,154,0.0,212
TL,55,0.0,116
TPSW,53,0.0,116
TWL,70,0.0,276
UHM,224,0.0,99
UHZ,221,0.0,99
UST,216,0.0,98
UT,17,53.80645161290322,0
UTG,53,0.0,318
UTLN,21,0.0,73
UTLR,20,0.0,73
UTO,14,53.80645161290322,0
UTT,22,0.0,73
UTVR,18,0.0,73
UTZL,19,0.0,73
VB,74,0.0,158
VD,90,0.0,276
VDL,197,0.0,279
VDM,216,0.0,96
VEM,74,0.0,278
VG,69,0.0,146
VH,70,0.0,280
VHP,123,0.0,25
VK,206,0.0,279
VL,149,0.0,211
VLB,119,0.0,344
VNDC,52,0.0,107
VNDW,51,0.0,107
VP,74,0.0,539
VRY,126,0.0,345
VS,205,0.0,297
VSS,204,0.0,270
VST,72,0.0,266
VSV,111,0.0,575
VTN,24,0.0,78
VZ,120,0.0,377
WAD,57,0.0,158
WADN,58,0.0,158
WADT,56,0.0,158
WC,96,0.0,538
WD,33,0.0,73
WDN,109,0.0,283
WF,60,0.0,281
WFM,213,0.0,98
WH,92,0.0,317
WK,216,0.0,261
WL,93,0.0,558
WM,46,0.0,283
WP,16,15.064516129032258,12
WR,243,0.0,107
WS,221,0.0,98
WSM,205,0.0,84
WT,125,0.0,211
WTV,73,0.0,540
WV,138,0.0,15
WW,123,0.0,290
WWW,122,0.0,290
WZ,74,0.0,254
YPB,70,0.0,76
ZA,77,0.0,119
ZB,208,0.0,92
ZBM,52,0.0,116
ZD,40,0.0,280
ZDK,43,0.0,283
ZH,201,0.0,83
ZL,83,0.0,1
ZLSH,88,0.0,15
ZLW,107,0.0,265
ZP,78,0.0,276
ZTM,65,0.0,73
ZTMO,64,0.0,158
ZV,82,0.0,538
ZVB,115,0.0,270
ZVT,57,0.0,296
ZWD,91,0.0,333
ZZS,43,0.0,283
