Station Code,Distance from GO,Services from/to GO,Disruptions on path to GO
LC,13,33.193548387096776,0
LDL,161,0.0,373
LDM,129,0.0,328
LEDN,162,0.0,380
LG,210,0.0,485
LLS,131,0.0,148
LLZM,157,0.0,440
LP,206,0.0,228
LTN,84,0.0,290
LTV,65,0.0,9
LUT,192,0.0,468
LW,169,0.0,148
LWC,172,0.0,165
MAS,119,0.0,355
MDB,257,0.0,750
MES,215,0.0,470
MG,179,0.0,165
MMLH,88,0.0,288
MP,102,0.0,148
MRB,48,0.0,123
MRN,113,0.0,321
MT,209,0.0,468
MTH,189,0.0,224
MTN,212,0.0,470
MTR,210,0.0,470
MZ,174,0.0,455
NDB,113,0.0,283
NH,200,0.0,499
NKK,102,0.0,282
NM,78,0.0,267
NMD,83,0.0,288
NMGO,81,0.0,288
NMH,81,0.0,288
NML,77,0.0,281
NS,101,0.0,148
NSCH,224,0.0,231
NVD,42,0.0,122
NVP,156,0.0,485
NWK,153,0.0,440
O,102,0.0,288
OBD,188,0.0,575
ODB,195,0.0,723
ODZ,26,34.03225806451613,52
OMN,59,0.0,126
OP,87,0.0,281
OST,56,0.0,73
OT,142,0.0,425
OTB,63,0.0,267
OVN,157,0.0,591
OW,103,0.0,309
PMO,161,0.0,554
PMR,160,0.0,575
PMW,159,0.0,578
PT,109,0.0,282
RAI,134,0.0,286
RAT,56,0.0,134
RB,217,0.0,754
RD,218,0.0,232
RH,49,0.0,10
RHN,136,0.0,324
RL,52,0.0,9
RLB,175,0.0,510
RM,163,0.0,417
RS,114,0.0,309
RSD,188,0.0,718
RSN,42,0.0,52
RSW,176,0.0,455
RTA,158,0.0,440
RTB,169,0.0,510
RTD,168,0.0,440
RTN,163,0.0,442
RTST,173,0.0,510
RTZ,172,0.0,510
RV,152,0.0,403
RVS,94,0.0,267
SBK,195,0.0,498
SD,104,0.0,296
SDA,207,0.0,222
SDM,172,0.0,510
SDT,154,0.0,358
SDTB,157,0.0,359
SGL,219,0.0,484
SGN,196,0.0,667
SHL,146,0.0,357
SK,191,0.0,165
SKND,190,0.0,165
SM,158,0.0,417
SN,197,0.0,499
SOG,217,0.0,485
SPTN,162,0.0,591
SPTZ,160,0.0,591
SRN,181,0.0,495
SSH,167,0.0,485
ST,105,0.0,296
STD,188,0.0,466
STM,202,0.0,228
STV,220,0.0,173
STZ,106,0.0,286
SWD,191,0.0,216
SWK,116,0.0,198
TB,143,0.0,382
TBG,93,0.0,56
TBR,148,0.0,395
TBU,144,0.0,395
TG,145,0.0,384
TL,103,0.0,284
TPSW,105,0.0,284
TWL,51,0.0,73
UHM,215,0.0,232
UHZ,212,0.0,232
UST,207,0.0,231
UT,112,0.0,282
UTG,159,0.0,613
UTLN,116,0.0,355
UTLR,115,0.0,355
UTO,109,0.0,282
UTT,117,0.0,355
UTVR,113,0.0,355
UTZL,114,0.0,355
VB,169,0.0,440
VD,42,0.0,7
VDL,211,0.0,485
VDM,207,0.0,229
VEM,34,0.0,7
VG,125,0.0,382
VH,170,0.0,390
VHP,42,0.0,123
VK,220,0.0,485
VL,140,0.0,383
VLB,110,0.0,330
VNDC,128,0.0,323
VNDW,127,0.0,323
VP,53,0.0,13
VRY,117,0.0,331
VS,263,0.0,750
VSS,262,0.0,723
VST,167,0.0,475
VSV,96,0.0,40
VTN,119,0.0,360
VZ,35,0.0,122
WAD,152,0.0,440
WADN,153,0.0,440
WADT,151,0.0,440
WC,87,0.0,267
WD,128,0.0,282
WDN,34,0.0,122
WF,67,0.0,267
WFM,204,0.0,231
WH,63,0.0,83
WK,207,0.0,168
WL,82,0.0,39
WM,152,0.0,578
WP,122,0.0,294
WR,234,0.0,240
WS,212,0.0,231
WSM,196,0.0,217
WT,181,0.0,425
WTV,62,0.0,16
WV,129,0.0,148
WW,75,0.0,21
WWW,74,0.0,21
WZ,83,0.0,148
YPB,165,0.0,358
ZA,81,0.0,281
ZB,199,0.0,225
ZBM,124,0.0,327
ZD,146,0.0,575
ZDK,149,0.0,578
ZH,192,0.0,216
ZL,74,0.0,134
ZLSH,79,0.0,148
ZLW,179,0.0,736
ZP,30,33.16129032258065,7
ZTM,160,0.0,355
ZTMO,159,0.0,440
ZV,71,0.0,19
ZVB,187,0.0,741
ZVT,163,0.0,591
ZWD,166,0.0,476
ZZS,149,0.0,578
