Station Code,Distance from GDG,Services from/to GDG,Disruptions on path to GDG
VRY,145,0.0,394
VS,160,0.0,187
VSS,159,0.0,160
VST,41,0.0,117
VSV,130,0.0,367
VTN,22,38.54838709677419,1
VZ,153,0.0,449
WAD,11,0.0,85
WADN,12,0.0,85
WADT,10,0.0,85
WC,111,0.0,170
WD,13,75.06451612903226,0
WDN,142,0.0,355
WF,79,0.0,95
WFM,246,0.0,410
WH,125,0.0,389
WK,249,0.0,333
WL,112,0.0,350
WM,75,36.193548387096776,283
WP,60,0.0,161
WR,276,0.0,419
WS,254,0.0,410
WSM,238,0.0,396
WT,137,0.0,211
WTV,92,0.0,332
WV,171,0.0,327
WW,151,0.0,386
WWW,152,0.0,386
WZ,107,0.0,326
YPB,24,42.354838709677416,88
ZA,89,0.0,119
ZB,241,0.0,404
ZBM,64,1.032258064516129,116
ZD,69,36.193548387096776,280
ZDK,72,0.0,283
ZH,234,0.0,395
ZL,116,0.0,313
ZLSH,121,0.0,327
ZLW,62,0.0,272
ZP,111,0.0,348
ZTM,19,33.70967741935484,85
ZTMO,18,42.354838709677416,85
ZV,101,0.0,330
ZVB,70,0.0,277
ZVT,73,0.0,206
ZWD,45,0.0,260
ZZS,72,36.193548387096776,283
