Station Code,Distance from APG,Services from/to APG,Disruptions on path to APG
NM,235,0.0,382
NMD,240,0.0,403
NMGO,238,0.0,403
NMH,238,0.0,403
NML,234,0.0,396
NS,167,0.0,46
NSCH,82,0.0,57
NVD,172,0.0,55
NVP,271,0.0,379
NWK,268,0.0,444
O,259,0.0,403
OBD,303,0.0,325
ODB,333,0.0,556
ODZ,210,0.0,156
OMN,163,0.0,53
OP,244,0.0,396
OST,161,0.0,46
OT,296,0.0,475
OTB,220,0.0,382
OVN,272,0.0,341
OW,260,0.0,424
PMO,276,0.0,304
PMR,275,0.0,325
PMW,274,0.0,328
PT,188,0.0,46
RAI,249,0.0,180
RAT,158,0.0,46
RB,369,0.0,556
RD,50,0.0,27
RH,206,0.0,125
RHN,270,0.0,394
RL,209,0.0,124
RLB,290,0.0,514
RM,320,0.0,532
RS,271,0.0,424
RSD,340,0.0,551
RSN,188,0.0,67
RSW,291,0.0,27
RTA,273,0.0,444
RTB,284,0.0,514
RTD,283,0.0,444
RTN,278,0.0,446
RTST,288,0.0,514
RTZ,287,0.0,514
RV,309,0.0,518
RVS,251,0.0,382
SBK,352,0.0,613
SD,219,0.0,300
SDA,65,0.0,48
SDM,287,0.0,514
SDT,292,0.0,433
SDTB,295,0.0,434
SGL,376,0.0,599
SGN,311,0.0,417
SHL,261,0.0,251
SK,110,0.0,44
SKND,109,0.0,44
SM,315,0.0,532
SN,354,0.0,614
SOG,374,0.0,600
SPTN,277,0.0,341
SPTZ,275,0.0,341
SRN,338,0.0,610
SSH,282,0.0,379
ST,220,0.0,300
STD,345,0.0,581
STM,12,31.12903225806452,0
STV,139,0.0,52
STZ,221,0.0,290
SWD,23,31.096774193548388,11
SWK,126,0.0,77
TB,297,0.0,432
TBG,250,0.0,171
TBR,302,0.0,445
TBU,298,0.0,445
TG,302,0.0,499
TL,260,0.0,399
TPSW,262,0.0,399
TWL,176,0.0,122
UHM,47,0.0,27
UHZ,44,0.0,27
UST,39,0.0,26
UT,227,0.0,286
UTG,274,0.0,363
UTLN,231,0.0,359
UTLR,230,0.0,359
UTO,224,0.0,286
UTT,232,0.0,359
UTVR,228,0.0,359
UTZL,229,0.0,359
VB,284,0.0,444
VD,199,0.0,122
VDL,368,0.0,600
VDM,65,0.0,55
VEM,191,0.0,122
VG,279,0.0,432
VH,285,0.0,394
VHP,180,0.0,56
VK,377,0.0,600
VL,297,0.0,498
VLB,267,0.0,445
VNDC,262,0.0,393
VNDW,261,0.0,393
VP,210,0.0,128
VRY,274,0.0,446
VS,415,0.0,583
VSS,414,0.0,556
VST,282,0.0,479
VSV,253,0.0,155
VTN,234,0.0,364
VZ,187,0.0,57
WAD,267,0.0,444
WADN,268,0.0,444
WADT,266,0.0,444
WC,244,0.0,382
WD,243,0.0,286
WDN,180,0.0,67
WF,224,0.0,382
WFM,36,0.0,26
WH,154,0.0,46
WK,126,0.0,47
WL,239,0.0,154
WM,267,0.0,328
WP,237,0.0,178
WR,92,0.0,66
WS,70,0.0,57
WSM,28,0.0,12
WT,335,0.0,497
WTV,219,0.0,131
WV,128,0.0,44
WW,232,0.0,136
WWW,231,0.0,136
WZ,149,0.0,46
YPB,280,0.0,362
ZA,238,0.0,396
ZB,57,0.0,51
ZBM,262,0.0,402
ZD,261,0.0,325
ZDK,264,0.0,328
ZH,46,0.0,27
ZL,140,0.0,32
ZLSH,145,0.0,46
ZLW,317,0.0,551
ZP,187,0.0,122
ZTM,275,0.0,359
ZTMO,274,0.0,444
ZV,228,0.0,134
ZVB,325,0.0,556
ZVT,278,0.0,341
ZWD,301,0.0,619
ZZS,264,0.0,328
