Station Code,Distance from ALMB,Services from/to ALMB,Disruptions on path to ALMB
DMNZ,29,20.41935483870968,138
DN,157,0.0,359
DR,120,0.0,681
DRH,63,0.0,427
DRON,43,36.87096774193548,14
DRP,181,0.0,45
DT,99,7.225806451612903,348
DTC,134,0.0,701
DTCH,132,0.0,701
DTCP,100,0.0,449
DV,106,0.0,35
DVC,110,0.0,101
DVD,31,27.677419354838708,131
DVN,113,0.0,683
DVNK,78,19.032258064516128,343
DWE,187,0.0,31
DZ,219,0.0,123
DZW,218,0.0,123
EC,200,0.0,404
ED,87,0.0,402
EDC,85,0.0,401
EDN,242,0.0,408
EEM,226,0.0,122
EGH,236,0.0,423
EGHM,237,0.0,423
EHS,134,0.0,293
EHV,135,0.0,293
EKZ,97,0.0,482
EML,76,0.0,384
EMN,150,0.0,60
EMNZ,146,0.0,59
ES,142,0.0,135
ESK,138,0.0,135
EST,115,0.0,681
ETN,157,0.0,626
FN,187,0.0,31
FWD,184,0.0,31
GBG,123,0.0,45
GD,85,0.0,148
GDG,82,0.0,149
GDM,81,0.0,217
GDR,139,0.0,718
GERP,179,0.0,78
GK,200,0.0,93
GLN,216,0.0,406
GN,181,0.0,78
GND,116,0.0,281
GNN,185,0.0,93
GO,144,0.0,173
GP,141,0.0,355
GR,107,0.0,279
GS,217,0.0,308
GV,91,7.258064516129032,333
GVC,90,19.032258064516128,333
GVM,86,19.032258064516128,428
GVMW,92,0.0,348
GW,157,0.0,21
GZ,136,0.0,305
HAD,59,0.0,410
HB,227,0.0,437
HBZM,119,0.0,291
HD,80,0.0,387
HDB,117,0.0,32
HDE,93,0.0,25
HDG,180,0.0,31
HDR,117,0.0,511
HDRZ,116,0.0,511
HFD,51,55.096774193548384,205
HGL,134,0.0,116
HGLG,136,0.0,135
HGLO,136,0.0,135
HGV,123,0.0,14
HGZ,192,0.0,101
HIL,66,0.0,410
HK,62,0.0,449
HKS,89,0.0,466
HLG,196,0.0,32
HLGH,197,0.0,36
HLM,55,0.0,389
HLMS,54,0.0,410
HLO,70,0.0,416
HM,148,0.0,355
HMBH,149,0.0,359
HMBV,145,0.0,355
HMH,147,0.0,355
HMN,112,0.0,263
HN,79,0.0,410
HNK,80,0.0,466
HNO,87,0.0,25
HNP,212,0.0,34
HON,125,0.0,101
HOR,43,0.0,144
HR,141,0.0,14
HRL,231,0.0,406
HRLW,233,0.0,423
HRN,175,0.0,78
HRT,175,0.0,387
HT,103,0.0,217
HTN,63,0.0,217
HTNC,64,0.0,245
HTO,104,0.0,290
HVL,59,0.0,384
HVS,37,0.0,143
HVSM,36,0.0,176
HVSP,38,0.0,144
HWD,82,0.0,492
HWZB,47,0.0,410
HZE,146,0.0,361
IJT,195,0.0,32
KBD,199,0.0,308
KBK,105,0.0,167
KLP,89,0.0,217
KMA,54,0.0,423
KMR,239,0.0,423
KMW,217,0.0,39
KPN,90,0.0,25
KPNZ,60,36.87096774193548,15
KRD,239,0.0,434
KRG,206,0.0,308
KTR,105,0.0,260
KW,189,0.0,99
KZ,48,0.0,413
LAA,89,26.29032258064516,333
LC,131,0.0,166
LDL,76,0.0,343
LDM,95,0.0,261
LEDN,75,41.354838709677416,333
LG,234,0.0,423
LLS,18,47.516129032258064,0
LLZM,98,0.0,233
LP,207,0.0,105
LTN,79,0.0,401
LTV,149,0.0,168
LUT,216,0.0,406
LW,170,0.0,14
LWC,173,0.0,31
MAS,55,0.0,148
MDB,236,0.0,335
MES,239,0.0,408
MG,180,0.0,31
MMLH,133,0.0,445
MP,103,0.0,25
MRB,109,0.0,32
MRN,75,0.0,249
MT,233,0.0,406
MTH,190,0.0,101
MTN,236,0.0,408
MTR,234,0.0,408
MZ,156,0.0,366
NDB,31,0.0,132
NH,224,0.0,437
NKK,64,0.0,384
NM,123,0.0,424
NMD,128,0.0,445
NMGO,126,0.0,445
NMH,126,0.0,445
NML,122,0.0,695
NS,92,0.0,384
NSCH,225,0.0,108
NVD,107,0.0,34
NVP,56,34.096774193548384,333
NWK,94,0.0,233
O,122,0.0,290
OBD,88,0.0,410
ODB,160,0.0,425
