Station Code,Distance from AMFS,Services from/to AMFS,Disruptions on path to AMFS
DDR,99,0.0,388
DDRS,96,0.0,388
DDZD,100,0.0,505
DEI,162,0.0,31
DID,73,0.0,537
DL,75,0.0,14
DLD,12,35.483870967741936,240
DLN,122,0.0,48
DMN,41,31.387096774193548,258
DMNZ,41,0.0,241
DN,126,0.0,455
DR,70,0.0,537
DRH,75,0.0,550
DRON,95,0.0,14
DRP,169,0.0,45
DT,93,0.0,413
DTC,84,0.0,557
DTCH,82,0.0,557
DTCP,93,0.0,468
DV,61,0.0,240
DVC,65,0.0,275
DVD,43,16.032258064516128,241
DVN,63,0.0,539
DVNK,77,0.0,348
DWE,175,0.0,31
DZ,207,0.0,112
DZW,206,0.0,112
EC,169,0.0,500
ED,37,0.0,258
EDC,35,0.0,257
EDN,211,0.0,504
EEM,214,0.0,111
EGH,205,0.0,519
EGHM,206,0.0,519
EHS,103,0.0,389
EHV,104,0.0,389
EKZ,109,0.0,605
EML,20,36.67741935483871,11
EMN,138,0.0,49
EMNZ,134,0.0,48
ES,117,0.0,342
ESK,113,0.0,342
EST,65,0.0,537
ETN,126,0.0,722
FN,175,0.0,31
FWD,172,0.0,31
GBG,111,0.0,34
GD,56,17.677419354838708,313
GDG,53,0.0,313
GDM,50,0.0,313
GDR,89,0.0,574
GERP,167,0.0,67
GK,188,0.0,82
GLN,185,0.0,502
GN,169,0.0,67
GND,85,0.0,377
GNN,173,0.0,82
GO,94,0.0,282
GP,110,0.0,451
GR,76,0.0,375
GS,187,0.0,510
GV,85,0.0,398
GVC,84,18.161290322580644,316
GVM,85,0.0,433
GVMW,86,0.0,413
GW,145,0.032258064516129,71
GZ,105,0.0,401
HAD,71,0.0,533
HB,196,0.0,533
HBZM,88,0.0,387
HD,24,36.67741935483871,11
HDB,105,0.0,21
HDE,45,36.67741935483871,14
HDG,168,0.0,31
HDR,129,0.0,634
HDRZ,128,0.0,634
HFD,63,17.225806451612904,315
HGL,109,0.0,323
HGLG,107,0.0,323
HGLO,111,0.0,342
HGV,111,0.0,14
HGZ,180,0.0,90
HIL,78,0.0,533
HK,74,0.0,572
HKS,101,0.0,589
HLG,184,0.0,32
HLGH,185,0.0,36
HLM,67,0.0,512
HLMS,66,0.0,533
HLO,82,0.0,539
HM,117,0.0,451
HMBH,118,0.0,455
HMBV,114,0.0,451
HMH,116,0.0,451
HMN,79,0.0,551
HN,91,0.0,533
HNK,92,0.0,589
HNO,75,0.0,14
HNP,200,0.0,34
HON,80,0.0,275
HOR,25,0.0,241
HR,129,0.032258064516129,71
HRL,200,0.0,502
HRLW,202,0.0,519
HRN,163,0.0,67
HRT,143,0.0,396
HT,72,0.0,313
HTN,32,0.0,313
HTNC,33,0.0,341
HTO,73,0.0,386
HVL,9,0.0,240
HVS,19,49.0,240
HVSM,20,31.41935483870968,241
HVSP,20,0.0,241
HWD,94,0.0,615
HWZB,59,0.0,533
HZE,115,0.0,457
IJT,183,0.0,32
KBD,169,0.0,510
KBK,55,0.0,276
KLP,44,0.0,280
KMA,66,0.0,546
KMR,208,0.0,519
KMW,205,0.0,39
KPN,78,0.0,14
KPNZ,78,0.0,14
KRD,208,0.0,530
KRG,176,0.0,510
KTR,74,0.0,356
KW,177,0.0,88
KZ,60,0.0,536
LAA,85,0.0,345
LC,81,0.0,275
LDL,73,0.0,331
LDM,64,0.0,357
LEDN,74,5.193548387096774,338
LG,203,0.0,519
LLS,74,0.0,384
LLZM,69,0.0,398
LP,195,0.0,94
LTN,29,0.0,257
LTV,99,0.0,277
LUT,185,0.0,502
LW,158,0.032258064516129,14
LWC,161,0.0,31
MAS,31,0.0,313
MDB,206,0.0,537
MES,208,0.0,504
MG,168,0.0,31
MMLH,83,0.0,301
MP,91,0.032258064516129,14
MRB,97,0.0,21
MRN,44,0.0,345
MT,202,0.0,502
MTH,178,0.0,90
MTN,205,0.0,504
MTR,203,0.0,504
MZ,125,0.0,462
NDB,25,31.41935483870968,241
NH,193,0.0,533
NKK,8,36.67741935483871,8
NM,73,0.0,280
NMD,78,0.0,301
NMGO,76,0.0,301
NMH,76,0.0,301
NML,72,0.0,551
NS,36,36.67741935483871,14
NSCH,213,0.0,97
NVD,95,0.0,23
NVP,68,0.0,443
NWK,65,0.0,398
O,91,0.0,386
OBD,100,0.0,533
ODB,130,0.0,510
ODZ,120,0.0,342
OMN,86,0.0,21
OP,78,0.0,359
OST,71,0.0,306
OT,93,0.0,429
OTB,50,0.0,280
OVN,69,0.0,549
OW,90,0.0,386
PMO,73,0.0,512
PMR,72,0.0,533
PMW,71,0.0,536
PT,15,36.67741935483871,11
RAI,46,0.0,244
RAT,81,0.0,14
RB,166,0.0,510
RD,207,0.0,98
RH,64,0.0,538
RHN,67,0.0,348
RL,86,0.0,277
RLB,87,0.0,468
RM,156,0.0,451
RS,79,0.0,386
RSD,137,0.0,505
RSN,87,0.0,275
RSW,88,0.0,413
RTA,70,0.5806451612903226,398
RTB,81,0.0,468
RTD,80,0.5806451612903226,398
RTN,75,0.0,400
RTST,85,0.0,468
RTZ,84,0.0,468
RV,147,0.0,416
RVS,89,0.0,537
SBK,188,0.0,532
SD,16,0.0,254
SDA,196,0.0,88
SDM,84,0.0,468
SDT,89,0.0,387
SDTB,92,0.0,388
SGL,212,0.0,518
SGN,108,0.0,625
SHL,58,33.16129032258065,315
SK,180,0.0,31
SKND,179,0.0,31
SM,153,0.0,430
SN,190,0.0,533
SOG,210,0.0,519
SPTN,74,0.0,549
SPTZ,72,0.0,549
SRN,174,0.0,529
SSH,79,0.0,443
ST,17,0.0,254
STD,181,0.0,500
STM,191,0.0,94
STV,209,0.0,39
STZ,18,0.0,244
SWD,180,0.0,82
SWK,105,0.032258064516129,64
TB,94,0.0,386
TBG,90,0.0,574
TBR,99,0.0,399
TBU,95,0.0,399
TG,140,0.0,397
TL,62,0.0,356
TPSW,60,0.0,356
TWL,56,0.0,275
UHM,204,0.0,98
UHZ,201,0.0,98
UST,196,0.0,97
UT,24,53.32258064516129,240
UTG,71,0.0,571
UTLN,28,0.0,313
UTLR,27,0.0,313
UTO,21,35.483870967741936,240
UTT,29,0.0,313
UTVR,25,0.0,313
UTZL,26,0.0,313
VB,81,0.032258064516129,398
VD,76,0.0,275
VDL,204,0.0,519
VDM,196,0.0,95
VEM,60,0.0,277
VG,76,0.0,386
VH,82,0.0,348
VHP,103,0.0,24
VK,213,0.0,519
VL,135,0.0,396
VLB,105,0.0,343
VNDC,59,0.0,347
VNDW,58,0.0,347
VP,60,0.0,538
VRY,112,0.0,344
VS,212,0.0,537
VSS,211,0.0,510
VST,79,0.0,433
VSV,97,0.0,574
VTN,31,0.0,318
VZ,106,0.0,376
WAD,64,0.0,398
WADN,65,0.0,398
WADT,63,0.0,398
WC,82,0.0,537
WD,40,0.0,240
WDN,95,0.0,282
WF,46,0.0,280
WFM,193,0.0,97
WH,77,0.0,14
WK,196,0.0,34
WL,79,0.0,557
WM,64,0.0,536
WP,34,31.41935483870968,252
WR,223,0.0,106
WS,201,0.0,97
WSM,185,0.0,83
WT,132,0.0,451
WTV,59,0.0,539
WV,118,0.032258064516129,14
WW,109,0.0,289
WWW,108,0.0,289
WZ,54,36.67741935483871,27
YPB,77,0.0,316
ZA,76,0.0,551
ZB,188,0.0,91
ZBM,59,0.0,356
ZD,58,0.0,533
ZDK,61,0.0,536
ZH,181,0.0,82
ZL,63,36.70967741935484,0
ZLSH,68,0.0,14
ZLW,114,0.0,505
ZP,64,0.0,275
ZTM,72,0.032258064516129,313
ZTMO,71,0.0,398
ZV,68,0.0,537
ZVB,122,0.0,510
ZVT,75,0.0,549
ZWD,98,0.0,573
ZZS,61,0.0,536
