Station Code,Distance from EMNZ,Services from/to EMNZ,Disruptions on path to EMNZ
DTCP,227,0.0,516
DV,95,0.0,101
DVC,91,0.0,108
DVD,177,0.0,190
DVN,147,0.0,176
DVNK,211,0.0,396
DWE,183,0.0,65
DZ,215,0.0,146
DZW,214,0.0,146
EC,257,0.0,626
ED,157,0.0,427
EDC,159,0.0,449
EDN,299,0.0,630
EEM,222,0.0,145
EGH,293,0.0,645
EGHM,294,0.0,645
EHS,233,0.0,661
EHV,234,0.0,542
EKZ,243,0.0,541
EML,114,0.0,51
EMN,4,38.483870967741936,0
EMNZ,0,0.0,0
ES,78,0.0,120
ESK,74,0.0,120
EST,151,0.0,427
ETN,256,0.0,878
FN,183,0.0,65
FWD,180,0.0,65
GBG,23,20.93548387096774,14
GD,190,0.0,361
GDG,187,0.0,361
GDM,184,0.0,442
GDR,173,0.0,216
GERP,175,0.0,101
GK,196,0.0,116
GLN,273,0.0,628
GN,177,0.0,101
GND,219,0.0,506
GNN,181,0.0,116
GO,85,0.0,153
GP,240,0.0,604
GR,210,0.0,504
GS,319,0.0,914
GV,219,0.0,446
GVC,218,0.0,446
GVM,219,0.0,481
GVMW,220,0.0,461
GW,153,0.0,105
GZ,235,0.0,557
HAD,205,0.0,488
HB,284,0.0,659
HBZM,222,0.0,516
HD,110,0.0,48
HDB,29,38.516129032258064,14
HDE,89,0.0,48
HDG,176,0.0,65
HDR,263,0.0,573
HDRZ,262,0.0,573
HFD,197,0.0,317
HGL,70,0.0,101
HGLG,72,0.0,120
HGLO,72,0.0,120
HGV,119,0.0,48
HGZ,188,0.0,124
HIL,212,0.0,528
HK,208,0.0,511
HKS,235,0.0,528
HLG,192,0.0,66
HLGH,193,0.0,70
HLM,201,0.0,451
HLMS,200,0.0,472
HLO,216,0.0,478
HM,247,0.0,604
HMBH,248,0.0,608
HMBV,244,0.0,604
HMH,246,0.0,604
HMN,165,0.0,441
HN,225,0.0,472
HNK,226,0.0,528
HNO,83,0.0,48
HNP,208,0.0,68
HON,76,0.0,108
HOR,159,0.0,289
HR,137,0.0,48
HRL,288,0.0,628
HRLW,290,0.0,645
HRN,171,0.0,101
HRT,229,0.0,543
HT,202,0.0,469
HTN,166,0.0,361
HTNC,167,0.0,389
HTO,201,0.0,469
HVL,143,0.0,288
HVS,153,0.0,288
HVSM,154,0.0,289
HVSP,154,0.0,289
HWD,228,0.0,554
HWZB,193,0.0,472
HZE,245,0.0,610
IJT,191,0.0,66
KBD,301,0.0,914
KBK,119,0.0,203
KLP,164,0.0,449
KMA,200,0.0,485
KMR,296,0.0,645
KMW,213,0.0,73
KPN,86,0.0,48
KPNZ,86,0.0,48
KRD,296,0.0,656
KRG,308,0.0,914
KTR,172,0.0,441
KW,185,0.0,122
KZ,194,0.0,475
LAA,219,0.0,475
LC,98,0.0,161
LDL,207,0.0,379
LDM,198,0.0,486
LEDN,208,0.0,386
LG,291,0.0,645
LLS,128,0.0,48
LLZM,203,0.0,446
LP,203,0.0,128
LTN,163,0.0,305
LTV,146,0.0,169
LUT,273,0.0,628
LW,166,0.0,48
LWC,169,0.0,65
MAS,165,0.0,361
MDB,338,0.0,914
MES,296,0.0,630
MG,176,0.0,65
MMLH,169,0.0,448
MP,99,0.0,48
MRB,37,36.87096774193548,27
MRN,178,0.0,393
MT,290,0.0,628
MTH,186,0.0,124
MTN,293,0.0,630
MTR,291,0.0,630
MZ,255,0.0,615
NDB,159,0.0,289
NH,281,0.0,659
NKK,126,0.0,51
NM,159,0.0,427
NMD,164,0.0,448
NMGO,162,0.0,448
NMH,162,0.0,448
NML,158,0.0,441
NS,98,0.0,48
NSCH,221,0.0,131
NVD,69,0.0,101
NVP,202,0.0,445
NWK,199,0.0,446
O,183,0.0,448
OBD,234,0.0,564
ODB,264,0.0,641
ODZ,81,0.0,120
OMN,48,38.516129032258064,27
OP,168,0.0,441
OST,92,0.0,48
OT,223,0.0,585
OTB,144,0.0,427
OVN,203,0.0,488
OW,184,0.0,469
PMO,207,0.0,473
PMR,206,0.0,472
PMW,205,0.0,475
PT,119,0.0,65
RAI,180,0.0,196
RAT,83,0.0,113
RB,298,0.0,914
RD,215,0.0,132
RH,130,0.0,170
RHN,201,0.0,396
RL,133,0.0,169
RLB,221,0.0,525
RM,244,0.0,577
RS,195,0.0,469
RSD,269,0.0,878
RSN,69,0.0,101
RSW,222,0.0,461
RTA,204,0.0,446
RTB,215,0.0,516
RTD,214,0.0,446
RTN,209,0.0,448
RTST,219,0.0,525
RTZ,218,0.0,525
RV,233,0.0,563
RVS,175,0.0,427
SBK,276,0.0,658
SD,150,0.0,302
SDA,204,0.0,122
SDM,218,0.0,516
SDT,223,0.0,516
SDTB,226,0.0,517
SGL,300,0.0,644
SGN,242,0.0,564
SHL,192,0.0,267
SK,188,0.0,65
SKND,187,0.0,65
SM,239,0.0,577
SN,278,0.0,659
SOG,298,0.0,645
SPTN,208,0.0,506
SPTZ,206,0.0,506
SRN,262,0.0,655
SSH,213,0.0,445
ST,151,0.0,302
STD,269,0.0,626
STM,199,0.0,128
STV,217,0.0,73
STZ,152,0.0,292
SWD,188,0.0,116
SWK,113,0.0,98
TB,224,0.0,542
TBG,174,0.0,216
TBR,229,0.0,555
TBU,225,0.0,555
TG,226,0.0,544
TL,184,0.0,444
TPSW,186,0.0,444
TWL,100,0.0,167
UHM,212,0.0,132
UHZ,209,0.0,132
UST,204,0.0,131
UT,158,0.0,288
UTG,205,0.0,510
UTLN,162,0.0,361
UTLR,161,0.0,361
UTO,155,0.0,312
UTT,163,0.0,361
UTVR,159,0.0,361
UTZL,160,0.0,361
VB,215,0.0,446
VD,123,0.0,167
VDL,292,0.0,645
VDM,204,0.0,129
VEM,115,0.0,167
VG,206,0.0,542
VH,216,0.0,396
VHP,43,0.0,30
VK,301,0.0,645
VL,221,0.0,543
VLB,191,0.0,490
VNDC,193,0.0,395
VNDW,192,0.0,395
VP,134,0.0,173
VRY,198,0.0,491
VS,344,0.0,916
VSS,343,0.0,916
VST,213,0.0,481
VSV,177,0.0,200
VTN,165,0.0,366
VZ,50,0.0,31
WAD,198,0.0,446
WADN,199,0.0,446
WADT,197,0.0,446
WC,168,0.0,427
WD,174,0.0,288
WDN,61,0.0,101
WF,148,0.0,427
WFM,201,0.0,131
WH,85,0.0,48
WK,204,0.0,68
WL,163,0.0,199
WM,198,0.0,475
WP,168,0.0,300
WR,231,0.0,140
WS,209,0.0,131
WSM,193,0.0,117
WT,262,0.0,604
WTV,143,0.0,176
WV,126,0.0,48
WW,156,0.0,181
WWW,155,0.0,181
WZ,80,0.0,48
YPB,211,0.0,446
ZA,162,0.0,441
ZB,196,0.0,125
ZBM,193,0.0,485
ZD,192,0.0,472
ZDK,195,0.0,475
ZH,189,0.0,116
ZL,71,38.516129032258064,34
ZLSH,76,0.0,48
ZLW,248,0.0,636
ZP,111,0.0,167
ZTM,206,0.0,446
ZTMO,205,0.0,446
ZV,152,0.0,179
ZVB,256,0.0,641
ZVT,209,0.0,489
ZWD,232,0.0,630
ZZS,195,0.0,475
