Station Code,Distance from SDM,Services from/to SDM,Disruptions on path to SDM
HRN,247,0.0,535
HRT,152,0.6774193548387096,487
HT,95,0.6774193548387096,264
HTN,68,0.0,228
HTNC,69,0.0,256
HTO,96,0.0,337
HVL,87,0.0,468
HVS,78,0.0,228
HVSM,79,0.0,229
HVSP,77,0.0,228
HWD,105,0.0,321
HWZB,71,0.0,203
HZE,123,0.0,461
IJT,267,0.0,500
KBD,94,21.90322580645161,106
KBK,133,0.0,504
KLP,94,0.3870967741935484,228
KMA,87,0.0,242
KMR,216,0.0,523
KMW,289,0.0,507
KPN,162,0.0,482
KPNZ,162,0.0,482
KRD,216,0.0,534
KRG,101,21.967741935483872,106
KTR,97,0.0,264
KW,261,0.0,556
KZ,86,0.0,200
LAA,20,68.6774193548387,116
LC,159,0.0,503
LDL,35,0.0,126
LDM,59,0.0,220
LEDN,34,68.70967741935483,116
LG,211,0.0,523
LLS,127,6.806451612903226,381
LLZM,34,0.0,148
LP,279,0.0,562
LTN,107,0.0,485
LTV,177,0.0,505
LUT,193,0.0,506
LW,242,0.0,482
LWC,245,0.0,499
MAS,67,0.0,228
MDB,131,32.54838709677419,106
MES,216,0.0,508
MG,252,0.0,499
MMLH,136,0.0,302
MP,175,0.0,482
MRB,181,0.0,489
MRN,80,0.0,260
MT,210,0.0,506
MTH,262,0.0,558
MTN,213,0.0,508
MTR,211,0.0,508
MZ,133,0.0,466
NDB,84,0.0,229
NH,201,0.0,537
NKK,92,0.0,468
NM,126,0.0,281
NMD,131,0.0,302
NMGO,129,0.0,302
NMH,129,0.0,302
NML,125,0.0,281
NS,120,0.0,468
NSCH,297,0.0,565
NVD,179,0.0,482
NVP,53,0.032258064516129,126
NWK,19,0.0,128
O,114,0.0,337
OBD,111,0.0,331
ODB,55,0.064516129032258,192
ODZ,198,0.0,570
OMN,170,0.0,489
OP,101,0.0,267
OST,149,0.0,534
OT,83,0.0,406
OTB,114,0.0,250
OVN,65,0.0,203
OW,113,0.0,340
PMO,99,0.0,198
PMR,98,0.0,197
PMW,97,0.0,200
PT,99,0.0,471
RAI,75,0.0,250
RAT,165,0.0,482
RB,91,21.90322580645161,106
RD,291,0.0,566
RH,128,0.0,488
RHN,103,0.0,263
RL,164,0.0,505
RLB,11,59.74193548387097,79
RM,164,0.0,455
RS,102,0.0,340
RSD,62,37.54838709677419,70
RSN,165,0.0,534
RSW,15,57.516129032258064,101
RTA,14,0.0,70
RTB,5,117.58064516129032,70
RTD,4,121.64516129032258,0
RTN,9,0.0,70
RTST,9,0.4193548387096774,79
RTZ,8,59.74193548387097,79
RV,175,0.0,504
RVS,122,0.0,358
SBK,196,0.0,536
SD,80,0.0,252
SDA,280,0.0,556
SDM,0,0.0,0
SDT,34,0.0,189
SDTB,31,0.0,189
SGL,220,0.0,522
SGN,119,0.0,331
SHL,63,32.38709677419355,145
SK,264,0.0,499
SKND,263,0.0,499
SM,169,0.0,504
SN,198,0.0,537
SOG,218,0.0,523
SPTN,70,0.0,221
SPTZ,68,0.0,221
SRN,182,0.0,533
SSH,42,0.0,126
ST,79,0.0,252
STD,189,0.0,504
STM,275,0.0,562
STV,293,0.0,507
STZ,78,0.0,252
SWD,264,0.0,550
SWK,189,0.0,532
TB,75,0.0,393
TBG,154,0.0,522
TBR,70,0.0,412
TBU,74,0.0,414
TG,169,0.0,540
TL,85,0.0,264
TPSW,83,0.0,264
TWL,134,0.0,503
UHM,288,0.0,566
UHZ,285,0.0,566
UST,280,0.0,565
UT,60,1.064516129032258,155
UTG,82,0.0,241
UTLN,64,0.0,228
UTLR,57,0.0,178
UTO,63,0.0,228
UTT,55,0.0,173
UTVR,61,0.0,228
UTZL,62,0.0,228
VB,22,0.0,145
VD,154,0.0,503
VDL,212,0.0,523
VDM,280,0.0,563
VEM,138,0.0,505
VG,99,0.0,337
VH,42,0.0,126
VHP,187,0.0,492
VK,221,0.0,523
VL,164,0.6774193548387096,539
VLB,158,0.0,344
VNDC,95,0.0,262
VNDW,94,0.0,262
VP,124,0.0,488
VRY,165,0.0,345
VS,137,32.54838709677419,108
VSS,136,21.90322580645161,108
VST,29,0.0,119
VSV,161,0.0,522
VTN,53,0.0,164
VZ,184,0.0,604
WAD,36,0.0,155
WADN,37,0.0,155
WADT,35,0.0,155
WC,129,0.0,361
WD,44,0.0,163
WDN,173,0.0,541
WF,110,0.0,250
WFM,277,0.0,565
WH,156,0.0,544
WK,280,0.0,502
WL,143,0.0,505
WM,89,0.0,267
WP,87,0.0,281
WR,307,0.0,574
WS,285,0.0,565
WSM,269,0.0,551
WT,140,0.0,455
WTV,123,0.0,487
WV,202,0.0,482
WW,182,0.0,541
WWW,183,0.0,541
WZ,138,0.0,481
YPB,26,0.0,148
ZA,107,0.0,267
ZB,272,0.0,559
ZBM,82,0.0,264
ZD,84,0.0,216
ZDK,87,0.0,219
ZH,265,0.0,550
ZL,147,0.0,468
ZLSH,152,0.0,482
ZLW,39,0.1290322580645161,187
ZP,142,0.0,503
ZTM,31,0.0,145
ZTMO,32,0.0,148
ZV,132,0.0,485
ZVB,47,0.064516129032258,192
ZVT,71,0.0,204
ZWD,22,59.74193548387097,184
ZZS,87,0.0,219
