Station Code,Distance from GVMW,Services from/to GVMW,Disruptions on path to GVMW
HDRZ,122,0.0,160
HFD,41,0.0,15
HGL,189,0.0,443
HGLG,187,0.0,443
HGLO,191,0.0,462
HGV,197,0.0,374
HGZ,266,0.0,450
HIL,35,0.0,25
HK,62,0.0,45
HKS,110,0.0,102
HLG,270,0.0,378
HLGH,271,0.0,382
HLM,46,0.0,25
HLMS,47,0.0,25
HLO,76,0.0,45
HM,142,0.0,556
HMBH,143,0.0,560
HMBV,139,0.0,556
HMH,141,0.0,556
HMN,119,0.0,166
HN,100,0.0,46
HNK,101,0.0,102
HNO,161,0.0,374
HNP,286,0.0,380
HON,160,0.0,395
HOR,74,0.0,120
HR,215,0.0,431
HRL,147,0.064516129032258,0
HRLW,149,0.0,17
HRN,249,0.0,427
HRT,169,0.0,588
HT,110,0.0,120
HTN,70,0.0,120
HTNC,71,0.0,148
HTO,111,0.0,193
HVL,89,0.0,360
HVS,80,0.0,120
HVSM,81,0.0,121
HVSP,79,0.0,120
HWD,88,0.0,141
HWZB,54,0.0,25
HZE,140,0.0,562
IJT,269,0.0,378
KBD,111,0.0,176
KBK,135,0.0,396
KLP,96,0.0,120
KMA,70,0.0,46
KMR,155,0.0,17
KMW,291,0.0,385
KPN,164,0.0,374
KPNZ,152,0.0,314
KRD,155,0.0,28
KRG,118,0.0,176
KTR,112,0.0,163
KW,263,0.0,448
KZ,69,0.0,49
LAA,3,0.0,15
LC,161,0.0,395
LDL,18,0.0,25
LDM,76,0.0,249
LEDN,17,0.0,15
LG,150,0.0,17
LLS,110,0.0,299
LLZM,17,0.0,44
LP,281,0.0,12
LTN,109,0.0,377
LTV,179,0.0,397
LUT,170,0.0,19
LW,244,0.0,360
LWC,247,0.0,377
MAS,69,0.0,120
MDB,148,0.0,203
MES,167,0.0,17
MG,254,0.0,377
MMLH,149,0.0,398
MP,177,0.0,374
MRB,183,0.0,381
MRN,82,0.0,152
MT,173,0.0,17
MTH,264,0.0,450
MTN,170,0.0,31
MTR,174,0.0,19
MZ,150,0.0,567
NDB,79,0.0,112
NH,154,0.0,17
NKK,94,0.0,360
NM,139,0.0,377
NMD,144,0.0,398
NMGO,142,0.0,398
NMH,142,0.0,398
NML,138,0.0,391
NS,122,0.0,360
NSCH,299,0.0,457
NVD,181,0.0,383
NVP,36,0.0,25
NWK,36,0.0,229
O,129,0.0,193
OBD,94,0.0,151
ODB,72,0.0,223
ODZ,200,0.0,462
OMN,172,0.0,381
OP,116,0.0,166
OST,151,0.0,426
OT,100,0.0,507
OTB,116,0.0,142
OVN,48,0.0,25
OW,128,0.0,193
PMO,82,0.0,46
PMR,81,0.0,46
PMW,80,0.0,49
PT,101,0.0,360
RAI,58,0.0,168
RAT,167,0.0,374
RB,108,0.0,223
RD,293,0.064516129032258,0
RH,130,0.0,378
RHN,105,0.0,155
RL,166,0.0,397
RLB,28,57.354838709677416,171
RM,181,0.0,556
RS,117,0.0,193
RSD,79,0.0,171
RSN,167,0.0,395
RSW,2,82.80645161290323,0
RTA,31,0.0,171
RTB,22,57.354838709677416,171
RTD,21,58.483870967741936,101
RTN,26,0.0,171
RTST,26,0.4193548387096774,171
RTZ,25,57.354838709677416,171
RV,192,0.0,605
RVS,137,0.0,214
SBK,159,0.0,17
SD,82,0.0,144
SDA,282,0.0,448
SDM,17,58.483870967741936,101
SDT,51,0.0,218
SDTB,48,0.0,218
SGL,163,0.0,17
SGN,102,0.0,151
SHL,46,0.0,44
SK,266,0.0,377
SKND,265,0.0,377
SM,186,0.0,605
SN,157,0.0,17
SOG,157,0.0,17
SPTN,53,0.0,25
SPTZ,51,0.0,25
SRN,173,0.0,19
SSH,25,0.0,25
ST,81,0.0,144
STD,166,0.0,17
STM,277,0.0,12
STV,295,0.0,385
STZ,80,0.0,144
SWD,266,0.0,0
SWK,191,0.0,424
TB,92,0.0,494
TBG,156,0.0,414
TBR,87,0.0,513
TBU,91,0.0,515
TG,186,0.0,557
TL,100,0.0,163
TPSW,98,0.0,163
TWL,136,0.0,395
UHM,290,0.032258064516129,0
UHZ,287,0.0,0
UST,282,0.0,0
UT,62,0.0,47
UTG,65,0.0,45
UTLN,66,0.0,120
UTLR,59,0.0,115
UTO,65,0.0,120
UTT,57,0.0,110
UTVR,63,0.0,120
UTZL,64,0.0,120
VB,5,0.0,44
VD,156,0.0,395
VDL,151,0.0,17
VDM,282,0.0,455
VEM,140,0.0,397
VG,114,0.0,193
VH,25,0.0,25
VHP,189,0.0,384
VK,160,0.0,17
VL,181,0.0,556
VLB,171,0.0,440
VNDC,97,0.0,154
VNDW,96,0.0,154
VP,126,0.0,378
VRY,178,0.0,441
VS,154,0.0,203
VSS,153,0.0,176
VST,12,0.0,18
VSV,163,0.0,414
VTN,55,0.0,101
VZ,186,0.0,496
WAD,38,0.0,100
WADN,39,0.0,100
WADT,37,0.0,100
WC,144,0.0,217
WD,46,0.0,100
WDN,175,0.0,402
WF,112,0.0,142
WFM,279,0.032258064516129,0
WH,158,0.0,436
WK,282,0.0,380
WL,145,0.0,397
WM,72,0.0,71
WP,70,0.0,106
WR,309,0.0,466
WS,287,0.0,457
WSM,271,0.0,0
WT,157,0.0,556
WTV,125,0.0,379
WV,204,0.0,374
WW,184,0.0,433
WWW,185,0.0,433
WZ,140,0.0,373
YPB,9,0.0,47
ZA,122,0.0,166
ZB,274,0.0,451
ZBM,97,0.0,163
ZD,67,0.0,46
ZDK,70,0.0,49
ZH,267,0.0,442
ZL,149,0.0,360
ZLSH,154,0.0,374
ZLW,56,0.0,218
ZP,144,0.0,395
ZTM,14,0.0,44
ZTMO,15,0.0,44
ZV,134,0.0,377
ZVB,64,0.0,223
ZVT,54,0.0,25
ZWD,39,57.354838709677416,276
ZZS,70,0.0,49
