Station Code,Distance from AMRI,Services from/to AMRI,Disruptions on path to AMRI
DTC,114,0.0,168
DTCH,112,0.0,168
DTCP,189,0.0,604
DV,41,5.709677419354839,70
DVC,37,5.709677419354839,77
DVD,139,0.0,377
DVN,93,0.0,145
DVNK,173,0.0,484
DWE,159,0.0,113
DZ,191,0.0,194
DZW,190,0.0,194
EC,203,0.0,595
ED,103,0.0,396
EDC,105,0.0,418
EDN,245,0.0,599
EEM,198,0.0,193
EGH,239,0.0,614
EGHM,240,0.0,614
EHS,179,0.0,630
EHV,180,0.0,511
EKZ,205,0.0,728
EML,90,0.0,99
EMN,62,0.0,102
EMNZ,58,0.0,101
ES,20,44.29032258064516,20
ESK,16,44.29032258064516,20
EST,97,0.0,396
ETN,202,0.0,847
FN,159,0.0,113
FWD,156,0.0,113
GBG,35,0.0,87
GD,152,0.0,449
GDG,149,0.0,449
GDM,142,0.0,413
GDR,119,0.0,185
GERP,151,0.0,149
GK,172,0.0,164
GLN,219,0.0,597
GN,153,0.0,149
GND,177,0.0,477
GNN,157,0.0,164
GO,27,0.0,53
GP,186,0.0,573
GR,168,0.0,475
GS,265,0.0,883
GV,181,0.0,534
GVC,180,0.0,534
GVM,181,0.0,569
GVMW,182,0.0,549
GW,129,0.0,153
GZ,181,0.0,526
HAD,167,0.0,672
HB,230,0.0,628
HBZM,180,0.0,487
HD,86,0.0,96
HDB,29,0.0,74
HDE,65,0.0,96
HDG,152,0.0,113
HDR,225,0.0,757
HDRZ,224,0.0,757
HFD,159,0.0,504
HGL,12,44.29032258064516,1
HGLG,14,0.0,20
HGLO,14,0.0,20
HGV,95,0.0,96
HGZ,164,0.0,172
HIL,174,0.0,712
HK,170,0.0,695
HKS,197,0.0,712
HLG,168,0.0,114
HLGH,169,0.0,118
HLM,163,0.0,635
HLMS,162,0.0,656
HLO,178,0.0,662
HM,193,0.0,573
HMBH,194,0.0,577
HMBV,190,0.0,573
HMH,192,0.0,573
HMN,111,0.0,410
HN,187,0.0,656
HNK,188,0.0,712
HNO,35,37.935483870967744,82
HNP,184,0.0,116
HON,22,5.709677419354839,77
HOR,121,0.0,377
HR,113,0.0,96
HRL,234,0.0,597
HRLW,236,0.0,614
HRN,147,0.0,149
HRT,175,0.0,512
HT,148,0.0,438
HTN,128,0.0,449
HTNC,129,0.0,477
HTO,147,0.0,438
HVL,105,0.0,376
HVS,115,0.0,376
HVSM,116,0.0,377
HVSP,116,0.0,377
HWD,190,0.0,738
HWZB,155,0.0,656
HZE,191,0.0,579
IJT,167,0.0,114
KBD,247,0.0,883
KBK,65,0.0,172
KLP,110,0.0,418
KMA,162,0.0,669
KMR,242,0.0,614
KMW,189,0.0,121
KPN,62,0.0,96
KPNZ,62,0.0,96
KRD,242,0.0,625
KRG,254,0.0,883
KTR,118,0.0,410
KW,161,0.0,170
KZ,156,0.0,659
LAA,181,0.0,563
LC,40,0.0,61
LDL,169,0.0,467
LDM,156,0.0,457
LEDN,170,0.0,474
LG,237,0.0,614
LLS,104,0.0,96
LLZM,165,0.0,534
LP,179,0.0,176
LTN,111,0.0,419
LTV,92,0.0,138
LUT,219,0.0,597
LW,142,0.0,96
LWC,145,0.0,113
MAS,127,0.0,449
MDB,284,0.0,883
MES,242,0.0,599
MG,152,0.0,113
MMLH,115,0.0,417
MP,75,0.0,96
MRB,21,0.0,71
MRN,140,0.0,481
MT,236,0.0,597
MTH,162,0.0,172
MTN,239,0.0,599
MTR,237,0.0,599
MZ,201,0.0,584
NDB,121,0.0,377
NH,227,0.0,628
NKK,102,0.0,99
NM,105,0.0,396
NMD,110,0.0,417
NMGO,108,0.0,417
NMH,108,0.0,417
NML,104,0.0,410
NS,74,0.0,96
NSCH,197,0.0,179
NVD,15,37.935483870967744,70
NVP,164,0.0,632
NWK,161,0.0,534
O,129,0.0,417
OBD,196,0.0,748
ODB,222,0.0,852
ODZ,23,0.0,20
OMN,32,0.0,74
OP,114,0.0,410
OST,51,0.0,136
OT,169,0.0,554
OTB,90,0.0,396
OVN,165,0.0,672
OW,130,0.0,438
PMO,169,0.0,657
PMR,168,0.0,656
PMW,167,0.0,659
PT,95,0.0,113
RAI,142,0.0,380
RAT,29,37.935483870967744,82
RB,244,0.0,883
RD,191,0.0,180
RH,76,0.0,139
RHN,163,0.0,484
RL,79,0.0,138
RLB,183,0.0,613
RM,190,0.0,546
RS,141,0.0,438
RSD,215,0.0,847
RSN,15,5.741935483870968,70
RSW,184,0.0,549
RTA,166,0.0,534
RTB,177,0.0,604
RTD,176,0.0,534
RTN,171,0.0,536
RTST,181,0.0,613
RTZ,180,0.0,613
RV,179,0.0,532
RVS,121,0.0,396
SBK,222,0.0,627
SD,112,0.0,390
SDA,180,0.0,170
SDM,180,0.0,604
SDT,181,0.0,487
SDTB,184,0.0,488
SGL,246,0.0,613
SGN,204,0.0,748
SHL,154,0.0,454
SK,164,0.0,113
SKND,163,0.0,113
SM,185,0.0,546
SN,224,0.0,628
SOG,244,0.0,614
SPTN,170,0.0,690
SPTZ,168,0.0,690
SRN,208,0.0,624
SSH,175,0.0,632
ST,113,0.0,390
STD,215,0.0,595
STM,175,0.0,176
STV,193,0.0,121
STZ,114,0.0,380
SWD,164,0.0,164
SWK,89,0.0,146
TB,170,0.0,511
TBG,120,0.0,185
TBR,175,0.0,524
TBU,171,0.0,524
TG,172,0.0,513
TL,130,0.0,413
TPSW,132,0.0,413
TWL,46,5.709677419354839,136
UHM,188,0.0,180
UHZ,185,0.0,180
UST,180,0.0,179
UT,120,0.0,376
UTG,167,0.0,694
UTLN,124,0.0,449
UTLR,123,0.0,449
UTO,117,0.0,400
UTT,125,0.0,449
UTVR,121,0.0,449
UTZL,122,0.0,449
VB,177,0.0,534
VD,69,0.0,136
VDL,238,0.0,614
VDM,180,0.0,177
VEM,61,0.0,136
VG,152,0.0,511
VH,178,0.0,484
VHP,15,0.0,71
VK,247,0.0,614
VL,167,0.0,512
VLB,137,0.0,459
VNDC,155,0.0,483
VNDW,154,0.0,483
VP,80,0.0,142
VRY,144,0.0,460
VS,290,0.0,885
VSS,289,0.0,885
VST,175,0.0,569
VSV,123,0.0,169
VTN,127,0.0,454
VZ,8,0.0,70
WAD,160,0.0,534
WADN,161,0.0,534
WADT,159,0.0,534
WC,114,0.0,396
WD,136,0.0,376
WDN,7,43.67741935483871,70
WF,94,0.0,396
WFM,177,0.0,179
WH,58,0.0,146
WK,180,0.0,116
WL,109,0.0,168
WM,160,0.0,659
WP,130,0.0,388
WR,207,0.0,188
WS,185,0.0,179
WSM,169,0.0,165
WT,208,0.0,573
WTV,89,0.0,145
WV,102,0.0,96
WW,102,0.0,150
WWW,101,0.0,150
WZ,56,0.0,96
YPB,173,0.0,534
ZA,108,0.0,410
ZB,172,0.0,173
ZBM,151,0.0,456
ZD,154,0.0,656
ZDK,157,0.0,659
ZH,165,0.0,164
ZL,47,37.935483870967744,82
ZLSH,52,0.0,96
ZLW,206,0.0,865
ZP,57,0.0,136
ZTM,168,0.0,534
ZTMO,167,0.0,534
ZV,98,0.0,148
ZVB,214,0.0,870
ZVT,171,0.0,673
ZWD,193,0.0,607
ZZS,157,0.0,659
