Station Code,Distance from VHP,Services from/to VHP,Disruptions on path to VHP
DMNZ,144,0.0,25
DN,204,0.0,513
DR,81,0.0,137
DRH,178,0.0,320
DRON,72,0.0,24
DRP,146,0.0,55
DT,196,0.0,437
DTC,125,0.0,169
DTCH,123,0.0,169
DTCP,196,0.0,492
DV,52,0.0,71
DVC,48,0.0,78
DVD,146,0.0,25
DVN,104,0.0,146
DVNK,180,0.0,372
DWE,152,0.0,41
DZ,184,0.0,122
DZW,183,0.0,122
EC,214,0.0,596
ED,114,0.0,397
EDC,116,0.0,419
EDN,256,0.0,600
EEM,191,0.0,121
EGH,250,0.0,615
EGHM,251,0.0,615
EHS,190,0.0,588
EHV,191,0.0,512
EKZ,212,0.0,375
EML,83,0.0,27
EMN,47,0.0,31
EMNZ,43,0.0,30
ES,35,0.0,90
ESK,31,0.0,90
EST,108,0.0,397
ETN,213,0.0,848
FN,152,0.0,41
FWD,149,0.0,41
GBG,20,0.0,16
GD,159,0.0,337
GDG,156,0.0,337
GDM,153,0.0,337
GDR,130,0.0,186
GERP,144,0.0,77
GK,165,0.0,92
GLN,230,0.0,598
GN,146,0.0,77
GND,188,0.0,401
GNN,150,0.0,92
GO,42,0.0,123
GP,197,0.0,574
GR,179,0.0,399
GS,276,0.0,853
GV,188,0.0,422
GVC,187,0.0,340
GVM,188,0.0,457
GVMW,189,0.0,437
GW,122,0.0,81
GZ,192,0.0,527
HAD,174,0.0,303
HB,241,0.0,629
HBZM,191,0.0,411
HD,79,0.0,24
HDB,14,23.580645161290324,3
HDE,58,0.0,24
HDG,145,0.0,41
HDR,232,0.0,404
HDRZ,231,0.0,404
HFD,166,0.0,99
HGL,27,0.0,71
HGLG,29,0.0,90
HGLO,29,0.0,90
HGV,88,0.0,24
HGZ,157,0.0,100
HIL,181,0.0,303
HK,177,0.0,342
HKS,204,0.0,359
HLG,161,0.0,42
HLGH,162,0.0,46
HLM,170,0.0,282
HLMS,169,0.0,303
HLO,185,0.0,309
HM,204,0.0,555
HMBH,205,0.0,559
HMBV,201,0.0,574
HMH,203,0.0,574
HMN,122,0.0,411
HN,194,0.0,303
HNK,195,0.0,359
HNO,46,0.0,83
HNP,177,0.0,44
HON,33,0.0,78
HOR,128,0.0,25
HR,106,0.0,81
HRL,245,0.0,598
HRLW,247,0.0,615
HRN,140,0.0,77
HRT,186,0.0,513
HT,159,0.0,439
HTN,135,0.0,337
HTNC,136,0.0,365
HTO,158,0.0,439
HVL,112,0.0,264
HVS,122,0.0,24
HVSM,123,0.0,25
HVSP,123,0.0,25
HWD,197,0.0,385
HWZB,162,0.0,303
HZE,202,0.0,580
IJT,160,0.0,42
KBD,258,0.0,853
KBK,76,0.0,173
KLP,121,0.0,419
KMA,169,0.0,316
KMR,253,0.0,615
KMW,182,0.0,49
KPN,55,0.0,24
KPNZ,55,0.0,24
KRD,253,0.0,626
KRG,265,0.0,853
KTR,129,0.0,411
KW,154,0.0,98
KZ,163,0.0,306
LAA,188,0.0,369
LC,55,0.0,131
LDL,176,0.0,355
LDM,167,0.0,381
LEDN,177,0.0,362
LG,248,0.0,615
LLS,97,0.0,24
LLZM,172,0.0,422
LP,172,0.0,104
LTN,122,0.0,420
LTV,103,0.0,139
LUT,230,0.0,598
LW,135,0.0,24
LWC,138,0.0,41
MAS,134,0.0,337
MDB,295,0.0,880
MES,253,0.0,600
MG,145,0.0,41
MMLH,126,0.0,418
MP,68,0.0,24
MRB,6,25.32258064516129,0
MRN,147,0.0,369
MT,247,0.0,598
MTH,155,0.0,100
MTN,250,0.0,600
MTR,248,0.0,600
MZ,212,0.0,585
NDB,128,0.0,25
NH,238,0.0,629
NKK,95,0.0,27
NM,116,0.0,397
NMD,121,0.0,418
NMGO,119,0.0,418
NMH,119,0.0,418
NML,115,0.0,411
NS,67,0.0,24
NSCH,190,0.0,107
NVD,26,0.0,71
NVP,171,0.0,227
NWK,168,0.0,422
O,140,0.0,418
OBD,203,0.0,303
ODB,233,0.0,853
ODZ,38,0.0,90
OMN,17,0.0,3
OP,125,0.0,411
OST,61,0.0,24
OT,180,0.0,555
OTB,101,0.0,397
OVN,172,0.0,319
OW,141,0.0,439
PMO,176,0.0,282
PMR,175,0.0,303
PMW,174,0.0,306
PT,88,0.0,24
RAI,149,0.0,28
RAT,40,0.0,83
RB,255,0.0,884
RD,184,0.0,108
RH,87,0.0,140
RHN,170,0.0,372
RL,90,0.0,139
RLB,190,0.0,492
RM,201,0.0,547
RS,152,0.0,439
RSD,226,0.0,848
RSN,26,0.0,71
RSW,191,0.0,437
RTA,173,0.0,422
RTB,184,0.0,492
RTD,183,0.0,422
RTN,178,0.0,424
RTST,188,0.0,492
RTZ,187,0.0,492
RV,190,0.0,533
RVS,132,0.0,397
SBK,233,0.0,628
SD,119,0.0,278
SDA,173,0.0,98
SDM,187,0.0,492
SDT,192,0.0,411
SDTB,195,0.0,412
SGL,257,0.0,614
SGN,211,0.0,395
SHL,161,0.0,99
SK,157,0.0,41
SKND,156,0.0,41
SM,196,0.0,547
SN,235,0.0,629
SOG,255,0.0,615
SPTN,177,0.0,319
SPTZ,175,0.0,319
SRN,219,0.0,625
SSH,182,0.0,227
ST,120,0.0,278
STD,226,0.0,596
STM,168,0.0,104
STV,186,0.0,49
STZ,121,0.0,268
SWD,157,0.0,92
SWK,82,0.0,74
TB,181,0.0,512
TBG,131,0.0,186
TBR,186,0.0,525
TBU,182,0.0,525
TG,183,0.0,514
TL,141,0.0,414
TPSW,143,0.0,414
TWL,57,0.0,137
UHM,181,0.0,108
UHZ,178,0.0,108
UST,173,0.0,107
UT,127,0.0,264
UTG,174,0.0,341
UTLN,131,0.0,337
UTLR,130,0.0,337
UTO,124,0.0,264
UTT,132,0.0,337
UTVR,128,0.0,337
UTZL,129,0.0,337
VB,184,0.0,422
VD,80,0.0,137
VDL,249,0.0,615
VDM,173,0.0,105
VEM,72,0.0,137
VG,163,0.0,512
VH,185,0.0,372
VHP,0,0.0,0
VK,258,0.0,615
VL,178,0.0,513
VLB,148,0.0,460
VNDC,162,0.0,371
VNDW,161,0.0,371
VP,91,0.0,143
VRY,155,0.0,461
VS,301,0.0,880
VSS,300,0.0,853
VST,182,0.0,457
VSV,134,0.0,170
VTN,134,0.0,342
VZ,7,25.451612903225808,1
WAD,167,0.0,422
WADN,168,0.0,422
WADT,166,0.0,422
WC,125,0.0,397
WD,143,0.0,264
WDN,18,0.0,71
WF,105,0.0,397
WFM,170,0.0,107
WH,54,0.0,24
WK,173,0.0,44
WL,120,0.0,169
WM,167,0.0,306
WP,137,0.0,36
WR,200,0.0,116
WS,178,0.0,107
WSM,162,0.0,93
WT,219,0.0,555
WTV,100,0.0,146
WV,95,0.0,24
WW,113,0.0,151
WWW,112,0.0,151
WZ,49,0.0,24
YPB,180,0.0,340
ZA,119,0.0,411
ZB,165,0.0,101
ZBM,162,0.0,380
ZD,161,0.0,303
ZDK,164,0.0,306
ZH,158,0.0,92
ZL,40,0.0,10
ZLSH,45,0.0,24
ZLW,217,0.0,866
ZP,68,0.0,137
ZTM,175,0.0,337
ZTMO,174,0.0,422
ZV,109,0.0,149
ZVB,225,0.0,871
ZVT,178,0.0,319
ZWD,201,0.0,597
ZZS,164,0.0,306
