Station Code,Distance from ALMM,Services from/to ALMM,Disruptions on path to ALMM
RV,190,0.0,428
RVS,123,0.0,179
SBK,212,0.0,304
SD,41,0.0,26
SDA,215,0.0,230
SDM,102,0.0,198
SDT,113,0.0,159
SDTB,116,0.0,160
SGL,236,0.0,290
SGN,89,0.0,378
SHL,39,71.12903225806451,18
SK,199,0.0,162
SKND,198,0.0,162
SM,185,0.0,272
SN,214,0.0,305
SOG,234,0.0,291
SPTN,55,0.0,302
SPTZ,53,0.0,302
SRN,198,0.0,301
SSH,60,36.774193548387096,68
ST,42,0.0,26
STD,205,0.0,272
STM,210,0.0,236
STV,228,0.0,170
STZ,43,0.0,26
SWD,199,0.0,224
SWK,124,0.0,206
TB,118,0.0,158
TBG,133,0.0,586
TBR,123,0.0,171
TBU,119,0.0,171
TG,183,0.0,409
TL,86,0.0,128
TPSW,84,0.0,128
TWL,99,0.0,287
UHM,223,0.0,240
UHZ,220,0.0,240
UST,215,0.0,239
UT,48,30.483870967741936,12
UTG,52,0.0,324
UTLN,52,0.0,85
UTLR,51,0.0,85
UTO,45,30.483870967741936,12
UTT,53,0.0,85
UTVR,49,0.0,85
UTZL,50,0.0,85
VB,86,0.0,97
VD,119,0.0,287
VDL,228,0.0,291
VDM,215,0.0,237
VEM,103,0.0,289
VG,100,0.0,158
VH,69,0.0,286
VHP,122,0.0,166
VK,237,0.0,291
VL,178,0.0,408
VLB,148,0.0,355
VNDC,83,0.0,119
VNDW,82,0.0,119
VP,103,0.0,550
VRY,155,0.0,356
VS,235,0.0,354
VSS,234,0.0,327
VST,73,21.70967741935484,163
VSV,140,0.0,586
VTN,55,0.0,90
VZ,129,0.0,167
WAD,86,0.0,252
WADN,87,0.0,252
WADT,85,0.0,252
WC,125,0.0,549
WD,62,0.0,166
WDN,122,0.0,177
WF,89,0.0,292
WFM,212,0.0,239
WH,96,0.0,156
WK,215,0.0,165
WL,122,0.0,569
WM,45,0.0,289
WP,15,74.64516129032258,0
WR,242,0.0,248
WS,220,0.0,239
WSM,204,0.0,225
WT,156,0.0,223
WTV,102,0.0,551
WV,137,0.0,145
WW,152,0.0,301
WWW,151,0.0,301
WZ,91,0.0,156
YPB,90,0.0,100
ZA,108,0.0,131
ZB,207,0.0,233
ZBM,83,0.0,128
ZD,39,0.0,286
ZDK,42,0.0,289
ZH,200,0.0,224
ZL,82,36.87096774193548,142
ZLSH,87,0.0,156
ZLW,137,0.0,439
ZP,107,0.0,287
ZTM,94,0.0,252
ZTMO,93,0.0,252
ZV,111,0.0,549
ZVB,145,0.0,444
ZVT,56,0.0,302
ZWD,120,0.0,427
ZZS,42,0.0,289
