Station Code,Distance from BDE,Services from/to BDE,Disruptions on path to BDE
DTCH,172,0.0,479
DTCP,213,0.0,507
DV,189,0.0,462
DVC,193,0.0,528
DVD,203,0.0,260
DVN,153,0.0,461
DVNK,225,0.0,368
DWE,332,0.0,569
DZ,364,0.0,650
DZW,363,0.0,650
EC,27,35.645161290322584,5
ED,161,0.0,459
EDC,163,0.0,481
EDN,15,0.0,2
EEM,371,0.0,649
EGH,37,0.0,19
EGHM,38,0.0,19
EHS,93,0.0,114
EHV,92,0.0,52
EKZ,272,0.0,611
EML,216,0.0,503
EMN,288,0.0,630
EMNZ,284,0.0,629
ES,226,0.0,529
ESK,222,0.0,529
EST,133,0.0,202
ETN,161,0.0,437
FN,332,0.0,569
FWD,329,0.0,569
GBG,261,0.0,615
GD,204,0.0,260
GDG,201,0.0,260
GDM,146,0.0,187
GDR,179,0.0,496
GERP,324,0.0,605
GK,345,0.0,620
GLN,19,0.0,3
GN,326,0.0,605
GND,181,0.0,251
GNN,330,0.0,620
GO,203,0.0,469
GP,86,0.0,59
GR,172,0.0,249
GS,224,0.0,473
GV,222,0.0,608
GVC,223,0.0,623
GVM,227,0.0,623
GVMW,221,0.0,608
GW,302,0.0,609
GZ,140,0.0,129
HAD,234,0.0,555
HB,30,0.0,34
HBZM,184,0.0,261
HD,220,0.0,503
HDB,255,0.0,602
HDE,238,0.0,552
HDG,325,0.0,569
HDR,292,0.0,640
HDRZ,291,0.0,640
HFD,223,0.0,324
HGL,218,0.0,510
HGLG,216,0.0,510
HGLO,220,0.0,529
HGV,268,0.0,552
HGZ,337,0.0,628
HIL,240,0.0,368
HK,237,0.0,578
HKS,264,0.0,595
HLG,341,0.0,570
HLGH,342,0.0,574
HLM,230,0.0,518
HLMS,229,0.0,539
HLO,245,0.0,545
HM,102,0.0,166
HMBH,101,0.0,166
HMBV,102,0.0,114
HMH,103,0.0,170
HMN,147,0.0,216
HN,254,0.0,539
HNK,255,0.0,595
HNO,232,0.0,552
HNP,357,0.0,572
HON,208,0.0,528
HOR,184,0.0,260
HR,286,0.0,552
HRL,32,0.0,2
HRLW,30,0.0,16
HRN,320,0.0,605
HRT,75,0.0,138
HT,124,0.0,114
HTN,164,0.0,283
HTNC,163,0.0,283
HTO,125,0.0,187
HVL,189,0.0,499
HVS,190,0.0,260
HVSM,191,0.0,261
HVSP,189,0.0,260
HWD,257,0.0,621
HWZB,222,0.0,539
HZE,81,0.0,54
IJT,340,0.0,570
KBD,206,0.0,473
KBK,182,0.0,462
KLP,168,0.0,481
KMA,229,0.0,552
KMR,24,0.0,16
KMW,362,0.0,577
KPN,235,0.0,552
KPNZ,235,0.0,552
KRD,40,0.0,30
KRG,213,0.0,473
KTR,154,0.0,216
KW,334,0.0,626
KZ,223,0.0,542
LAA,224,0.0,623
LC,190,0.0,462
LDL,221,0.0,351
LDM,160,0.0,231
LEDN,222,0.0,358
LG,35,0.0,19
LLS,245,0.0,404
LLZM,217,0.0,345
LP,352,0.0,632
LTN,169,0.0,482
LTV,208,0.0,464
LUT,11,37.64516129032258,0
LW,315,0.0,552
LWC,318,0.0,569
MAS,179,0.0,260
MDB,243,0.0,473
MES,12,0.0,2
MG,325,0.0,569
MMLH,115,0.0,170
MP,248,0.0,552
MRB,247,0.0,599
MRN,190,0.0,387
MT,6,37.70967741935484,0
MTH,335,0.0,628
MTN,9,0.0,2
MTR,7,37.67741935483871,2
MZ,71,0.0,52
NDB,196,0.0,261
NH,27,0.0,34
NKK,204,0.0,500
NM,125,0.0,181
NMD,130,0.0,202
NMGO,128,0.0,202
NMH,122,0.0,181
NML,126,0.0,202
NS,232,0.0,500
NSCH,370,0.0,635
NVD,231,0.0,535
NVP,228,0.0,452
NWK,213,0.0,345
O,143,0.0,187
OBD,263,0.0,631
ODB,181,0.0,442
ODZ,229,0.0,529
OMN,243,0.0,559
OP,150,0.0,216
OST,199,0.0,528
OT,121,0.0,233
OTB,148,0.0,459
OVN,232,0.0,555
OW,142,0.0,190
PMO,236,0.0,540
PMR,235,0.0,539
PMW,234,0.0,542
PT,211,0.0,503
RAI,206,0.0,263
RAT,238,0.0,552
RB,203,0.0,473
RD,364,0.0,636
RH,154,0.0,462
RHN,213,0.0,390
RL,195,0.0,464
RLB,193,0.0,653
RM,40,35.645161290322584,3
RS,131,0.0,190
RSD,174,0.0,437
RSN,215,0.0,528
RSW,219,0.0,608
RTA,210,0.0,507
RTB,199,0.0,554
RTD,200,0.0,437
RTN,205,0.0,507
RTST,195,0.0,659
RTZ,196,0.0,659
RV,51,0.0,52
RVS,141,0.0,202
SBK,22,0.0,33
SD,192,0.0,284
SDA,353,0.0,626
SDM,204,0.0,507
SDT,185,0.0,261
SDTB,187,0.0,556
SGL,16,0.0,16
SGN,271,0.0,631
SHL,218,0.0,274
SK,337,0.0,569
SKND,336,0.0,569
SM,45,0.0,52
SN,24,0.0,34
SOG,22,0.0,16
SPTN,237,0.0,573
SPTZ,235,0.0,573
SRN,22,35.645161290322584,3
SSH,230,0.0,368
ST,191,0.0,284
STD,15,37.64516129032258,1
STM,348,0.0,632
STV,366,0.0,577
STZ,190,0.0,284
SWD,337,0.0,620
SWK,262,0.0,602
TB,129,0.0,114
TBG,180,0.0,496
TBR,134,0.0,127
TBU,130,0.0,127
TG,58,0.0,66
TL,158,0.0,230
TPSW,156,0.0,230
TWL,194,0.0,528
UHM,361,0.0,636
UHZ,358,0.0,636
UST,353,0.0,635
UT,172,0.0,187
UTG,234,0.0,577
UTLN,168,0.0,311
UTLR,175,0.0,260
UTO,175,0.0,260
UTT,177,0.0,260
UTVR,171,0.0,311
UTZL,174,0.0,260
VB,226,0.0,652
VD,185,0.0,462
VDL,28,0.0,16
VDM,353,0.0,633
VEM,177,0.0,462
VG,120,0.0,233
VH,230,0.0,368
VHP,241,0.0,599
VK,19,0.0,16
VL,63,0.0,85
VLB,93,0.0,138
VNDC,205,0.0,389
VNDW,204,0.0,389
VP,150,0.0,462
VRY,86,0.0,138
VS,249,0.0,475
VSS,248,0.0,475
VST,227,0.0,453
VSV,187,0.0,496
VTN,179,0.0,265
VZ,234,0.0,598
WAD,212,0.0,345
WADN,213,0.0,345
WADT,211,0.0,345
WC,134,0.0,202
WD,188,0.0,260
WDN,223,0.0,535
WF,152,0.0,459
WFM,350,0.0,635
WH,206,0.0,538
WK,353,0.0,572
WL,169,0.0,479
WM,227,0.0,542
WP,205,0.0,272
WR,380,0.0,644
WS,358,0.0,635
WSM,342,0.0,621
WT,64,0.0,52
WTV,149,0.0,461
WV,275,0.0,552
WW,208,0.0,515
WWW,209,0.0,515
WZ,229,0.0,552
YPB,225,0.0,345
ZA,144,0.0,216
ZB,345,0.0,629
ZBM,137,0.0,187
ZD,221,0.0,539
ZDK,224,0.0,542
ZH,338,0.0,620
ZL,220,0.0,538
ZLSH,225,0.0,552
ZLW,165,0.0,455
ZP,173,0.0,462
ZTM,220,0.0,345
ZTMO,219,0.0,345
ZV,158,0.0,459
ZVB,173,0.0,460
ZVT,238,0.0,556
ZWD,182,0.0,554
ZZS,224,0.0,542
