Station Code,Distance from EHV,Services from/to EHV,Disruptions on path to EHV
UST,300,0.0,483
UT,80,95.5483870967742,73
UTG,142,0.0,463
UTLN,76,0.0,197
UTLR,83,0.0,146
UTO,83,0.0,146
UTT,85,0.0,146
UTVR,79,0.0,197
UTZL,82,0.0,146
VB,134,0.0,585
VD,135,0.0,357
VDL,100,0.0,68
VDM,300,0.0,481
VEM,127,0.0,357
VG,28,30.90322580645161,43
VH,138,0.0,254
VHP,191,0.0,494
VK,109,0.0,68
VL,52,36.45161290322581,0
VLB,78,0.0,84
VNDC,113,0.0,275
VNDW,112,0.0,275
VP,100,0.0,355
VRY,71,0.0,84
VS,157,0.0,355
VSS,156,0.0,328
VST,135,0.0,339
VSV,137,0.0,391
VTN,87,0.0,151
VZ,184,0.0,493
WAD,120,0.0,231
WADN,121,0.0,231
WADT,119,0.0,231
WC,66,0.0,97
WD,96,0.0,146
WDN,173,0.0,364
WF,102,0.0,354
WFM,297,0.0,483
WH,156,0.0,433
WK,300,0.0,406
WL,119,0.0,374
WM,135,0.0,428
WP,113,0.0,158
WR,327,0.0,492
WS,305,0.0,483
WSM,289,0.0,469
WT,28,96.3225806451613,0
WTV,99,0.0,356
WV,222,0.0,400
WW,158,0.0,410
WWW,159,0.0,410
WZ,158,0.0,399
YPB,133,0.0,149
ZA,88,0.0,119
ZB,292,0.0,477
ZBM,45,0.1290322580645161,73
ZD,129,14.903225806451612,425
ZDK,132,0.0,428
ZH,285,0.0,468
ZL,167,0.0,386
ZLSH,172,0.0,400
ZLW,73,0.0,341
ZP,123,0.0,357
ZTM,128,0.0,146
ZTMO,127,0.0,231
ZV,108,0.0,354
ZVB,81,0.0,346
ZVT,146,0.0,441
ZWD,90,0.0,440
ZZS,132,0.0,428
