Station Code,Distance from OMN,Services from/to OMN,Disruptions on path to OMN
LDL,159,0.0,352
LDM,150,0.0,378
LEDN,160,0.0,359
LG,250,0.0,575
LLS,80,0.0,21
LLZM,155,0.0,419
LP,155,0.0,101
LTN,115,0.0,278
LTV,105,0.0,99
LUT,232,0.0,558
LW,118,0.0,21
LWC,121,0.0,38
MAS,117,0.0,334
MDB,292,0.0,558
MES,255,0.0,560
MG,128,0.0,38
MMLH,128,0.0,378
MP,51,0.0,21
MRB,11,36.87096774193548,0
MRN,130,0.0,366
MT,249,0.0,558
MTH,138,0.0,97
MTN,252,0.0,560
MTR,250,0.0,560
MZ,211,0.0,483
NDB,111,0.0,22
NH,240,0.0,589
NKK,78,0.0,24
NM,118,0.0,357
NMD,123,0.0,378
NMGO,121,0.0,378
NMH,121,0.0,378
NML,117,0.0,371
NS,50,0.0,21
NSCH,173,0.0,104
NVD,43,0.0,74
NVP,154,0.0,224
NWK,151,0.0,419
O,142,0.0,378
OBD,186,0.0,300
ODB,216,0.0,531
ODZ,55,0.0,93
OMN,0,0.0,0
OP,127,0.0,371
OST,44,0.0,21
OT,179,0.0,450
OTB,103,0.0,357
OVN,155,0.0,316
OW,143,0.0,399
PMO,159,0.0,279
PMR,158,0.0,300
PMW,157,0.0,303
PT,71,0.0,21
RAI,132,0.0,25
RAT,41,0.0,21
RB,252,0.0,531
RD,167,0.0,105
RH,89,0.0,100
RHN,153,0.0,369
RL,92,0.0,99
RLB,173,0.0,489
RM,203,0.0,507
RS,154,0.0,399
RSD,223,0.0,526
RSN,43,0.0,74
RSW,174,0.0,434
RTA,156,0.0,419
RTB,167,0.0,489
RTD,166,0.0,419
RTN,161,0.0,421
RTST,171,0.0,489
RTZ,170,0.0,489
RV,192,0.0,493
RVS,134,0.0,357
SBK,235,0.0,588
SD,102,0.0,275
SDA,156,0.0,95
SDM,170,0.0,489
SDT,175,0.0,408
SDTB,178,0.0,409
SGL,259,0.0,574
SGN,194,0.0,392
SHL,144,0.0,96
SK,140,0.0,38
SKND,139,0.0,38
SM,198,0.0,507
SN,237,0.0,589
SOG,257,0.0,575
SPTN,160,0.0,316
SPTZ,158,0.0,316
SRN,221,0.0,585
SSH,165,0.0,224
ST,103,0.0,275
STD,228,0.0,556
STM,151,0.0,101
STV,169,0.0,46
STZ,104,0.0,265
SWD,140,0.0,89
SWK,65,0.0,71
TB,180,0.0,407
TBG,133,0.0,146
TBR,185,0.0,420
TBU,181,0.0,420
TG,185,0.0,474
TL,143,0.0,374
TPSW,145,0.0,374
TWL,59,0.0,97
UHM,164,0.0,105
UHZ,161,0.0,105
UST,156,0.0,104
UT,110,0.0,261
UTG,157,0.0,338
UTLN,114,0.0,334
UTLR,113,0.0,334
UTO,107,0.0,261
UTT,115,0.0,334
UTVR,111,0.0,334
UTZL,112,0.0,334
VB,167,0.0,419
VD,82,0.0,97
VDL,251,0.0,575
VDM,156,0.0,102
VEM,74,0.0,97
VG,162,0.0,407
VH,168,0.0,369
VHP,17,0.0,3
VK,260,0.0,575
VL,180,0.0,473
VLB,150,0.0,420
VNDC,145,0.0,368
VNDW,144,0.0,368
VP,93,0.0,103
VRY,157,0.0,421
VS,298,0.0,558
VSS,297,0.0,531
VST,165,0.0,454
VSV,136,0.0,130
VTN,117,0.0,339
VZ,24,0.0,4
WAD,150,0.0,419
WADN,151,0.0,419
WADT,149,0.0,419
WC,127,0.0,357
WD,126,0.0,261
WDN,35,0.0,74
WF,107,0.0,357
WFM,153,0.0,104
WH,37,0.0,21
WK,156,0.0,41
WL,122,0.0,129
WM,150,0.0,303
WP,120,0.0,33
WR,183,0.0,113
WS,161,0.0,104
WSM,145,0.0,90
WT,218,0.0,472
WTV,102,0.0,106
WV,78,0.0,21
WW,115,0.0,111
WWW,114,0.0,111
WZ,32,0.0,21
YPB,163,0.0,337
ZA,121,0.0,371
ZB,148,0.0,98
ZBM,145,0.0,377
ZD,144,0.0,300
ZDK,147,0.0,303
ZH,141,0.0,89
ZL,23,42.354838709677416,7
ZLSH,28,0.0,21
ZLW,200,0.0,526
ZP,70,0.0,97
ZTM,158,0.0,334
ZTMO,157,0.0,419
ZV,111,0.0,109
ZVB,208,0.0,531
ZVT,161,0.0,316
ZWD,184,0.0,594
ZZS,147,0.0,303
