Station Code,Distance from UTZL,Services from/to UTZL,Disruptions on path to UTZL
VL,134,0.0,292
VLB,111,0.0,393
VNDC,37,35.96774193548387,107
VNDW,36,35.96774193548387,107
VP,66,0.0,333
VRY,118,0.0,394
VS,190,0.0,386
VSS,189,0.0,386
VST,57,0.0,266
VSV,103,0.0,367
VTN,9,0.0,78
VZ,126,0.0,449
WAD,42,0.0,158
WADN,43,0.0,158
WADT,41,0.0,158
WC,84,0.0,170
WD,18,0.0,73
WDN,115,0.0,386
WF,52,0.0,95
WFM,219,0.0,410
WH,98,0.0,389
WK,222,0.0,347
WL,85,0.0,350
WM,53,7.225806451612903,299
WP,35,0.0,85
WR,249,0.0,419
WS,227,0.0,410
WSM,211,0.0,396
WT,110,0.0,208
WTV,65,0.0,332
WV,144,0.0,327
WW,124,0.0,386
WWW,125,0.0,386
WZ,80,0.0,326
YPB,55,0.0,158
ZA,62,0.0,200
ZB,214,0.0,404
ZBM,37,0.0,197
ZD,47,7.225806451612903,296
ZDK,50,0.0,299
ZH,207,0.0,395
ZL,89,0.0,313
ZLSH,94,0.0,327
ZLW,92,0.0,348
ZP,84,0.0,348
ZTM,50,0.0,158
ZTMO,49,0.0,158
ZV,74,0.0,330
ZVB,100,0.0,353
ZVT,64,0.0,313
ZWD,76,0.0,342
ZZS,50,7.225806451612903,299
