Station Code,Distance from BR,Services from/to BR,Disruptions on path to BR
GBG,196,0.0,477
GD,162,0.0,221
GDG,159,0.0,221
GDM,104,0.0,148
GDR,114,0.0,358
GERP,259,0.0,467
GK,280,0.0,482
GLN,54,0.0,85
GN,261,0.0,467
GND,139,0.0,212
GNN,265,0.0,482
GO,138,0.0,331
GP,56,0.0,94
GR,130,0.0,210
GS,182,0.0,422
GV,180,1.4516129032258065,635
GVC,181,0.0,650
GVM,185,0.0,650
GVMW,179,0.0,635
GW,237,0.0,471
GZ,98,0.0,90
HAD,192,0.0,500
HB,65,0.0,116
HBZM,142,0.0,222
HD,157,0.0,347
HDB,190,0.0,464
HDE,173,0.0,414
HDG,260,0.0,431
HDR,250,0.0,601
HDRZ,249,0.0,601
HFD,181,0.0,309
HGL,153,0.0,372
HGLG,151,0.0,372
HGLO,155,0.0,391
HGV,203,0.0,414
HGZ,272,0.0,490
HIL,198,0.0,329
HK,195,0.0,539
HKS,222,0.0,556
HLG,276,0.0,432
HLGH,277,0.0,436
HLM,188,0.0,479
HLMS,187,0.0,500
HLO,203,0.0,506
HM,37,47.29032258064516,28
HMBH,36,0.0,28
HMBV,40,0.0,32
HMH,38,0.0,32
HMN,82,0.0,78
HN,212,0.0,500
HNK,213,0.0,556
HNO,167,0.0,414
HNP,292,0.0,434
HON,143,0.0,324
HOR,142,0.0,221
HR,221,0.0,471
HRL,69,0.0,85
HRLW,71,0.0,102
HRN,255,0.0,467
HRT,10,47.29032258064516,0
HT,82,43.61290322580645,75
HTN,122,0.0,244
HTNC,121,0.0,244
HTO,83,0.0,148
HVL,124,0.0,104
HVS,146,0.0,344
HVSM,147,0.0,345
HVSP,147,0.0,221
HWD,215,0.0,582
HWZB,180,0.0,500
HZE,61,0.0,100
IJT,275,0.0,432
KBD,164,0.0,422
KBK,117,0.0,324
KLP,103,0.0,86
KMA,187,0.0,513
KMR,77,0.0,102
KMW,297,0.0,439
KPN,170,0.0,414
KPNZ,170,0.0,414
KRD,77,0.0,113
KRG,171,0.0,422
KTR,89,0.0,78
KW,269,0.0,488
KZ,181,0.0,503
LAA,182,1.4516129032258065,650
LC,125,0.0,324
LDL,179,0.0,312
LDM,118,0.0,192
LEDN,180,1.4516129032258065,319
LG,72,0.0,102
LLS,201,0.0,488
LLZM,175,0.0,306
LP,287,0.0,494
LTN,104,0.0,87
LTV,143,0.0,326
LUT,54,0.0,85
LW,250,0.0,414
LWC,253,0.0,431
MAS,137,0.0,221
MDB,201,0.0,449
MES,77,0.0,87
MG,260,0.0,431
MMLH,50,38.41935483870968,32
MP,183,0.0,414
MRB,182,0.0,461
MRN,133,0.0,118
MT,71,0.0,85
MTH,270,0.0,490
MTN,74,0.0,87
MTR,72,0.0,87
MZ,56,0.0,83
NDB,152,0.0,345
NH,62,0.0,116
NKK,141,0.0,344
NM,60,38.41935483870968,43
NMD,65,0.0,64
NMGO,63,0.0,64
NMH,57,38.41935483870968,43
NML,61,0.0,64
NS,169,0.0,344
NSCH,305,0.0,497
NVD,166,0.0,331
NVP,186,0.0,437
NWK,171,0.0,306
O,84,0.0,64
OBD,221,0.0,500
ODB,139,0.0,422
ODZ,164,0.0,391
OMN,178,0.0,421
OP,85,0.0,78
OST,134,0.0,390
OT,79,0.0,75
OTB,83,0.0,321
OVN,190,0.0,516
OW,85,0.0,85
PMO,194,0.0,479
PMR,193,0.0,500
PMW,192,0.0,503
PT,148,0.0,344
RAI,164,0.0,224
RAT,173,0.0,414
RB,161,0.0,453
RD,299,0.0,498
RH,89,0.0,322
RHN,156,0.0,121
RL,130,0.0,326
RLB,151,0.0,633
RM,25,34.354838709677416,34
RS,89,0.0,148
RSD,132,0.0,417
RSN,150,0.0,324
RSW,177,0.0,635
RTA,168,0.0,487
RTB,157,1.4516129032258065,534
RTD,158,1.4516129032258065,417
RTN,163,0.0,487
RTST,153,0.0,534
RTZ,154,0.0,417
RV,14,34.354838709677416,20
RVS,76,0.0,64
SBK,57,0.0,115
SD,143,0.0,358
SDA,288,0.0,488
SDM,162,1.4516129032258065,487
SDT,143,0.0,222
SDTB,145,0.0,534
SGL,81,0.0,101
SGN,229,0.0,592
SHL,176,43.54838709677419,235
SK,272,0.0,431
SKND,271,0.0,431
SM,20,34.354838709677416,34
SN,59,0.0,116
SOG,79,0.0,102
SPTN,195,0.0,516
SPTZ,193,0.0,516
SRN,43,0.0,112
SSH,188,0.0,329
ST,144,0.0,358
STD,50,0.0,83
STM,283,0.0,494
STV,301,0.0,439
STZ,145,0.0,348
SWD,272,0.0,482
SWK,197,0.0,464
TB,87,0.0,75
TBG,115,0.0,358
TBR,92,0.0,88
TBU,88,0.0,88
TG,7,34.354838709677416,1
TL,101,0.0,81
TPSW,103,0.0,81
TWL,129,0.0,390
UHM,296,0.0,498
UHZ,293,0.0,498
UST,288,0.0,497
UT,130,43.61290322580645,148
UTG,192,0.0,538
UTLN,126,0.0,272
UTLR,133,0.0,221
UTO,133,0.0,221
UTT,135,0.0,221
UTVR,129,0.0,272
UTZL,132,0.0,221
VB,184,0.0,679
VD,120,0.0,324
VDL,73,0.0,102
VDM,288,0.0,495
VEM,112,0.0,324
VG,78,0.0,75
VH,188,0.0,329
VHP,176,0.0,461
VK,82,0.0,102
VL,2,74.87096774193549,0
VLB,28,38.41935483870968,0
VNDC,148,0.0,120
VNDW,147,0.0,120
VP,85,0.0,322
VRY,21,38.41935483870968,0
VS,207,0.0,449
VSS,206,0.0,422
VST,185,0.0,414
VSV,122,0.0,358
VTN,137,0.0,226
VZ,169,0.0,460
WAD,170,0.0,306
WADN,171,0.0,306
WADT,169,0.0,306
WC,69,0.0,64
WD,146,0.0,221
WDN,158,0.0,331
WF,87,0.0,64
WFM,285,0.0,497
WH,141,0.0,400
WK,288,0.0,434
WL,104,0.0,341
WM,185,0.0,503
WP,161,0.0,356
WR,315,0.0,506
WS,293,0.0,497
WSM,277,0.0,483
WT,49,0.0,83
WTV,84,0.0,323
WV,210,0.0,414
WW,143,0.0,377
WWW,144,0.0,377
WZ,164,0.0,414
YPB,183,0.0,224
ZA,79,0.0,78
ZB,280,0.0,491
ZBM,95,0.0,148
ZD,179,0.0,500
ZDK,182,0.0,503
ZH,273,0.0,482
ZL,155,0.0,400
ZLSH,160,0.0,414
ZLW,123,0.0,435
ZP,108,0.0,324
ZTM,178,0.0,221
ZTMO,177,0.0,306
ZV,93,0.0,321
ZVB,131,0.0,440
ZVT,196,0.0,516
ZWD,140,0.0,534
ZZS,182,0.0,503
