Station Code,Distance from DRH,Services from/to DRH,Disruptions on path to DRH
WADN,61,0.0,122
WADT,63,0.0,122
WC,148,0.0,466
WD,71,0.0,108
WDN,164,0.0,592
WF,115,0.0,590
WFM,268,0.0,393
WH,147,0.0,626
WK,271,0.0,570
WL,148,0.0,867
WM,18,0.0,44
WP,41,0.0,297
WR,298,0.0,402
WS,276,0.0,393
WSM,260,0.0,379
WT,174,0.0,507
WTV,128,0.0,849
WV,193,0.0,310
WW,178,0.0,599
WWW,177,0.0,599
WZ,129,0.0,563
YPB,59,0.0,43
ZA,126,0.0,415
ZB,263,0.0,387
ZBM,101,0.0,412
ZD,24,0.0,18
ZDK,27,0.0,21
ZH,256,0.0,378
ZL,138,0.0,296
ZLSH,143,0.0,310
ZLW,110,0.0,244
ZP,133,0.0,585
ZTM,64,0.0,40
ZTMO,65,0.0,40
ZV,137,0.0,847
ZVB,118,0.0,249
ZVT,16,0.0,38
ZWD,93,0.0,302
ZZS,21,0.0,54
