Station Code,distance_HDB,services_per_day_HDB,n_of_disruptions_HDB
DVN,118,0,149
DVNK,182,0,369
DWE,154,0,38
DZ,186,0,119
DZW,185,0,119
EC,228,0,599
ED,128,0,400
EDC,130,0,422
EDN,270,0,603
EEM,193,0,118
EGH,264,0,618
EGHM,265,0,618
EHS,204,0,634
EHV,205,0,515
EKZ,214,0,514
EML,85,0,24
EMN,33,38.483870967741936,15
EMNZ,29,38.483870967741936,14
ES,49,0,93
ESK,45,0,93
EST,122,0,400
ETN,227,0,851
FN,154,0,38
FWD,151,0,38
GBG,6,23.193548387096776,0
GD,161,0,334
GDG,158,0,262
GDM,155,0,415
GDR,144,0,189
GERP,146,0,74
GK,167,0,89
GLN,244,0,601
GN,148,0,74
GND,190,0,479
GNN,152,0,89
GO,56,0,126
GP,211,0,577
GR,181,0,477
GS,290,0,887
GV,190,0,419
GVC,189,0,419
GVM,190,0,454
GVMW,191,0,434
GW,124,0,28
GZ,206,0,530
HAD,176,0,458
HB,255,0,632
HBZM,193,0,489
HD,81,0,21
HDB,0,0,0
HDE,60,0,21
HDG,147,0,38
HDR,234,0,546
HDRZ,233,0,546
HFD,168,0,290
HGL,41,0,74
HGLG,43,0,93
HGLO,43,0,93
HGV,90,0,21
HGZ,159,0,97
HIL,183,0,501
HK,179,0,484
HKS,206,0,501
HLG,163,0,39
HLGH,164,0,43
HLM,172,0,424
HLMS,171,0,445
HLO,187,0,451
HM,218,0,577
HMBH,219,0,581
HMBV,215,0,577
HMH,217,0,577
HMN,136,0,414
HN,196,0,445
HNK,197,0,501
HNO,54,0,21
HNP,179,0,41
HON,47,0,81
HOR,130,0,262
HR,108,0,21
HRL,259,0,601
HRLW,261,0,618
HRN,142,0,74
HRT,200,0,516
HT,173,0,442
HTN,137,0,334
HTNC,138,0,362
HTO,172,0,442
HVL,114,0,261
HVS,124,0,261
HVSM,125,0,262
HVSP,125,0,262
HWD,199,0,527
HWZB,164,0,445
HZE,216,0,583
IJT,162,0,39
KBD,272,0,887
KBK,90,0,176
KLP,135,0,422
KMA,171,0,458
KMR,267,0,618
KMW,184,0,46
KPN,57,0,21
KPNZ,57,0,21
KRD,267,0,629
KRG,279,0,887
KTR,143,0,414
KW,156,0,95
KZ,165,0,448
LAA,190,0,448
LC,69,0,134
LDL,178,0,352
LDM,169,0,459
LEDN,179,0,359
LG,262,0,618
LLS,99,0,21
LLZM,174,0,419
LP,174,0,101
LTN,134,0,278
LTV,117,0,142
LUT,244,0,601
LW,137,0,21
LWC,140,0,38
MAS,136,0,334
MDB,309,0,887
MES,267,0,603
MG,147,0,38
MMLH,140,0,421
MP,70,0,21
MRB,8,60.58064516129032,0
MRN,149,0,366
MT,261,0,601
MTH,157,0,97
MTN,264,0,603
MTR,262,0,603
MZ,226,0,588
NDB,130,0,262
NH,252,0,632
NKK,97,0,24
NM,130,0,400
NMD,135,0,421
NMGO,133,0,421
NMH,133,0,421
NML,129,0,414
NS,69,0,21
NSCH,192,0,104
NVD,40,0,74
NVP,173,0,418
NWK,170,0,419
O,154,0,421
OBD,205,0,537
ODB,235,0,614
ODZ,52,0,93
OMN,19,42.354838709677416,0
OP,139,0,414
OST,63,0,21
OT,194,0,558
OTB,115,0,400
OVN,174,0,461
OW,155,0,442
PMO,178,0,446
PMR,177,0,445
PMW,176,0,448
PT,90,0,38
RAI,151,0,169
RAT,54,0,86
RB,269,0,887
RD,186,0,105
RH,101,0,143
RHN,172,0,369
RL,104,0,142
RLB,192,0,498
RM,215,0,550
RS,166,0,442
RSD,240,0,851
RSN,40,0,74
RSW,193,0,434
RTA,175,0,419
RTB,186,0,489
RTD,185,0,419
RTN,180,0,421
RTST,190,0,498
RTZ,189,0,498
RV,204,0,536
RVS,146,0,400
SBK,247,0,631
SD,121,0,275
SDA,175,0,95
SDM,189,0,489
SDT,194,0,489
SDTB,197,0,490
SGL,271,0,617
SGN,213,0,537
SHL,163,0,240
SK,159,0,38
SKND,158,0,38
SM,210,0,550
SN,249,0,632
SOG,269,0,618
SPTN,179,0,479
SPTZ,177,0,479
SRN,233,0,628
SSH,184,0,418
ST,122,0,275
STD,240,0,599
STM,170,0,101
STV,188,0,46
STZ,123,0,265
SWD,159,0,89
SWK,84,0,71
TB,195,0,515
TBG,145,0,189
TBR,200,0,528
TBU,196,0,528
TG,197,0,517
TL,155,0,417
TPSW,157,0,417
TWL,71,0,140
UHM,183,0,105
UHZ,180,0,105
UST,175,0,104
UT,129,0,261
UTG,176,0,483
UTLN,133,0,334
UTLR,132,0,334
UTO,126,0,285
UTT,134,0,334
UTVR,130,0,334
UTZL,131,0,334
VB,186,0,419
VD,94,0,140
VDL,263,0,618
VDM,175,0,102
VEM,86,0,140
VG,177,0,515
VH,187,0,369
VHP,14,23.70967741935484,3
VK,272,0,618
VL,192,0,516
VLB,162,0,463
VNDC,164,0,368
VNDW,163,0,368
VP,105,0,146
VRY,169,0,464
VS,315,0,889
VSS,314,0,889
VST,184,0,454
VSV,148,0,173
VTN,136,0,339
VZ,21,23.70967741935484,4
WAD,169,0,419
WADN,170,0,419
WADT,168,0,419
WC,139,0,400
WD,145,0,261
WDN,32,0,74
WF,119,0,400
WFM,172,0,104
WH,56,0,21
WK,175,0,41
WL,134,0,172
WM,169,0,448
WP,139,0,273
WR,202,0,113
WS,180,0,104
WSM,164,0,90
WT,233,0,577
WTV,114,0,149
WV,97,0,21
WW,127,0,154
WWW,126,0,154
WZ,51,0,21
YPB,182,0,419
ZA,133,0,414
ZB,167,0,98
ZBM,164,0,458
ZD,163,0,445
ZDK,166,0,448
ZH,160,0,89
ZL,42,42.354838709677416,7
ZLSH,47,0,21
ZLW,219,0,609
ZP,82,0,140
ZTM,177,0,419
ZTMO,176,0,419
ZV,123,0,152
ZVB,227,0,614
ZVT,180,0,462
ZWD,203,0,603
ZZS,166,0,448
