Station Code,Distance from ZD,Services from/to ZD,Disruptions on path to ZD
RB,175,0.0,263
RD,265,0.0,377
RH,116,0.0,831
RHN,92,1.064516129032258,387
RL,138,0.0,570
RLB,95,0.0,141
RM,181,16.096774193548388,490
RS,104,0.0,425
RSD,146,0.0,141
RSN,139,0.0,568
RSW,69,0.0,39
RTA,86,35.45161290322581,365
RTB,89,0.0,141
RTD,88,35.45161290322581,71
RTN,91,35.45161290322581,367
RTST,93,0.0,141
RTZ,92,0.0,141
RV,192,0.0,539
RVS,124,0.0,446
SBK,213,0.0,571
SD,50,0.0,294
SDA,254,0.0,367
SDM,84,0.0,140
SDT,114,0.0,426
SDTB,115,0.0,258
SGL,230,0.0,56
SGN,50,36.096774193548384,89
SHL,21,25.35483870967742,21
SK,238,0.0,550
SKND,237,0.0,550
SM,186,0.0,539
SN,215,0.0,572
SOG,224,0.0,56
SPTN,25,0.0,19
SPTZ,26,0.0,37
SRN,199,0.0,568
SSH,42,19.12903225806452,71
ST,51,0.0,294
STD,206,16.096774193548388,539
STM,249,0.0,373
STV,267,0.0,558
STZ,52,0.0,294
SWD,238,0.0,361
SWK,163,0.0,343
TB,119,0.0,425
TBG,142,0.0,867
TBR,124,0.0,438
TBU,120,0.0,438
TG,186,0.0,491
TL,87,0.0,395
TPSW,85,0.0,395
TWL,108,0.0,568
UHM,262,0.0,377
UHZ,259,0.0,377
UST,254,0.0,376
UT,49,61.25806451612903,279
UTG,13,47.064516129032256,35
UTLN,53,0.0,352
UTLR,52,0.0,352
UTO,52,0.0,352
UTT,54,0.0,352
UTVR,50,6.096774193548387,352
UTZL,47,8.903225806451612,296
VB,68,0.0,53
VD,128,0.0,568
VDL,218,0.0,56
VDM,254,0.0,374
VEM,112,0.0,570
VG,101,0.0,425
VH,42,0.0,21
VHP,161,0.0,303
VK,227,0.0,56
VL,181,0.0,490
VLB,157,0.0,636
VNDC,84,1.064516129032258,386
VNDW,83,1.064516129032258,386
VP,112,0.0,831
VRY,164,0.0,637
VS,221,0.0,173
VSS,220,0.0,146
VST,55,19.12903225806452,21
VSV,149,0.0,867
VTN,56,0.0,357
VZ,158,0.0,669
WAD,75,0.0,142
WADN,74,0.0,142
WADT,76,0.0,142
WC,131,0.0,449
WD,56,35.45161290322581,279
WDN,147,0.0,575
WF,98,0.0,573
WFM,251,0.0,376
WH,130,0.0,609
WK,254,0.0,553
WL,131,0.0,850
WM,6,47.096774193548384,0
WP,24,0.0,280
WR,281,0.0,385
WS,259,0.0,376
WSM,243,0.0,362
WT,157,16.096774193548388,490
WTV,111,0.0,832
WV,176,0.0,293
WW,161,0.0,582
WWW,160,0.0,582
WZ,112,0.0,546
YPB,72,0.0,56
ZA,109,0.0,398
ZB,246,0.0,370
ZBM,84,0.0967741935483871,395
ZD,0,0.0,0
ZDK,3,31.967741935483872,0
ZH,239,0.0,361
ZL,121,0.0,279
ZLSH,126,0.0,0
ZLW,123,0.0,258
ZP,116,0.0,568
ZTM,77,0.0,53
ZTMO,78,0.0,53
ZV,120,0.0,830
ZVB,131,0.0,263
ZVT,29,0.0,37
ZWD,106,0.0,246
ZZS,3,47.064516129032256,0
