Station Code,Distance from UTT,Services from/to UTT,Disruptions on path to UTT
LTN,52,0.0,330
LTV,122,0.0,350
LUT,166,0.0,262
LW,187,0.0,313
LWC,190,0.0,330
MAS,12,0.0,73
MDB,178,0.0,197
MES,189,0.0,264
MG,197,0.0,330
MMLH,92,0.0,351
MP,120,0.0,327
MRB,126,0.0,334
MRN,25,0.0,105
MT,183,0.0,262
MTH,207,0.0,403
MTN,186,0.0,264
MTR,184,0.0,264
MZ,106,0.0,222
NDB,29,0.0,74
NH,174,0.0,293
NKK,37,0.0,313
NM,82,0.0,330
NMD,87,0.0,351
NMGO,85,0.0,351
NMH,85,0.0,351
NML,81,0.0,344
NS,65,0.0,313
NSCH,242,0.0,410
NVD,124,0.0,336
NVP,61,0.0,289
NWK,36,0.0,95
O,72,0.0,146
OBD,96,0.0,352
ODB,102,0.0,287
ODZ,143,0.0,415
OMN,115,0.0,334
OP,59,0.0,119
OST,94,0.0,379
OT,74,0.0,189
OTB,59,0.0,95
OVN,65,0.0,368
OW,71,0.0,146
PMO,69,0.0,331
PMR,68,0.0,352
PMW,67,0.0,355
PT,44,0.0,313
RAI,39,0.0,76
RAT,110,0.0,327
RB,138,0.0,287
RD,236,0.0,411
RH,73,0.0,331
RHN,48,0.0,108
RL,109,0.0,350
RLB,58,0.0,165
RM,137,0.0,211
RS,60,0.0,146
RSD,109,0.0,165
RSN,110,0.0,348
RSW,59,0.0,110
RTA,41,0.0,95
RTB,52,0.0,165
RTD,51,0.0,95
RTN,46,0.0,97
RTST,56,0.0,165
RTZ,55,0.0,165
RV,148,0.0,260
RVS,80,0.0,167
SBK,169,0.0,292
SD,25,0.0,97
SDA,225,0.0,401
SDM,55,0.0,165
SDT,70,0.0,147
SDTB,73,0.0,148
SGL,193,0.0,278
SGN,104,0.0,444
SHL,51,0.0,87
SK,209,0.0,330
SKND,208,0.0,330
SM,142,0.0,260
SN,171,0.0,293
SOG,191,0.0,279
SPTN,70,0.0,368
SPTZ,68,0.0,368
SRN,155,0.0,289
SSH,53,0.0,117
ST,24,0.0,97
STD,162,0.0,260
STM,220,0.0,407
STV,238,0.0,338
STZ,23,0.0,97
SWD,209,0.0,395
SWK,134,0.0,377
TB,75,0.0,146
TBG,99,0.0,367
TBR,80,0.0,159
TBU,76,0.0,159
TG,142,0.0,212
TL,43,35.225806451612904,116
TPSW,41,35.225806451612904,116
TWL,79,0.0,348
UHM,233,0.0,411
UHZ,230,0.0,411
UST,225,0.0,410
UT,5,50.74193548387097,0
UTG,67,0.0,390
UTLN,9,36.25806451612903,73
UTLR,2,50.74193548387097,0
UTO,8,0.0,73
UTT,0,0.0,0
UTVR,6,36.25806451612903,73
UTZL,7,0.0,73
VB,52,36.45161290322581,95
VD,99,0.0,348
VDL,185,0.0,279
VDM,225,0.0,408
VEM,83,0.0,350
VG,57,0.0,146
VH,53,0.0,117
VHP,132,0.0,337
VK,194,0.0,279
VL,137,0.0,211
VLB,114,0.0,393
VNDC,40,0.0,107
VNDW,39,0.0,107
VP,69,0.0,331
VRY,121,0.0,394
VS,184,0.0,197
VSS,183,0.0,170
VST,50,0.0,202
VSV,106,0.0,367
VTN,2,49.70967741935484,0
VZ,129,0.0,449
WAD,35,0.0,95
WADN,36,0.0,95
WADT,34,0.0,95
WC,87,0.0,170
WD,11,49.70967741935484,9
WDN,118,0.0,355
WF,55,0.0,95
WFM,222,0.0,410
WH,101,0.0,389
WK,225,0.0,333
WL,88,0.0,350
WM,60,0.0,355
WP,38,0.0,85
WR,252,0.0,419
WS,230,0.0,410
WSM,214,0.0,396
WT,113,0.0,211
WTV,68,0.0,332
WV,147,0.0,327
WW,127,0.0,386
WWW,128,0.0,386
WZ,83,0.0,326
YPB,48,36.45161290322581,98
ZA,65,0.0,119
ZB,217,0.0,404
ZBM,40,1.032258064516129,116
ZD,54,0.0,352
ZDK,57,0.0,355
ZH,210,0.0,395
ZL,92,0.0,313
ZLSH,97,0.0,327
ZLW,86,0.0,282
ZP,87,0.0,348
ZTM,43,28.032258064516128,95
ZTMO,42,36.45161290322581,95
ZV,77,0.0,330
ZVB,94,0.0,287
ZVT,71,0.0,368
ZWD,69,0.0,270
ZZS,57,0.0,355
