Station Code,Distance from HMH,Services from/to HMH,Disruptions on path to HMH
DVN,115,0.0,418
DVNK,145,0.0,316
DWE,291,0.0,465
DZ,323,0.0,560
DZW,322,0.0,560
EC,76,0.0,115
ED,123,0.0,416
EDC,125,0.0,438
EDN,118,0.0,119
EEM,330,0.0,559
EGH,112,0.0,134
EGHM,113,0.0,134
EHS,13,27.90322580645161,62
EHV,12,29.258064516129032,0
EKZ,192,0.0,559
EML,136,0.0,448
EMN,250,0.0,587
EMNZ,246,0.0,586
ES,188,0.0,486
ESK,184,0.0,486
EST,95,0.0,177
ETN,81,0.0,385
FN,291,0.0,465
FWD,288,0.0,465
GBG,223,0.0,572
GD,124,0.0,208
GDG,121,0.0,208
GDM,66,0.0,135
GDR,141,0.0,453
GERP,283,0.0,515
GK,304,0.0,530
GLN,92,0.0,117
GN,285,0.0,515
GND,101,0.0,199
GNN,289,0.0,530
GO,165,0.0,426
GP,18,0.0,62
GR,92,0.0,197
GS,144,0.0,390
GV,142,0.0,603
GVC,143,0.0,618
GVM,147,0.0,618
GVMW,141,0.0,603
GW,261,0.0,519
GZ,60,0.0,77
HAD,154,0.0,487
HB,103,0.0,148
HBZM,104,0.0,209
HD,140,0.0,451
HDB,217,0.0,559
HDE,161,0.0,448
HDG,284,0.0,465
HDR,212,0.0,588
HDRZ,211,0.0,588
HFD,143,0.0,296
HGL,180,0.0,467
HGLG,178,0.0,467
HGLO,182,0.0,486
HGV,227,0.0,462
HGZ,296,0.0,538
HIL,160,0.0,316
HK,157,0.0,526
HKS,184,0.0,543
HLG,300,0.0,466
HLGH,301,0.0,470
HLM,150,0.0,466
HLMS,149,0.0,487
HLO,165,0.0,493
HM,1,29.516129032258064,0
HMBH,2,29.516129032258064,4
HMBV,2,29.258064516129032,0
HMH,0,0.0,0
HMN,97,0.0,181
HN,174,0.0,487
HNK,175,0.0,543
HNO,191,0.0,462
HNP,316,0.0,468
HON,170,0.0,419
HOR,104,0.0,208
HR,245,0.0,519
HRL,107,0.0,117
HRLW,109,0.0,134
HRN,279,0.0,515
HRT,28,0.0,32
HT,44,27.90322580645161,62
HTN,84,0.0,231
HTNC,83,0.0,231
HTO,45,0.935483870967742,135
HVL,119,0.0,448
HVS,110,0.0,208
HVSM,111,0.0,209
HVSP,109,0.0,208
HWD,177,0.0,569
HWZB,142,0.0,487
HZE,23,0.0,68
IJT,299,0.0,466
KBD,126,0.0,390
KBK,144,0.0,419
KLP,124,0.0,335
KMA,149,0.0,500
KMR,115,0.0,134
