Station Code,distance_GP,services_per_day_GP,n_of_disruptions_GP
LWC,271,0,479
MAS,93,0,208
MDB,157,0,421
MES,98,0,60
MG,278,0,479
MMLH,91,0,177
MP,201,0,462
MRB,203,0,574
MRN,104,0,335
MT,92,0,58
MTH,288,0,538
MTN,95,0,60
MTR,93,0,60
MZ,15,29.516129032258064,5
NDB,110,0,209
NH,83,0,89
NKK,118,0,448
NM,81,0,156
NMD,76,0,159
NMGO,78,0,160
NMH,84,0,177
NML,82,0,177
NS,146,0,448
NSCH,323,0,545
NVD,187,0,510
NVP,142,0,400
NWK,127,0,293
O,57,0,135
OBD,177,0,579
ODB,95,0,390
ODZ,185,0,504
OMN,196,0,469
OP,88,0,181
OST,155,0,503
OT,35,27.580645161290324,181
OTB,104,0,434
OVN,146,0,503
OW,56,0,138
PMO,150,0,488
PMR,149,0,487
PMW,148,0,490
PT,125,0,451
RAI,120,0,211
RAT,191,0,462
RB,117,0,421
RD,317,0,546
RH,110,0,437
RHN,127,0,338
RL,151,0,439
RLB,107,0,601
RM,46,0,7
RS,45,0,138
RSD,88,0,385
RSN,171,0,503
RSW,133,0,556
RTA,124,0,455
RTB,113,0,502
RTD,114,0,385
RTN,119,0,455
RTST,109,0,607
RTZ,110,0,607
RV,57,0,56
RVS,65,0,156
SBK,78,0,88
SD,106,0,232
SDA,306,0,536
SDM,118,0,455
SDT,99,0,209
SDTB,101,0,504
SGL,102,0,74
SGN,185,0,579
SHL,132,0,222
SK,290,0,479
SKND,289,0,479
SM,51,0,56
SN,80,0,89
SOG,100,0,75
SPTN,151,0,521
SPTZ,149,0,521
SRN,64,0,85
SSH,144,0,316
ST,105,0,232
STD,71,0,56
STM,301,0,542
STV,319,0,487
STZ,104,0,232
SWD,290,0,530
SWK,215,0,512
TB,43,27.580645161290324,62
TBG,136,0,471
TBR,48,0,75
TBU,44,27.580645161290324,75
TG,63,0,147
TL,72,0,178
TPSW,70,0,178
TWL,150,0,503
UHM,314,0,546
UHZ,311,0,546
UST,306,0,545
UT,86,0,135
UTG,148,0,525
UTLN,82,0,259
UTLR,89,0,208
UTO,89,0,208
UTT,91,0,208
UTVR,85,0,259
UTZL,88,0,208
VB,140,0,600
VD,141,0,437
VDL,94,0,75
VDM,306,0,543
VEM,133,0,437
VG,34,0,181
VH,144,0,316
VHP,197,0,574
VK,103,0,75
VL,58,0,146
VLB,84,0,146
VNDC,119,0,337
VNDW,118,0,337
VP,106,0,437
VRY,77,0,146
VS,163,0,423
VSS,162,0,423
VST,141,0,401
VSV,143,0,471
VTN,93,0,213
VZ,190,0,573
WAD,126,0,293
WADN,127,0,293
WADT,125,0,293
WC,72,0,159
WD,102,0,208
WDN,179,0,510
WF,108,0,434
WFM,303,0,545
WH,162,0,513
WK,306,0,482
WL,125,0,454
WM,141,0,490
WP,119,0,220
WR,333,0,554
WS,311,0,545
WSM,295,0,531
WT,22,29.516129032258064,7
WTV,105,0,436
WV,228,0,462
WW,164,0,490
WWW,165,0,490
WZ,164,0,461
YPB,139,0,293
ZA,94,0,181
ZB,298,0,539
ZBM,51,0,135
ZD,135,0,487
ZDK,138,0,490
ZH,291,0,530
ZL,173,0,448
ZLSH,178,0,462
ZLW,79,0,403
ZP,129,0,437
ZTM,134,0,293
ZTMO,133,0,293
ZV,114,0,434
ZVB,87,0,408
ZVT,152,0,504
ZWD,96,0,502
ZZS,138,0,490
