Station Code,distance_DDN,services_per_day_DDN,n_of_disruptions_DDN
HZE,174,0,458
IJT,184,0,133
KBD,230,0,762
KBK,49,0,15
KLP,93,0,297
KMA,164,0,583
KMR,225,0,493
KMW,206,0,140
KPN,79,0,115
KPNZ,79,0,115
KRD,225,0,504
KRG,237,0,762
KTR,101,0,289
KW,178,0,189
KZ,158,0,573
LAA,183,0,477
LC,23,32.225806451612904,8
LDL,171,0,381
LDM,139,0,336
LEDN,172,0,388
LG,220,0,493
LLS,121,0,115
LLZM,167,0,448
LP,196,0,195
LTN,94,0,298
LTV,75,0,17
LUT,202,0,476
LW,159,0,115
LWC,162,0,132
MAS,129,0,363
MDB,267,0,762
MES,225,0,478
MG,169,0,132
MMLH,98,0,296
MP,92,0,115
MRB,38,0,90
MRN,123,0,329
MT,219,0,476
MTH,179,0,191
MTN,222,0,478
MTR,220,0,478
MZ,184,0,463
NDB,123,0,291
NH,210,0,507
NKK,112,0,290
NM,88,0,275
NMD,93,0,296
NMGO,91,0,296
NMH,91,0,296
NML,87,0,289
NS,91,0,115
NSCH,214,0,198
NVD,32,0,89
NVP,166,0,546
NWK,163,0,448
O,112,0,296
OBD,198,0,662
ODB,205,0,731
ODZ,16,34.03225806451613,19
OMN,49,0,93
OP,97,0,289
OST,66,0,81
OT,152,0,433
OTB,73,0,275
OVN,167,0,586
OW,113,0,317
PMO,171,0,571
PMR,170,0,570
PMW,169,0,573
PT,112,0,132
RAI,144,0,294
RAT,46,0,101
RB,227,0,762
RD,208,0,199
RH,59,0,18
RHN,146,0,332
RL,62,0,17
RLB,185,0,527
RM,173,0,425
RS,124,0,317
RSD,198,0,726
RSN,32,0,89
RSW,186,0,463
RTA,168,0,448
RTB,179,0,518
RTD,178,0,448
RTN,173,0,450
RTST,183,0,527
RTZ,182,0,527
RV,162,0,411
RVS,104,0,275
SBK,205,0,506
SD,114,0,304
SDA,197,0,189
SDM,182,0,518
SDT,164,0,366
SDTB,167,0,367
SGL,229,0,492
SGN,206,0,662
SHL,156,0,368
SK,181,0,132
SKND,180,0,132
SM,168,0,425
SN,207,0,507
SOG,227,0,493
SPTN,172,0,604
SPTZ,170,0,604
SRN,191,0,503
SSH,177,0,546
ST,115,0,304
STD,198,0,474
STM,192,0,195
STV,210,0,140
STZ,116,0,294
SWD,181,0,183
SWK,106,0,165
TB,153,0,390
TBG,103,0,64
TBR,158,0,403
TBU,154,0,403
TG,155,0,392
TL,113,0,292
TPSW,115,0,292
TWL,61,0,81
UHM,205,0,199
UHZ,202,0,199
UST,197,0,198
UT,122,0,290
UTG,169,0,608
UTLN,126,0,363
UTLR,125,0,363
UTO,119,0,314
UTT,127,0,363
UTVR,123,0,363
UTZL,124,0,363
VB,179,0,448
VD,52,0,15
VDL,221,0,493
VDM,197,0,196
VEM,44,0,15
VG,135,0,390
VH,180,0,398
VHP,32,0,90
VK,230,0,493
VL,150,0,391
VLB,120,0,338
VNDC,138,0,331
VNDW,137,0,331
VP,63,0,21
VRY,127,0,339
VS,273,0,764
VSS,272,0,764
VST,177,0,483
VSV,106,0,48
VTN,129,0,368
VZ,25,0,89
WAD,162,0,448
WADN,163,0,448
WADT,161,0,448
WC,97,0,275
WD,138,0,290
WDN,24,0,89
WF,77,0,275
WFM,194,0,198
WH,73,0,91
WK,197,0,135
WL,92,0,47
WM,162,0,573
WP,132,0,302
WR,224,0,207
WS,202,0,198
WSM,186,0,184
WT,191,0,452
WTV,72,0,24
WV,119,0,115
WW,85,0,29
WWW,84,0,29
WZ,73,0,115
YPB,175,0,448
ZA,91,0,289
ZB,189,0,192
ZBM,134,0,335
ZD,156,0,570
ZDK,159,0,573
ZH,182,0,183
ZL,64,0,101
ZLSH,69,0,115
ZLW,189,0,744
ZP,40,32.193548387096776,15
ZTM,170,0,448
ZTMO,169,0,448
ZV,81,0,27
ZVB,197,0,749
ZVT,173,0,587
ZWD,176,0,486
ZZS,159,0,573
