Station Code,Distance from HIL,Services from/to HIL,Disruptions on path to HIL
MAS,62,0.0,293
MDB,183,0.032258064516129,228
MES,202,0.0,42
MG,246,0.0,550
MMLH,155,0.0,459
MP,169,0.0,293
MRB,175,0.0,300
MRN,88,0.0,213
MT,208,0.0,42
MTH,256,0.0,369
MTN,205,0.0,56
MTR,209,0.0,44
MZ,169,0.0,330
NDB,53,0.0,286
NH,189,0.0,42
NKK,86,0.0,533
NM,145,0.0,438
NMD,150,0.0,459
NMGO,148,0.0,459
NMH,148,0.0,459
NML,144,0.0,452
NS,114,0.0,533
NSCH,291,0.0,376
NVD,173,0.0,302
NVP,37,0.0,10
NWK,60,0.0,206
O,135,0.0,254
OBD,59,0.0,166
ODB,107,0.0,248
ODZ,192,0.0,635
OMN,164,0.0,300
OP,122,0.0,227
OST,143,0.0,599
OT,135,0.0,532
OTB,122,0.0,203
OVN,13,0.935483870967742,40
OW,134,0.0,254
PMO,47,0.0,21
PMR,46,0.0,21
PMW,45,0.0,24
PT,93,0.0,533
RAI,41,0.0,319
RAT,159,0.0,293
RB,143,0.032258064516129,248
RD,285,0.0,377
RH,136,0.0,439
RHN,111,0.0,216
RL,158,0.0,570
RLB,63,0.0,196
RM,200,0.0,319
RS,123,0.0,254
RSD,114,0.032258064516129,196
RSN,159,0.0,568
RSW,37,0.0,25
RTA,65,0.0,206
RTB,57,0.032258064516129,196
RTD,56,0.032258064516129,126
RTN,61,0.0,196
RTST,61,0.0,196
RTZ,60,0.0,196
RV,211,0.0,368
RVS,143,0.0,275
SBK,194,0.0,42
SD,70,0.0,294
SDA,274,0.0,367
SDM,52,0.032258064516129,126
SDT,86,0.0,243
SDTB,83,0.0,243
SGL,198,0.0,42
SGN,67,0.0,166
SHL,41,0.0,21
SK,258,0.0,550
SKND,257,0.0,550
SM,205,0.0,368
SN,192,0.0,42
SOG,192,0.0,42
SPTN,18,0.0,0
SPTZ,16,0.064516129032258,0
SRN,208,0.0,44
SSH,26,0.0,10
ST,71,0.0,294
STD,201,0.0,42
STM,269,0.0,373
STV,287,0.0,558
STZ,72,0.0,294
SWD,258,0.0,361
SWK,183,0.0,343
TB,127,0.0,519
TBG,162,0.0,475
TBR,122,0.0,538
TBU,126,0.0,540
TG,205,0.0,320
TL,106,0.0,224
TPSW,104,0.0,224
TWL,128,0.0,568
UHM,282,0.0,377
UHZ,279,0.0,377
UST,274,0.0,376
UT,68,0.0,108
UTG,30,0.0,20
UTLN,72,0.0,181
UTLR,65,0.0,122
UTO,71,0.0,181
UTT,63,0.0,117
UTVR,69,0.0,181
UTZL,67,0.0,296
VB,36,0.0,39
VD,148,0.0,568
VDL,186,0.0,42
VDM,274,0.0,374
VEM,132,0.0,570
VG,120,0.0,254
VH,10,52.45161290322581,0
VHP,181,0.0,303
VK,195,0.0,42
VL,200,0.0,319
VLB,177,0.0,501
VNDC,103,0.0,215
VNDW,102,0.0,215
VP,132,0.0,439
VRY,184,0.0,502
VS,189,0.032258064516129,228
VSS,188,0.032258064516129,201
VST,23,18.32258064516129,95
VSV,169,0.0,475
VTN,61,0.0,108
VZ,178,0.0,669
WAD,43,0.0,121
WADN,42,0.0,121
