Station Code,Distance from GN,Services from/to GN,Disruptions on path to GN
GVC,253,17.161290322580644,335
GVM,254,0.0,452
GVMW,255,0.064516129032258,432
GW,67,0.0,17
GZ,274,0.0,420
HAD,240,0.0,298
HB,326,0.0,587
HBZM,257,0.0,406
HD,145,0.8709677419354839,19
HDB,148,0.0,26
HDE,124,0.064516129032258,19
HDG,44,31.516129032258064,0
HDR,298,0.0,399
HDRZ,297,0.0,399
HFD,232,0.0,224
HGL,165,0.0,110
HGLG,167,0.0,129
HGLO,167,0.0,129
HGV,58,35.774193548387096,0
HGZ,15,65.16129032258064,23
HIL,247,0.0,298
HK,243,0.0,337
HKS,270,0.0,354
HLG,80,0.0,18
HLGH,81,0.0,22
HLM,236,0.0,277
HLMS,235,0.0,298
HLO,251,0.0,304
HM,286,0.0,470
HMBH,287,0.0,474
HMBV,283,0.0,470
HMH,285,0.0,470
HMN,207,0.0,369
HN,260,0.0,298
HNK,261,0.0,354
HNO,118,0.0,19
HNP,96,0.0,20
HON,156,0.0,95
HOR,194,0.0,20
HR,83,0.0,17
HRL,330,0.0,556
HRLW,332,0.0,573
HRN,6,36.096774193548384,0
HRT,271,0.0,471
HT,241,0.0,332
HTN,201,0.0,332
HTNC,202,0.0,360
HTO,242,0.0,405
HVL,178,0.0,259
HVS,188,0.0,19
HVSM,189,0.0,20
HVSP,189,0.0,20
HWD,263,0.0,380
HWZB,228,0.0,298
HZE,284,0.0,476
IJT,79,0.0,18
KBD,338,0.0,529
KBK,161,0.0,55
KLP,206,0.0,377
KMA,235,0.0,311
KMR,338,0.0,573
KMW,101,0.0,25
KPN,121,0.0,19
KPNZ,121,0.8387096774193549,19
KRD,338,0.0,584
KRG,345,0.0,529
KTR,214,0.0,369
KW,12,65.16129032258064,21
KZ,229,0.0,301
LAA,254,1.064516129032258,364
LC,170,0.0,95
LDL,242,0.0,350
LDM,233,0.0,376
LEDN,243,17.096774193548388,357
LG,333,0.0,573
LLS,163,19.096774193548388,5
LLZM,238,0.0,417
LP,26,31.096774193548388,12
LTN,198,0.0,276
LTV,188,0.0,97
LUT,315,0.0,556
LW,54,58.80645161290322,0
LWC,51,31.451612903225808,10
MAS,200,0.0,332
MDB,375,0.0,556
MES,338,0.0,558
MG,64,0.0,17
MMLH,211,0.0,376
MP,78,35.483870967741936,0
MRB,140,0.0,26
MRN,213,0.0,364
MT,332,0.0,556
MTH,13,65.16129032258064,23
MTN,335,0.0,558
MTR,333,0.0,558
MZ,294,0.0,481
NDB,194,0.0,20
NH,323,0.0,587
NKK,161,0.8709677419354839,22
NM,201,0.0,355
NMD,206,0.0,376
NMGO,204,0.0,376
NMH,204,0.0,376
NML,200,0.0,369
NS,133,0.032258064516129,19
NSCH,48,20.258064516129032,30
NVD,138,0.0,28
NVP,237,0.0,352
NWK,234,0.0,417
O,225,0.0,376
OBD,269,0.0,298
ODB,299,0.0,529
ODZ,176,0.0,129
OMN,129,0.0,26
OP,210,0.0,369
OST,127,0.0,19
OT,262,0.0,448
OTB,186,0.0,355
OVN,238,0.0,314
OW,226,0.0,397
PMO,242,0.0,277
PMR,241,0.0,298
PMW,240,0.0,301
PT,154,0.064516129032258,19
RAI,215,0.0,153
RAT,124,0.0,19
RB,335,0.0,529
RD,38,33.96774193548387,16
RH,172,0.0,98
RHN,236,0.0,367
RL,175,0.0,97
RLB,256,0.0,487
RM,286,0.0,505
RS,237,0.0,397
RSD,306,0.0,524
RSN,154,0.0,40
RSW,257,0.064516129032258,0
RTA,239,17.483870967741936,417
RTB,250,0.0,487
RTD,249,17.483870967741936,417
RTN,244,0.0,419
RTST,254,0.0,487
RTZ,253,0.0,487
RV,275,0.0,491
RVS,217,0.0,355
SBK,318,0.0,586
SD,185,0.0,273
SDA,31,40.96774193548387,21
SDM,253,0.0,487
SDT,258,0.0,406
SDTB,261,0.0,407
SGL,342,0.0,572
SGN,277,0.0,390
SHL,227,17.161290322580644,224
SK,76,0.0,17
SKND,75,0.0,17
SM,281,0.0,505
SN,320,0.0,587
SOG,340,0.0,573
SPTN,243,0.0,314
SPTZ,241,0.0,314
SRN,304,0.0,583
SSH,248,0.0,352
ST,186,0.0,273
STD,311,0.0,554
STM,22,31.096774193548388,12
STV,105,0.0,25
STZ,187,0.0,263
SWD,11,65.06451612903226,0
SWK,92,0.0,50
TB,263,0.0,405
TBG,216,0.0,144
TBR,268,0.0,418
TBU,264,0.0,418
TG,268,0.0,472
TL,226,0.0,372
TPSW,228,0.0,372
TWL,142,0.0,95
UHM,35,33.935483870967744,16
UHZ,32,33.935483870967744,16
UST,27,33.935483870967744,15
UT,193,18.741935483870968,259
UTG,240,0.0,336
UTLN,197,0.0,332
UTLR,196,0.0,332
UTO,190,0.0,259
UTT,198,0.0,332
UTVR,194,0.0,332
UTZL,195,0.0,332
VB,250,0.0,417
VD,165,0.0,95
VDL,334,0.0,573
VDM,31,32.0,28
VEM,157,0.0,95
VG,245,0.0,405
VH,251,0.0,367
VHP,146,0.0,29
VK,343,0.0,573
VL,263,0.0,471
VLB,233,0.0,418
VNDC,228,0.0,366
VNDW,227,0.0,366
VP,176,0.0,101
VRY,240,0.0,419
VS,381,0.0,556
VSS,380,0.0,529
VST,248,0.0,452
VSV,219,0.0,128
VTN,200,0.0,337
VZ,153,0.0,30
WAD,233,0.0,417
WADN,234,0.0,417
WADT,232,0.0,417
WC,210,0.0,355
WD,209,0.032258064516129,259
WDN,146,0.0,40
WF,190,0.0,355
WFM,24,33.96774193548387,15
WH,120,0.0,19
WK,92,0.0,20
WL,205,0.0,127
WM,233,0.0,301
WP,203,0.0,151
WR,58,17.548387096774192,39
WS,36,40.96774193548387,30
WSM,16,33.96774193548387,1
WT,301,0.0,470
WTV,185,0.0,104
WV,94,0.0,17
WW,198,0.0,109
WWW,197,0.0,109
WZ,115,0.032258064516129,19
YPB,246,0.0,335
ZA,204,0.0,369
ZB,23,65.16129032258064,24
ZBM,228,0.0,375
ZD,227,0.0,298
ZDK,230,0.0,301
ZH,12,43.516129032258064,0
ZL,106,70.87096774193549,5
ZLSH,111,0.0,19
ZLW,283,0.0,524
ZP,153,0.0,95
ZTM,241,0.0,332
ZTMO,240,0.0,417
ZV,194,0.0,107
ZVB,291,0.0,529
ZVT,244,0.0,314
ZWD,267,0.0,592
ZZS,230,0.0,301
