Station Code,Number of Services,Disruption Count,Delay Count,Cancel Count
OW,1951,45,1199,130
LWC,1950,38,1419,19
GK,1950,33,992,9
DWE,1950,34,1277,9
GZ,1943,91,974,130
TBR,1943,77,619,130
OT,1942,36,822,91
RSN,1938,56,827,8
HON,1935,46,536,8
DVC,1935,46,567,8
SKND,1929,23,795,80
LP,1926,17,629,8
DZ,1926,17,365,18
APG,1926,18,1076,18
STM,1926,19,782,8
DZW,1926,17,393,18
BDM,1926,22,914,6
RVS,1915,38,1288,104
MG,1883,27,849,80
ST,1883,16,691,17
SD,1882,6,1041,17
STZ,1882,15,1471,15
HZE,1830,45,597,50
MZ,1829,42,488,49
GP,1829,43,561,50
TWL,1818,41,331,38
APDO,1818,39,447,38
WF,1784,49,450,60
OTB,1783,39,675,29
NSCH,1751,12,505,507
HMN,1738,24,446,7
OP,1738,24,337,7
KTR,1738,27,426,7
ZA,1738,24,542,7
VEM,1714,15,767,14
APDM,1714,13,292,18
KBK,1714,15,263,17
DA,1572,19,356,28
VZ,1572,19,578,28
VHP,1572,21,517,28
GBG,1401,10,742,16
DLN,1398,11,934,16
IJT,1373,7,442,75
WK,1373,9,371,78
HNP,1373,8,492,77
KMW,1373,8,360,77
STV,1373,12,154,77
EGHM,1160,30,744,129
EDN,1094,11,812,39
EEM,422,8,68,16
RTST,61,93,31,10
